split,image,mode,orig_w,orig_h,out_w,out_h,orig_aspect,out_aspect,pad_left,pad_right,pad_top,pad_bottom,labels_in,labels_out,labels_dropped
train,train_101_png.rf.e3f2bdba7a85c6794e6e6b6116dc59c6.jpg,aspect,2916,1316,2916,1543,2.2158054711246202,1.8898250162022034,0,0,113,114,2,2,0
train,train_104_png.rf.7f6101e52070163e84a91e34e7e3a49d.jpg,aspect,2712,1316,2712,1435,2.060790273556231,1.8898954703832753,0,0,59,60,1,1,0
train,train_112_png.rf.e1b72c959fac2917c5faa72ec820cc44.jpg,aspect,1976,976,1976,1046,2.0245901639344264,1.8891013384321225,0,0,35,35,1,1,0
train,train_128_png.rf.91dd5f1a7491ef69b3324d71b0969a72.jpg,aspect,2851,1316,2851,1509,2.1664133738601823,1.8893306825712393,0,0,96,97,1,1,0
train,train_139_png.rf.abb491cd95458bf79a88415c08502958.jpg,aspect,2831,1316,2831,1498,2.1512158054711246,1.889853137516689,0,0,91,91,1,1,0
train,train_13_png.rf.63f3d093afd72f36bebe6e359cab64f3.jpg,aspect,2935,1316,2935,1553,2.230243161094225,1.8898905344494528,0,0,118,119,1,1,0
train,train_149_png.rf.c54bdae31bfa278aeec8ba6dded24504.jpg,aspect,2812,1316,2812,1488,2.13677811550152,1.8897849462365592,0,0,86,86,1,1,0
train,train_14_png.rf.12b5901e69c2739f91d1ed5a4b16992b.jpg,aspect,2828,1316,2828,1497,2.148936170212766,1.8891115564462257,0,0,90,91,6,6,0
train,train_159_png.rf.b8041a04434c784fc017860a7838f0c4.jpg,aspect,2820,1316,2820,1492,2.142857142857143,1.8900804289544235,0,0,88,88,1,1,0
train,train_164_png.rf.488dd6fc6fd3c0e17d536b903fa9fb04.jpg,aspect,2798,1316,2798,1481,2.1261398176291793,1.8892640108035113,0,0,82,83,1,1,0
train,train_187_png.rf.0a694f376c3615f979974a0778c33248.jpg,aspect,2815,1316,2815,1490,2.1390577507598785,1.889261744966443,0,0,87,87,1,1,0
train,train_190_png.rf.c4a3e570e0acdec516adb582ec1a5d9b.jpg,aspect,2863,1316,2863,1515,2.175531914893617,1.8897689768976897,0,0,99,100,5,5,0
train,train_194_png.rf.39abe644fc23c9b2d2e5e4af23737d8a.jpg,aspect,2800,1316,2800,1482,2.127659574468085,1.8893387314439947,0,0,83,83,1,1,0
