split,image,method,orig_w,orig_h,crop_x1,crop_y1,crop_x2,crop_y2,crop_w,crop_h,labels_in,labels_out,labels_dropped,fallback
train,train_101_png.rf.e3f2bdba7a85c6794e6e6b6116dc59c6.jpg,energy,2916,1316,0,0,2916,1314,2916,1314,2,2,0,False
train,train_104_png.rf.7f6101e52070163e84a91e34e7e3a49d.jpg,energy,2712,1316,0,0,2712,1288,2712,1288,1,1,0,False
train,train_112_png.rf.e1b72c959fac2917c5faa72ec820cc44.jpg,energy,1976,976,42,0,1922,971,1880,971,1,1,0,False
train,train_128_png.rf.91dd5f1a7491ef69b3324d71b0969a72.jpg,energy,2851,1316,0,0,2851,1301,2851,1301,1,1,0,False
train,train_139_png.rf.abb491cd95458bf79a88415c08502958.jpg,energy,2831,1316,0,0,2831,1308,2831,1308,1,1,0,False
train,train_13_png.rf.63f3d093afd72f36bebe6e359cab64f3.jpg,energy,2935,1316,0,6,2935,1292,2935,1286,1,1,0,False
train,train_149_png.rf.c54bdae31bfa278aeec8ba6dded24504.jpg,energy,2812,1316,0,0,2812,1309,2812,1309,1,1,0,False
train,train_14_png.rf.12b5901e69c2739f91d1ed5a4b16992b.jpg,energy,2828,1316,0,0,2828,1313,2828,1313,6,6,0,False
train,train_159_png.rf.b8041a04434c784fc017860a7838f0c4.jpg,energy,2820,1316,0,0,2820,1308,2820,1308,1,1,0,False
train,train_164_png.rf.488dd6fc6fd3c0e17d536b903fa9fb04.jpg,energy,2798,1316,0,0,2798,1303,2798,1303,1,1,0,False
train,train_187_png.rf.0a694f376c3615f979974a0778c33248.jpg,energy,2815,1316,0,0,2815,1305,2815,1305,1,1,0,False
train,train_190_png.rf.c4a3e570e0acdec516adb582ec1a5d9b.jpg,energy,2863,1316,0,0,2863,1307,2863,1307,5,5,0,False
train,train_194_png.rf.39abe644fc23c9b2d2e5e4af23737d8a.jpg,energy,2800,1316,0,0,2800,1300,2800,1300,1,1,0,False
train,train_196_png.rf.46fa1028b9036913173cb53071e99ea8.jpg,energy,3076,1536,0,0,3076,1461,3076,1461,1,1,0,False
train,train_206_png.rf.adab03495ab5a63473573f386a8915c7.jpg,energy,2917,1316,0,0,2917,1303,2917,1303,1,1,0,False
train,train_21_png.rf.0bfd20929a68788a40b71e93e68a184d.jpg,energy,1976,976,25,58,1792,923,1767,865,2,2,0,False
train,train_248_png.rf.2cb85dfa0c3a9575ea15156d171b952d.jpg,energy,2872,1316,0,0,2872,1304,2872,1304,2,2,0,False
train,train_249_png.rf.3966d3290fc6f9bccdbca81811fa0bd6.jpg,energy,2868,1504,0,0,2868,1504,2868,1504,2,2,0,False
train,train_250_png.rf.c9a685e1a48cc05ed02374fa32aa4eab.jpg,energy,2860,1316,0,0,2860,1311,2860,1311,2,2,0,False
train,train_258_png.rf.29fb80f3baf2b24747d65c2a68654dcd.jpg,energy,2872,1504,2,0,2872,1504,2870,1504,1,1,0,False
