split,image,mode,orig_w,orig_h,out_w,out_h,orig_aspect,out_aspect,pad_left,pad_right,pad_top,pad_bottom,labels_in,labels_out,labels_dropped
train,train_101_png.rf.e3f2bdba7a85c6794e6e6b6116dc59c6.jpg,pnorm,2916,1316,2916,1316,2.2158054711246202,2.2158054711246202,0,0,0,0,2,2,0
train,train_104_png.rf.7f6101e52070163e84a91e34e7e3a49d.jpg,pnorm,2712,1316,2712,1316,2.060790273556231,2.060790273556231,0,0,0,0,1,1,0
train,train_112_png.rf.e1b72c959fac2917c5faa72ec820cc44.jpg,pnorm,1976,976,1976,976,2.0245901639344264,2.0245901639344264,0,0,0,0,1,1,0
train,train_128_png.rf.91dd5f1a7491ef69b3324d71b0969a72.jpg,pnorm,2851,1316,2851,1316,2.1664133738601823,2.1664133738601823,0,0,0,0,1,1,0
train,train_139_png.rf.abb491cd95458bf79a88415c08502958.jpg,pnorm,2831,1316,2831,1316,2.1512158054711246,2.1512158054711246,0,0,0,0,1,1,0
train,train_13_png.rf.63f3d093afd72f36bebe6e359cab64f3.jpg,pnorm,2935,1316,2935,1316,2.230243161094225,2.230243161094225,0,0,0,0,1,1,0
train,train_149_png.rf.c54bdae31bfa278aeec8ba6dded24504.jpg,pnorm,2812,1316,2812,1316,2.13677811550152,2.13677811550152,0,0,0,0,1,1,0
train,train_14_png.rf.12b5901e69c2739f91d1ed5a4b16992b.jpg,pnorm,2828,1316,2828,1316,2.148936170212766,2.148936170212766,0,0,0,0,6,6,0
train,train_159_png.rf.b8041a04434c784fc017860a7838f0c4.jpg,pnorm,2820,1316,2820,1316,2.142857142857143,2.142857142857143,0,0,0,0,1,1,0
train,train_164_png.rf.488dd6fc6fd3c0e17d536b903fa9fb04.jpg,pnorm,2798,1316,2798,1316,2.1261398176291793,2.1261398176291793,0,0,0,0,1,1,0
train,train_187_png.rf.0a694f376c3615f979974a0778c33248.jpg,pnorm,2815,1316,2815,1316,2.1390577507598785,2.1390577507598785,0,0,0,0,1,1,0
train,train_190_png.rf.c4a3e570e0acdec516adb582ec1a5d9b.jpg,pnorm,2863,1316,2863,1316,2.175531914893617,2.175531914893617,0,0,0,0,5,5,0
train,train_194_png.rf.39abe644fc23c9b2d2e5e4af23737d8a.jpg,pnorm,2800,1316,2800,1316,2.127659574468085,2.127659574468085,0,0,0,0,1,1,0
train,train_196_png.rf.46fa1028b9036913173cb53071e99ea8.jpg,pnorm,3076,1536,3076,1536,2.0026041666666665,2.0026041666666665,0,0,0,0,1,1,0
train,train_206_png.rf.adab03495ab5a63473573f386a8915c7.jpg,pnorm,2917,1316,2917,1316,2.216565349544073,2.216565349544073,0,0,0,0,1,1,0
train,train_21_png.rf.0bfd20929a68788a40b71e93e68a184d.jpg,pnorm,1976,976,1976,976,2.0245901639344264,2.0245901639344264,0,0,0,0,2,2,0
train,train_248_png.rf.2cb85dfa0c3a9575ea15156d171b952d.jpg,pnorm,2872,1316,2872,1316,2.182370820668693,2.182370820668693,0,0,0,0,2,2,0
train,train_249_png.rf.3966d3290fc6f9bccdbca81811fa0bd6.jpg,pnorm,2868,1504,2868,1504,1.9069148936170213,1.9069148936170213,0,0,0,0,2,2,0
train,train_250_png.rf.c9a685e1a48cc05ed02374fa32aa4eab.jpg,pnorm,2860,1316,2860,1316,2.1732522796352582,2.1732522796352582,0,0,0,0,2,2,0
train,train_258_png.rf.29fb80f3baf2b24747d65c2a68654dcd.jpg,pnorm,2872,1504,2872,1504,1.9095744680851063,1.9095744680851063,0,0,0,0,1,1,0
train,train_272_png.rf.24765a5114e54cdd6e93bf13afde18f6.jpg,pnorm,2868,1504,2868,1504,1.9069148936170213,1.9069148936170213,0,0,0,0,2,2,0
train,train_280_png.rf.4108da8aae2b7e2b0c97402ece437c26.jpg,pnorm,2844,1316,2844,1316,2.161094224924012,2.161094224924012,0,0,0,0,1,1,0
train,train_287_png.rf.b1c935792298ca1ddf2c42dc932196cb.jpg,pnorm,2954,1316,2954,1316,2.24468085106383,2.24468085106383,0,0,0,0,1,1,0
train,train_301_png.rf.1035d42dd6d013869faf583a86b815af.jpg,pnorm,2512,1504,2512,1504,1.6702127659574468,1.6702127659574468,0,0,0,0,2,2,0
train,train_31_png.rf.7882a35de62b7a0885e02eff3065b824.jpg,pnorm,2872,1504,2872,1504,1.9095744680851063,1.9095744680851063,0,0,0,0,1,1,0
train,train_332_png.rf.49523164500fc314c94bc08114c8c2dd.jpg,pnorm,2983,1316,2983,1316,2.2667173252279635,2.2667173252279635,0,0,0,0,2,2,0
train,train_342_png.rf.bc1cca6a58af4b35fc3bc88d852019f8.jpg,pnorm,2942,1316,2942,1316,2.235562310030395,2.235562310030395,0,0,0,0,1,1,0
train,train_358_png.rf.1af68a4058eb379d3c738d92691bcf42.jpg,pnorm,2862,1316,2862,1316,2.174772036474164,2.174772036474164,0,0,0,0,2,2,0
train,train_360_png.rf.79fd08b9e10c2ca0645a9b9943df0cc0.jpg,pnorm,2872,1504,2872,1504,1.9095744680851063,1.9095744680851063,0,0,0,0,1,1,0
train,train_367_png.rf.d81051d756a60a7c8bf04b47df9ef182.jpg,pnorm,2839,1316,2839,1316,2.157294832826748,2.157294832826748,0,0,0,0,1,1,0
train,train_37_png.rf.7f9bea92c1a44dc44b72bc5ecb8e0a51.jpg,pnorm,2872,1504,2872,1504,1.9095744680851063,1.9095744680851063,0,0,0,0,1,1,0
train,train_381_png.rf.4f003cd0787df3254ec3691c7524cbbf.jpg,pnorm,2950,1316,2950,1316,2.2416413373860182,2.2416413373860182,0,0,0,0,1,1,0
train,train_391_png.rf.781f0586045b5482674c5a1d6de79790.jpg,pnorm,2884,1504,2884,1504,1.9175531914893618,1.9175531914893618,0,0,0,0,1,1,0
train,train_393_png.rf.cafa1e56a0c5c293fb1359b1ad30edec.jpg,pnorm,2872,1504,2872,1504,1.9095744680851063,1.9095744680851063,0,0,0,0,1,1,0
train,train_400_png.rf.f53a257ed63ad00d48a275c5df773aa0.jpg,pnorm,2846,1316,2846,1316,2.162613981762918,2.162613981762918,0,0,0,0,1,1,0
train,train_406_png.rf.5ce264df44a454a2855bb988a3ee3a7d.jpg,pnorm,2856,1316,2856,1316,2.1702127659574466,2.1702127659574466,0,0,0,0,3,3,0
