split,source_image,tile_image,row,col,crop_x1,crop_y1,crop_x2,crop_y2,orig_w,orig_h,tile_w,tile_h,source_labels,parsed_boxes,tile_labels,source_boxes_assigned,source_boxes_dropped
train,data/train/images/train_101_png.rf.e3f2bdba7a85c6794e6e6b6116dc59c6.jpg,data_quadrant/train/images/train_101_png.rf.e3f2bdba7a85c6794e6e6b6116dc59c6__r0c0.jpg,0,0,0,0,1750,790,2916,1316,1750,790,2,2,2,2,0
train,data/train/images/train_101_png.rf.e3f2bdba7a85c6794e6e6b6116dc59c6.jpg,data_quadrant/train/images/train_101_png.rf.e3f2bdba7a85c6794e6e6b6116dc59c6__r0c1.jpg,0,1,1166,0,2916,790,2916,1316,1750,790,2,2,1,2,0
train,data/train/images/train_101_png.rf.e3f2bdba7a85c6794e6e6b6116dc59c6.jpg,data_quadrant/train/images/train_101_png.rf.e3f2bdba7a85c6794e6e6b6116dc59c6__r1c0.jpg,1,0,0,526,1750,1316,2916,1316,1750,790,2,2,2,2,0
train,data/train/images/train_101_png.rf.e3f2bdba7a85c6794e6e6b6116dc59c6.jpg,data_quadrant/train/images/train_101_png.rf.e3f2bdba7a85c6794e6e6b6116dc59c6__r1c1.jpg,1,1,1166,526,2916,1316,2916,1316,1750,790,2,2,1,2,0
train,data/train/images/train_104_png.rf.7f6101e52070163e84a91e34e7e3a49d.jpg,data_quadrant/train/images/train_104_png.rf.7f6101e52070163e84a91e34e7e3a49d__r0c0.jpg,0,0,0,0,1627,790,2712,1316,1627,790,1,1,0,1,0
train,data/train/images/train_104_png.rf.7f6101e52070163e84a91e34e7e3a49d.jpg,data_quadrant/train/images/train_104_png.rf.7f6101e52070163e84a91e34e7e3a49d__r0c1.jpg,0,1,1085,0,2712,790,2712,1316,1627,790,1,1,0,1,0
train,data/train/images/train_104_png.rf.7f6101e52070163e84a91e34e7e3a49d.jpg,data_quadrant/train/images/train_104_png.rf.7f6101e52070163e84a91e34e7e3a49d__r1c0.jpg,1,0,0,526,1627,1316,2712,1316,1627,790,1,1,1,1,0
train,data/train/images/train_104_png.rf.7f6101e52070163e84a91e34e7e3a49d.jpg,data_quadrant/train/images/train_104_png.rf.7f6101e52070163e84a91e34e7e3a49d__r1c1.jpg,1,1,1085,526,2712,1316,2712,1316,1627,790,1,1,1,1,0
train,data/train/images/train_112_png.rf.e1b72c959fac2917c5faa72ec820cc44.jpg,data_quadrant/train/images/train_112_png.rf.e1b72c959fac2917c5faa72ec820cc44__r0c0.jpg,0,0,0,0,1186,586,1976,976,1186,586,1,1,0,1,0
train,data/train/images/train_112_png.rf.e1b72c959fac2917c5faa72ec820cc44.jpg,data_quadrant/train/images/train_112_png.rf.e1b72c959fac2917c5faa72ec820cc44__r0c1.jpg,0,1,790,0,1976,586,1976,976,1186,586,1,1,1,1,0
train,data/train/images/train_112_png.rf.e1b72c959fac2917c5faa72ec820cc44.jpg,data_quadrant/train/images/train_112_png.rf.e1b72c959fac2917c5faa72ec820cc44__r1c0.jpg,1,0,0,390,1186,976,1976,976,1186,586,1,1,1,1,0
train,data/train/images/train_112_png.rf.e1b72c959fac2917c5faa72ec820cc44.jpg,data_quadrant/train/images/train_112_png.rf.e1b72c959fac2917c5faa72ec820cc44__r1c1.jpg,1,1,790,390,1976,976,1976,976,1186,586,1,1,1,1,0
train,data/train/images/train_128_png.rf.91dd5f1a7491ef69b3324d71b0969a72.jpg,data_quadrant/train/images/train_128_png.rf.91dd5f1a7491ef69b3324d71b0969a72__r0c0.jpg,0,0,0,0,1710,790,2851,1316,1710,790,1,1,0,1,0
train,data/train/images/train_128_png.rf.91dd5f1a7491ef69b3324d71b0969a72.jpg,data_quadrant/train/images/train_128_png.rf.91dd5f1a7491ef69b3324d71b0969a72__r0c1.jpg,0,1,1140,0,2851,790,2851,1316,1711,790,1,1,0,1,0
train,data/train/images/train_128_png.rf.91dd5f1a7491ef69b3324d71b0969a72.jpg,data_quadrant/train/images/train_128_png.rf.91dd5f1a7491ef69b3324d71b0969a72__r1c0.jpg,1,0,0,526,1710,1316,2851,1316,1710,790,1,1,0,1,0
train,data/train/images/train_128_png.rf.91dd5f1a7491ef69b3324d71b0969a72.jpg,data_quadrant/train/images/train_128_png.rf.91dd5f1a7491ef69b3324d71b0969a72__r1c1.jpg,1,1,1140,526,2851,1316,2851,1316,1711,790,1,1,1,1,0
train,data/train/images/train_139_png.rf.abb491cd95458bf79a88415c08502958.jpg,data_quadrant/train/images/train_139_png.rf.abb491cd95458bf79a88415c08502958__r0c0.jpg,0,0,0,0,1698,790,2831,1316,1698,790,1,1,1,1,0
train,data/train/images/train_139_png.rf.abb491cd95458bf79a88415c08502958.jpg,data_quadrant/train/images/train_139_png.rf.abb491cd95458bf79a88415c08502958__r0c1.jpg,0,1,1132,0,2831,790,2831,1316,1699,790,1,1,0,1,0
train,data/train/images/train_139_png.rf.abb491cd95458bf79a88415c08502958.jpg,data_quadrant/train/images/train_139_png.rf.abb491cd95458bf79a88415c08502958__r1c0.jpg,1,0,0,526,1698,1316,2831,1316,1698,790,1,1,1,1,0
train,data/train/images/train_139_png.rf.abb491cd95458bf79a88415c08502958.jpg,data_quadrant/train/images/train_139_png.rf.abb491cd95458bf79a88415c08502958__r1c1.jpg,1,1,1132,526,2831,1316,2831,1316,1699,790,1,1,0,1,0
train,data/train/images/train_13_png.rf.63f3d093afd72f36bebe6e359cab64f3.jpg,data_quadrant/train/images/train_13_png.rf.63f3d093afd72f36bebe6e359cab64f3__r0c0.jpg,0,0,0,0,1761,790,2935,1316,1761,790,1,1,1,1,0
train,data/train/images/train_13_png.rf.63f3d093afd72f36bebe6e359cab64f3.jpg,data_quadrant/train/images/train_13_png.rf.63f3d093afd72f36bebe6e359cab64f3__r0c1.jpg,0,1,1173,0,2935,790,2935,1316,1762,790,1,1,0,1,0
train,data/train/images/train_13_png.rf.63f3d093afd72f36bebe6e359cab64f3.jpg,data_quadrant/train/images/train_13_png.rf.63f3d093afd72f36bebe6e359cab64f3__r1c0.jpg,1,0,0,526,1761,1316,2935,1316,1761,790,1,1,0,1,0
train,data/train/images/train_13_png.rf.63f3d093afd72f36bebe6e359cab64f3.jpg,data_quadrant/train/images/train_13_png.rf.63f3d093afd72f36bebe6e359cab64f3__r1c1.jpg,1,1,1173,526,2935,1316,2935,1316,1762,790,1,1,0,1,0
train,data/train/images/train_149_png.rf.c54bdae31bfa278aeec8ba6dded24504.jpg,data_quadrant/train/images/train_149_png.rf.c54bdae31bfa278aeec8ba6dded24504__r0c0.jpg,0,0,0,0,1687,790,2812,1316,1687,790,1,1,0,1,0
train,data/train/images/train_149_png.rf.c54bdae31bfa278aeec8ba6dded24504.jpg,data_quadrant/train/images/train_149_png.rf.c54bdae31bfa278aeec8ba6dded24504__r0c1.jpg,0,1,1125,0,2812,790,2812,1316,1687,790,1,1,0,1,0
train,data/train/images/train_149_png.rf.c54bdae31bfa278aeec8ba6dded24504.jpg,data_quadrant/train/images/train_149_png.rf.c54bdae31bfa278aeec8ba6dded24504__r1c0.jpg,1,0,0,526,1687,1316,2812,1316,1687,790,1,1,1,1,0
train,data/train/images/train_149_png.rf.c54bdae31bfa278aeec8ba6dded24504.jpg,data_quadrant/train/images/train_149_png.rf.c54bdae31bfa278aeec8ba6dded24504__r1c1.jpg,1,1,1125,526,2812,1316,2812,1316,1687,790,1,1,0,1,0
