epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.30742,2.98916,6.14703,2.06325,0,0,0,0,2.84438,4.66643,2.08471,0.0005,0.0005,0.0955
2,11.3162,2.78598,5.9082,1.82213,0,0,0,0,2.8096,4.48482,2.04141,0.0009911,0.0009911,0.0899911
3,16.4884,2.76865,4.97019,1.83363,0.00067,0.12903,0.00021,3e-05,2.98387,4.35465,2.14231,0.0013634,0.0013634,0.0843634
4,21.5741,3.20154,5.01749,2.18223,0,0,0,0,2.89925,4.32064,2.04134,0.0016169,0.0016169,0.0786169
5,26.4101,3.19666,4.63837,2.14482,0,0,0,0,2.82735,4.29887,2.00799,0.0017516,0.0017516,0.0727516
6,31.1583,3.14737,4.44115,2.06492,0,0,0,0,2.74982,4.22814,1.89828,0.0017675,0.0017675,0.0667675
7,36.3219,2.69264,3.98815,1.91575,0,0,0,0,2.72779,4.11421,1.8666,0.0016646,0.0016646,0.0606646
8,43.1614,3.02519,3.70581,2.09483,0.0023,0.12903,0.00061,7e-05,2.84375,3.98838,1.85893,0.0014429,0.0014429,0.0544429
9,50.439,2.8745,3.47005,1.99236,0.00458,0.32258,0.00164,0.00033,2.78104,3.92115,1.81812,0.0011024,0.0011024,0.0481024
10,57.5573,3.03517,3.5262,2.16699,0.00557,0.41935,0.00232,0.00046,2.80933,3.86126,1.858,0.0006431,0.0006431,0.0416431
