epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.18688,2.84933,6.72963,2.38983,0.00119,0.23226,0.00077,0.00027,2.13025,4.30477,1.93173,0.094084,8.4e-05,8.4e-05
2,7.14133,2.50803,5.52323,2.07692,0,0,0,0,2.45669,3.65113,2.10165,0.0871797,0.000179748,0.000179748
3,10.1313,2.0864,3.63296,1.61663,0,0,0,0,2.57653,3.63355,2.31351,0.0802731,0.00027307,0.00027307
4,12.9662,1.94433,3.10914,1.49416,0,0,0,0,2.67082,3.6564,2.42664,0.073364,0.000363967,0.000363967
5,15.9677,2.00566,2.76674,1.66989,0,0,0,0,1.97428,3.67287,1.92913,0.0664524,0.000452438,0.000452438
6,18.8436,1.79662,2.17846,1.51316,0,0,0,0,1.70532,3.70226,1.75332,0.0595385,0.000538484,0.000538484
7,21.8217,1.82875,2.09048,1.61564,0.66667,0.0129,0.33929,0.08497,1.58621,3.72559,1.64564,0.0526221,0.000622104,0.000622104
8,24.7404,1.80677,1.9869,1.65124,0.82143,0.14839,0.48853,0.23705,1.43098,3.57233,1.53777,0.0457033,0.000703299,0.000703299
9,27.6023,1.76836,1.83403,1.6641,0.71875,0.29677,0.50558,0.2568,1.39934,3.45335,1.47295,0.0387821,0.000782068,0.000782068
10,30.5016,1.69724,1.65612,1.53663,0.58784,0.56129,0.60097,0.28489,1.47196,3.28225,1.5762,0.0318584,0.000858412,0.000858412
11,33.4324,1.71541,1.72402,1.56555,0.39209,0.70323,0.55707,0.28126,1.38715,3.11456,1.45152,0.0249323,0.00093233,0.00093233
12,36.2124,1.64289,1.4898,1.56674,0.45835,0.60645,0.58192,0.28225,1.42606,2.46641,1.5218,0.0180038,0.00100382,0.00100382
13,38.9729,1.66894,1.49603,1.50791,0.72281,0.55518,0.68384,0.34329,1.36993,2.2393,1.48598,0.0110729,0.00107289,0.00107289
14,41.9544,1.64653,1.38089,1.48064,0.93724,0.38538,0.74171,0.37615,1.33779,2.00437,1.45789,0.00413953,0.00113953,0.00113953
15,44.8666,1.59973,1.42735,1.5533,0.85004,0.35484,0.66344,0.32132,1.47449,2.07744,1.59864,0.00115745,0.00115745,0.00115745
