epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.1071,2.8742,6.90537,2.37382,0.00135,0.26452,0.0009,0.00031,2.17095,4.29268,1.91578,0.094084,8.4e-05,8.4e-05
2,7.04692,2.68492,5.68406,2.19511,0.00175,0.34194,0.00123,0.0003,2.07861,3.60179,1.93942,0.0871797,0.000179748,0.000179748
3,9.85798,2.00029,3.79077,1.56306,0,0,0,0,2.18938,3.42584,1.76382,0.0802731,0.00027307,0.00027307
4,12.4697,2.05012,2.9974,1.55823,0,0,0,0,1.90009,3.50751,1.58298,0.073364,0.000363967,0.000363967
5,15.5622,2.03751,2.43686,1.7082,0.5,0.00645,0.25411,0.05082,1.56046,3.5977,1.47063,0.0664524,0.000452438,0.000452438
6,18.4565,1.87998,1.99482,1.51949,0.59155,0.27097,0.40946,0.19695,1.5516,3.58484,1.46174,0.0595385,0.000538484,0.000538484
7,21.4443,1.84918,1.96212,1.53515,0.25545,0.52903,0.38652,0.18579,1.55625,3.50666,1.42047,0.0526221,0.000622104,0.000622104
8,24.3246,1.73373,1.7997,1.48294,0.14339,0.49677,0.23317,0.1143,1.52469,3.46886,1.36575,0.0457033,0.000703299,0.000703299
9,27.2229,1.74732,1.65016,1.53819,0.39891,0.47097,0.45228,0.22638,1.41461,3.49155,1.30828,0.0387821,0.000782068,0.000782068
10,30.0707,1.68733,1.56657,1.43424,0.17772,0.8129,0.5258,0.26777,1.43969,2.95608,1.28143,0.0318584,0.000858412,0.000858412
11,32.8395,1.67603,1.53245,1.44763,0.61886,0.45806,0.53373,0.25718,1.50485,2.59331,1.2998,0.0249323,0.00093233,0.00093233
12,35.6795,1.61946,1.46911,1.46223,0.96112,0.15953,0.45525,0.2002,1.71469,2.70675,1.49078,0.0180038,0.00100382,0.00100382
13,38.5341,1.74561,1.5908,1.47174,0.92797,0.24937,0.65009,0.29506,1.64081,2.55901,1.40269,0.0110729,0.00107289,0.00107289
14,41.4806,1.82032,1.47351,1.48656,0.29908,0.1349,0.16515,0.06474,1.73768,2.82823,1.48609,0.00413953,0.00113953,0.00113953
15,44.3116,1.64597,1.41204,1.43476,0.11615,0.16129,0.05862,0.02643,1.67658,2.95374,1.43793,0.00115745,0.00115745,0.00115745
16,47.3096,1.62414,1.30819,1.4109,0.44203,0.30968,0.27057,0.12072,1.68428,2.50155,1.43746,0.00114012,0.00114012,0.00114012
17,50.171,1.63868,1.40098,1.43141,0.52449,0.3871,0.45674,0.20833,1.56336,2.02389,1.35661,0.0011228,0.0011228,0.0011228
18,53.1413,1.60134,1.42897,1.43556,0.68128,0.67742,0.71572,0.33249,1.43283,1.47159,1.31837,0.00110548,0.00110548,0.00110548
19,56.09,1.56648,1.32495,1.39143,0.76604,0.70968,0.76485,0.35341,1.52239,1.33679,1.41289,0.00108815,0.00108815,0.00108815
20,58.8898,1.50688,1.24618,1.37018,0.76218,0.78065,0.84808,0.43728,1.35145,1.11965,1.25447,0.00107082,0.00107082,0.00107082
21,61.8374,1.55961,1.25374,1.34867,0.81958,0.73548,0.84904,0.45503,1.3201,1.14128,1.2491,0.0010535,0.0010535,0.0010535
22,64.71,1.44444,1.0935,1.29642,0.71318,0.67376,0.74965,0.36172,1.45537,1.30746,1.42805,0.00103618,0.00103618,0.00103618
23,67.6169,1.41807,1.18279,1.33291,0.83655,0.69343,0.82054,0.45478,1.27476,1.25088,1.25491,0.00101885,0.00101885,0.00101885
24,70.6109,1.52297,1.16663,1.4025,0.83703,0.85806,0.90174,0.52215,1.26798,1.03112,1.19664,0.00100153,0.00100153,0.00100153
25,73.5724,1.38536,1.10078,1.26346,0.84482,0.84296,0.898,0.53477,1.25986,1.00583,1.20883,0.0009842,0.0009842,0.0009842
26,76.5885,1.32623,1.05356,1.2705,0.88368,0.83871,0.91536,0.48761,1.3414,1.02843,1.29199,0.000966875,0.000966875,0.000966875
27,79.3338,1.49167,1.12091,1.35384,0.91681,0.92435,0.96494,0.58868,1.16197,0.84689,1.15739,0.00094955,0.00094955,0.00094955
28,82.3193,1.32997,1.10437,1.30405,0.94316,0.87742,0.96151,0.56057,1.21078,0.84632,1.19616,0.000932225,0.000932225,0.000932225
29,85.2087,1.31467,1.02048,1.2519,0.95044,0.80645,0.9458,0.53107,1.26039,0.91182,1.21373,0.0009149,0.0009149,0.0009149
30,88.2202,1.35469,0.99813,1.231,0.90169,0.88387,0.96341,0.59125,1.14095,0.83439,1.1149,0.000897575,0.000897575,0.000897575
31,91.1031,1.35793,1.00191,1.25736,0.87611,0.9125,0.95063,0.59346,1.13714,0.84863,1.09829,0.00088025,0.00088025,0.00088025
32,94.0489,1.27245,0.99758,1.16783,0.87681,0.87097,0.93638,0.53791,1.2537,0.94409,1.16838,0.000862925,0.000862925,0.000862925
33,96.9655,1.31931,0.95138,1.16371,0.90143,0.88504,0.94755,0.56478,1.22382,0.831,1.15762,0.0008456,0.0008456,0.0008456
34,99.9272,1.28846,0.9886,1.18869,0.92535,0.95963,0.97276,0.63673,1.08745,0.71367,1.05977,0.000828275,0.000828275,0.000828275
35,102.811,1.28107,0.95732,1.16371,0.90178,0.94775,0.97269,0.61566,1.12109,0.72422,1.10127,0.00081095,0.00081095,0.00081095
36,105.564,1.27661,0.91469,1.17988,0.91874,0.90968,0.97043,0.61242,1.14715,0.71777,1.11778,0.000793625,0.000793625,0.000793625
37,108.515,1.24027,0.86094,1.22912,0.97329,0.90968,0.98272,0.63691,1.08801,0.6798,1.08327,0.0007763,0.0007763,0.0007763
38,111.218,1.24365,0.91715,1.2376,0.96563,0.92258,0.9726,0.63948,1.10244,0.69552,1.10816,0.000758975,0.000758975,0.000758975
39,114.149,1.20194,0.89273,1.17976,0.96661,0.93376,0.98334,0.675,1.02705,0.70705,1.02119,0.00074165,0.00074165,0.00074165
40,117.161,1.22898,0.89267,1.1488,0.94843,0.94921,0.97733,0.64553,1.09958,0.68784,1.08658,0.000724325,0.000724325,0.000724325
41,120.079,1.26996,0.89421,1.19774,0.95495,0.94839,0.97899,0.64246,1.098,0.66161,1.08832,0.000707,0.000707,0.000707
42,123.1,1.27025,0.93291,1.19252,0.94959,0.97224,0.99071,0.67111,1.00046,0.61906,1.03269,0.000689675,0.000689675,0.000689675
43,126.07,1.26046,0.93198,1.21212,0.96086,0.95036,0.98434,0.6612,1.00796,0.62875,1.03332,0.00067235,0.00067235,0.00067235
44,128.997,1.14613,0.8375,1.12932,0.92877,0.94194,0.97829,0.62939,1.09783,0.67141,1.09128,0.000655025,0.000655025,0.000655025
45,131.808,1.20175,0.88159,1.18143,0.93989,0.94839,0.98194,0.64293,1.07126,0.65234,1.07289,0.0006377,0.0006377,0.0006377
46,134.673,1.13715,0.84852,1.12101,0.97165,0.92903,0.98542,0.70615,0.90772,0.58796,0.97762,0.000620375,0.000620375,0.000620375
47,137.652,1.19948,0.78534,1.12649,0.97827,0.96129,0.99009,0.72246,0.84639,0.56228,0.93647,0.00060305,0.00060305,0.00060305
48,140.595,1.11291,0.80892,1.09944,0.99098,0.96774,0.9926,0.70728,0.89969,0.56323,0.96504,0.000585725,0.000585725,0.000585725
49,143.506,1.1495,0.77115,1.13472,0.99253,0.96774,0.99222,0.68463,0.93906,0.57533,0.98899,0.0005684,0.0005684,0.0005684
50,146.383,1.13238,0.81359,1.14728,0.98329,0.96774,0.99163,0.69285,0.93437,0.58398,0.99102,0.000551075,0.000551075,0.000551075
51,149.281,1.10256,0.75466,1.08502,1,0.96596,0.99345,0.7323,0.85942,0.56711,0.93138,0.00053375,0.00053375,0.00053375
52,152.189,1.09337,0.76048,1.08226,0.96798,0.97531,0.99292,0.71772,0.89127,0.55872,0.94807,0.000516425,0.000516425,0.000516425
53,155.056,1.1374,0.75756,1.08888,0.97414,0.97214,0.99174,0.71594,0.90573,0.5722,0.95879,0.0004991,0.0004991,0.0004991
54,157.84,1.03641,0.72425,1.12599,0.98025,0.96055,0.99227,0.72908,0.87184,0.57708,0.94328,0.000481775,0.000481775,0.000481775
55,160.832,0.99088,0.69536,1.07825,0.99207,0.95484,0.99347,0.75122,0.82446,0.57889,0.91838,0.00046445,0.00046445,0.00046445
56,163.831,1.06822,0.69374,1.05512,0.97546,0.97419,0.99313,0.74562,0.83852,0.60563,0.92498,0.000447125,0.000447125,0.000447125
57,166.753,1.02381,0.74677,1.03922,0.98027,0.96156,0.99275,0.72816,0.88142,0.61405,0.94987,0.0004298,0.0004298,0.0004298
58,169.689,1.01761,0.71343,1.07044,0.98153,0.96774,0.99057,0.71758,0.88387,0.59846,0.95643,0.000412475,0.000412475,0.000412475
59,172.697,1.01863,0.70865,1.06114,0.99042,0.96774,0.99182,0.7132,0.90859,0.58586,0.96795,0.00039515,0.00039515,0.00039515
60,175.65,0.96022,0.70423,1.04279,0.98707,0.98504,0.99385,0.73795,0.87009,0.54936,0.95188,0.000377825,0.000377825,0.000377825
61,178.433,1.04985,0.74725,1.10441,0.99801,0.98065,0.99422,0.74883,0.8313,0.53302,0.92377,0.0003605,0.0003605,0.0003605
62,181.447,1.04659,0.68462,1.04766,0.99219,0.9871,0.99445,0.74979,0.82083,0.51617,0.91857,0.000343175,0.000343175,0.000343175
63,184.415,1.00738,0.67534,1.04406,0.99758,0.9871,0.99445,0.72834,0.8909,0.52208,0.94878,0.00032585,0.00032585,0.00032585
64,187.432,0.92683,0.63198,1.01912,0.99813,0.9871,0.99451,0.75073,0.82503,0.51062,0.9249,0.000308525,0.000308525,0.000308525
65,190.429,1.02242,0.68717,1.04078,0.99794,0.9871,0.99475,0.76323,0.78598,0.50247,0.90926,0.0002912,0.0002912,0.0002912
66,193.353,1.02609,0.64367,1.07949,0.99853,0.9871,0.99475,0.78126,0.73147,0.49264,0.88608,0.000273875,0.000273875,0.000273875
67,196.276,0.97238,0.64844,1.04116,0.999,0.98065,0.99469,0.78259,0.72638,0.49186,0.88061,0.00025655,0.00025655,0.00025655
68,199.148,0.91006,0.64683,1.01861,0.99835,0.98065,0.99462,0.77663,0.7509,0.50517,0.88962,0.000239225,0.000239225,0.000239225
69,202.086,0.92043,0.61663,1.03999,0.99794,0.98065,0.99469,0.78197,0.73281,0.49902,0.8817,0.0002219,0.0002219,0.0002219
70,204.98,0.93261,0.61837,1.0259,0.99881,0.98065,0.99469,0.7937,0.70297,0.48858,0.87081,0.000204575,0.000204575,0.000204575
71,209.889,0.93221,0.69803,1.01546,0.99232,0.98065,0.99456,0.80076,0.6912,0.48276,0.86431,0.00018725,0.00018725,0.00018725
72,212.765,0.87654,0.61421,1.02268,0.99171,0.98065,0.99419,0.80373,0.69001,0.48684,0.85849,0.000169925,0.000169925,0.000169925
73,215.605,0.88951,0.5897,1.01518,0.9916,0.98065,0.99384,0.80335,0.69503,0.494,0.85835,0.0001526,0.0001526,0.0001526
74,218.594,0.89744,0.60623,0.96831,0.99344,0.97667,0.99292,0.79421,0.71722,0.50896,0.86546,0.000135275,0.000135275,0.000135275
75,221.552,0.83063,0.55456,0.99384,0.98595,0.97419,0.98924,0.78281,0.73569,0.51812,0.87552,0.00011795,0.00011795,0.00011795
76,224.506,0.81342,0.563,0.96657,0.98063,0.97968,0.99005,0.78653,0.73849,0.50571,0.87696,0.000100625,0.000100625,0.000100625
77,227.385,0.93324,0.60977,1.02384,0.98063,0.97966,0.99062,0.78458,0.73507,0.5001,0.87419,8.33e-05,8.33e-05,8.33e-05
78,230.283,0.88121,0.61062,1.02334,0.99038,0.97419,0.99338,0.78611,0.73414,0.49071,0.87335,6.5975e-05,6.5975e-05,6.5975e-05
79,233.24,0.78562,0.55338,0.96677,0.98071,0.98406,0.99364,0.79053,0.72622,0.48462,0.87018,4.865e-05,4.865e-05,4.865e-05
80,236.282,0.84026,0.56125,0.96814,0.9934,0.97043,0.99403,0.79101,0.72343,0.4772,0.87003,3.1325e-05,3.1325e-05,3.1325e-05
