epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9299,2.29846,4.81266,1.82954,0,0,0,0,2.54968,4.0746,2.18948,0.07535,0.00035,0.00035
2,20.1204,1.86757,2.1714,1.50455,0.875,0.02258,0.448,0.22365,1.7289,4.39422,1.52464,0.0497052,0.000705164,0.000705164
3,29.6818,1.85482,1.7177,1.53362,0.14546,0.84839,0.54564,0.22827,1.74502,3.3089,1.60985,0.0240513,0.00105132,0.00105132
4,38.7213,1.66798,1.42226,1.43343,0.85464,0.28449,0.62237,0.306,1.70512,2.80513,1.50948,0.00134803,0.00134803,0.00134803
5,47.991,1.55684,1.33439,1.38808,0.66374,0.64946,0.66623,0.29316,1.72872,1.62786,1.58427,0.0013307,0.0013307,0.0013307
6,57.1533,1.55536,1.29357,1.37718,0.54529,0.54194,0.4864,0.23065,1.85884,1.88363,1.63529,0.00131337,0.00131337,0.00131337
7,66.2578,1.60202,1.22645,1.39891,0.60731,0.74516,0.72962,0.36746,1.56177,1.63816,1.39693,0.00129605,0.00129605,0.00129605
8,75.3374,1.41808,1.13204,1.2774,0.80495,0.74552,0.83715,0.454,1.50594,1.43784,1.3315,0.00127872,0.00127872,0.00127872
9,84.5051,1.41706,1.06099,1.26141,0.83944,0.82903,0.88886,0.46648,1.48251,1.16372,1.39918,0.0012614,0.0012614,0.0012614
10,93.2577,1.34414,0.9817,1.23402,0.91751,0.89705,0.95972,0.58088,1.32095,0.90226,1.27643,0.00124408,0.00124408,0.00124408
11,102.444,1.30898,0.96591,1.21894,0.9443,0.92963,0.97737,0.63988,1.19645,0.80801,1.22881,0.00122675,0.00122675,0.00122675
12,111.567,1.29096,0.9167,1.20494,0.95633,0.92903,0.97802,0.62072,1.20985,0.85686,1.18844,0.00120943,0.00120943,0.00120943
13,120.687,1.30197,0.94822,1.234,0.92994,0.95806,0.98049,0.65199,1.16381,0.7929,1.2006,0.0011921,0.0011921,0.0011921
14,129.761,1.21679,0.82771,1.18035,0.94455,0.94839,0.98252,0.67286,1.14426,0.77323,1.18618,0.00117478,0.00117478,0.00117478
15,138.773,1.27867,0.9068,1.24302,0.95163,0.95206,0.98427,0.65906,1.17757,0.74539,1.2297,0.00115745,0.00115745,0.00115745
16,147.835,1.19453,0.84029,1.1505,0.95782,0.9523,0.9847,0.68355,1.12892,0.73488,1.15747,0.00114012,0.00114012,0.00114012
