epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.1844,2.63447,5.23773,2.11172,0,0,0,0,3.2792,4.64777,2.13302,7e-05,7e-05,0.09507
2,40.2259,2.94503,4.19445,2.3193,0,0,0,0,4.19852,4.87462,3.32095,0.000153238,0.000153238,0.0891532
3,58.6328,2.85548,3.64907,2.43188,0,0,0,0,4.86654,4.92563,4.27845,0.000235644,0.000235644,0.0832356
4,76.1343,2.97745,3.37021,2.79022,0,0,0,0,4.51191,4.74233,4.2293,0.000317218,0.000317218,0.0773172
5,93.8166,3.04195,3.00894,2.564,0,0,0,0,3.72805,4.77891,3.7314,0.000397961,0.000397961,0.071398
6,111.627,2.94035,2.84882,2.52867,0,0,0,0,3.45198,4.8357,4.21912,0.000477873,0.000477873,0.0654779
7,129.272,3.0458,2.8351,2.76226,0,0,0,0,3.36668,4.86531,4.52517,0.000556952,0.000556952,0.059557
8,147.575,3.37465,2.56223,3.23759,0,0,0,0,3.35372,5.08095,4.95292,0.0006352,0.0006352,0.0536352
9,166.572,3.86647,2.6206,3.66165,0,0,0,0,3.38686,5.04333,4.73959,0.000712617,0.000712617,0.0477126
10,186.048,3.22048,2.38454,3.04962,0,0,0,0,3.58175,5.09387,5.56147,0.000789202,0.000789202,0.0417892
11,206.904,2.82834,2.23511,2.88888,0,0,0,0,3.70069,4.99732,6.97615,0.000864955,0.000864955,0.035865
12,227.696,3.23476,2.43791,3.59673,0,0,0,0,3.67665,13.7297,13.1083,0.000939877,0.000939877,0.0299399
13,247.411,3.26761,2.52491,3.33915,0.00017,0.03226,1e-05,0,3.56208,42.4349,14.38,0.00101397,0.00101397,0.024014
14,266.941,3.16307,2.34805,3.29271,0.00067,0.06452,7e-05,1e-05,3.54309,82.1857,8.9299,0.00108723,0.00108723,0.0180872
15,288.14,3.07901,2.33777,3.13707,0.00463,0.06452,0.00097,0.0002,3.47607,32.0673,5.46987,0.00115965,0.00115965,0.0121597
16,311.251,3.13697,2.39923,3.15868,0.18104,0.30679,0.11739,0.03338,3.09232,3.15969,3.92475,0.00123125,0.00123125,0.00623125
17,334.706,3.04763,2.28885,2.92662,0.21017,0.3435,0.13511,0.02825,3.10712,2.9406,3.8289,0.00128912,0.00128912,0.00128912
18,358.372,2.91218,2.24583,2.96094,0.18093,0.25806,0.08361,0.02334,2.95492,3.51244,3.41418,0.00128219,0.00128219,0.00128219
