epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7643,2.71068,6.57685,2.19473,0.00017,0.03226,1e-05,0,2.22383,5.32602,2.0785,0.000934,0.000934,0.090934
2,13.2526,2.4759,6.01063,2.13503,0.00033,0.06452,3e-05,0,2.01834,5.19209,2.05948,0.00193713,0.00193713,0.0809371
3,15.3997,2.07052,5.21539,1.77447,0.0005,0.09677,5e-05,1e-05,2.01033,4.89635,1.87625,0.00291483,0.00291483,0.0709148
4,15.5141,1.82776,4.66975,1.55745,0.00317,0.6129,0.0022,0.00063,1.93384,4.53653,1.66527,0.0038671,0.0038671,0.0608671
5,18.3677,1.75893,4.26398,1.41447,0.00417,0.80645,0.00553,0.00173,1.93627,4.34181,1.54318,0.00479394,0.00479394,0.0507939
6,20.9641,1.72546,3.92866,1.42879,0.00417,0.80645,0.04386,0.00603,1.83437,3.90863,1.62371,0.00569536,0.00569536,0.0406954
7,23.1881,1.79775,3.54969,1.5639,0.00467,0.90323,0.24662,0.09296,1.82387,3.45685,1.50497,0.00657134,0.00657134,0.0305713
8,25.2291,1.64544,3.55226,1.46307,0.0045,0.87097,0.29447,0.12074,1.88927,3.48364,1.79381,0.0074219,0.0074219,0.0204219
9,27.5327,1.82532,3.08466,1.52969,0.78745,0.23985,0.30414,0.07198,2.32152,3.46553,2.09813,0.00824703,0.00824703,0.010247
10,29.7611,1.81686,3.35891,1.53612,0.48274,0.42155,0.3937,0.13661,2.19461,3.015,1.79295,0.00829976,0.00829976,0.00829976
11,32.1337,2.0895,3.0479,1.9243,0.56313,0.41935,0.47474,0.16379,1.77792,3.04516,1.63879,0.00818417,0.00818417,0.00818417
12,34.7256,1.85725,2.90146,1.51394,0.42684,0.24069,0.23071,0.09022,1.82924,3.12882,1.57548,0.00806859,0.00806859,0.00806859
13,37.2445,1.95913,2.83183,1.56866,0.1455,0.22581,0.08166,0.0236,2.06799,3.57506,1.8851,0.00795301,0.00795301,0.00795301
14,39.5198,1.84624,2.58987,1.55433,0.30986,0.25806,0.2763,0.11816,2.02431,2.89567,1.88975,0.00783743,0.00783743,0.00783743
15,41.8443,1.76706,2.69858,1.39725,0.44845,0.44604,0.38098,0.12583,1.9982,2.71384,1.68082,0.00772184,0.00772184,0.00772184
16,44.0586,1.66298,2.60427,1.34075,0.47364,0.32258,0.2725,0.08852,2.18703,3.40341,1.91961,0.00760626,0.00760626,0.00760626
17,44.0071,1.63912,2.16297,1.32411,0.40997,0.35484,0.27722,0.08085,2.00789,2.68791,1.85953,0.00749068,0.00749068,0.00749068
18,46.6407,1.67754,2.10731,1.42269,0.52002,0.51613,0.47425,0.15093,2.09902,2.9855,1.82665,0.0073751,0.0073751,0.0073751
19,49.1445,1.54942,2.0895,1.32757,0.32154,0.45161,0.31898,0.07554,1.98418,4.65149,1.97554,0.00725951,0.00725951,0.00725951
20,51.3509,1.52313,1.93206,1.26701,0.39531,0.6129,0.3692,0.11775,1.87085,2.67829,1.84043,0.00714393,0.00714393,0.00714393
21,53.5444,1.55068,1.88649,1.28548,0.50944,0.54839,0.49149,0.17161,1.92698,3.21724,1.95679,0.00702835,0.00702835,0.00702835
22,56.0085,1.58575,1.89584,1.30102,0.55659,0.64793,0.60905,0.23766,1.89035,2.19725,1.75233,0.00691277,0.00691277,0.00691277
23,58.5954,1.4175,1.73861,1.19088,0.51849,0.6129,0.56236,0.20088,1.78159,2.26528,1.70908,0.00679718,0.00679718,0.00679718
24,61.1289,1.37451,2.30327,1.13127,0.70973,0.63126,0.65196,0.20619,1.88637,2.10996,1.69751,0.0066816,0.0066816,0.0066816
25,63.7053,1.44095,1.85687,1.25761,0.74158,0.54839,0.65834,0.21908,1.86248,2.23177,1.66838,0.00656602,0.00656602,0.00656602
26,66.1855,1.44851,1.65738,1.23753,0.52234,0.70968,0.52647,0.16659,1.83156,2.05855,1.62658,0.00645044,0.00645044,0.00645044
27,68.4224,1.48137,1.63641,1.26938,0.53924,0.58065,0.55191,0.18092,2.03694,2.11862,1.75551,0.00633485,0.00633485,0.00633485
28,70.4711,1.39626,1.57783,1.20756,0.50588,0.56166,0.40587,0.1328,2.24289,2.01886,2.02905,0.00621927,0.00621927,0.00621927
29,72.6993,1.47305,1.64602,1.24903,0.74069,0.51613,0.54335,0.20219,2.00825,2.00396,1.73458,0.00610369,0.00610369,0.00610369
30,74.8233,1.36976,1.55204,1.24436,0.55576,0.58065,0.54089,0.18383,2.01336,2.04547,1.80237,0.00598811,0.00598811,0.00598811
31,74.4194,1.34134,1.43744,1.17796,0.62329,0.51613,0.54127,0.20937,1.85239,2.07494,1.58539,0.00587252,0.00587252,0.00587252
32,76.8021,1.31719,1.31764,1.18129,0.64416,0.52582,0.5362,0.1874,2.26264,2.39552,1.86271,0.00575694,0.00575694,0.00575694
33,79.2264,1.29072,1.27431,1.15907,0.68801,0.71142,0.66187,0.21413,2.27989,2.15198,2.01262,0.00564136,0.00564136,0.00564136
34,81.4334,1.20461,1.63846,1.0542,0.55105,0.45161,0.47715,0.18283,2.10732,2.26701,1.96221,0.00552578,0.00552578,0.00552578
35,83.6539,1.23376,1.20358,1.13235,0.76655,0.64516,0.69136,0.24419,2.32812,1.90049,1.98674,0.00541019,0.00541019,0.00541019
36,86.1745,1.27932,1.20719,1.10628,0.60865,0.70254,0.70257,0.27258,2.20477,1.90971,1.82301,0.00529461,0.00529461,0.00529461
37,88.4139,1.30438,1.21048,1.13144,0.79232,0.61544,0.69074,0.25287,2.17422,1.74941,1.78768,0.00517903,0.00517903,0.00517903
38,90.5652,1.20374,1.22654,1.09327,0.63043,0.77419,0.6457,0.22409,2.09039,1.76639,1.90667,0.00506345,0.00506345,0.00506345
39,92.993,1.20881,1.10776,1.10505,0.65344,0.60837,0.54889,0.19299,2.19624,1.87258,1.99929,0.00494787,0.00494787,0.00494787
40,95.2841,1.18113,1.17122,1.09338,0.65599,0.74194,0.68048,0.25313,2.07487,1.78102,1.71955,0.00483228,0.00483228,0.00483228
41,97.8379,1.08028,1.33822,0.96457,0.70814,0.64516,0.67601,0.28375,2.10746,1.6557,1.74224,0.0047167,0.0047167,0.0047167
42,99.9377,1.18758,1.02874,1.071,0.64898,0.70968,0.67473,0.25857,2.1743,1.58349,1.74383,0.00460112,0.00460112,0.00460112
43,102.161,1.23903,1.06122,1.08142,0.6744,0.66835,0.64388,0.21812,2.35357,1.72075,1.88492,0.00448553,0.00448553,0.00448553
44,104.519,1.20998,1.06426,1.06585,0.58013,0.58065,0.49045,0.18564,2.12974,1.66763,1.95146,0.00436995,0.00436995,0.00436995
45,104.043,1.1517,1.10265,1.10858,0.74232,0.67742,0.66622,0.23365,2.00747,1.59536,1.76062,0.00425437,0.00425437,0.00425437
46,106.19,1.16901,1.06273,1.0666,0.757,0.60323,0.61952,0.20996,2.0245,1.70965,1.75035,0.00413879,0.00413879,0.00413879
47,108.621,1.09313,0.99108,1.02407,0.80074,0.67742,0.71399,0.2437,2.11311,1.53879,1.83128,0.00402321,0.00402321,0.00402321
48,111.105,1.11948,0.98141,1.05871,0.741,0.67742,0.71653,0.26943,2.03107,1.61467,1.74299,0.00390762,0.00390762,0.00390762
49,113.629,1.02219,0.97616,1.0004,0.87922,0.70466,0.74773,0.26459,2.14743,1.46004,1.82589,0.00379204,0.00379204,0.00379204
50,115.836,1.08234,0.93997,1.0281,0.82303,0.48387,0.58992,0.21487,2.21429,1.78982,1.88479,0.00367646,0.00367646,0.00367646
51,117.968,1.13256,0.95651,1.04197,0.74875,0.58065,0.67062,0.23997,2.0796,1.61427,1.82795,0.00356087,0.00356087,0.00356087
52,120.12,1.07658,0.87109,1.00597,0.89291,0.53832,0.65992,0.21916,2.0974,1.47898,1.95352,0.00344529,0.00344529,0.00344529
53,122.63,1.04334,0.9309,1.02027,0.50364,0.6129,0.56952,0.2139,2.12537,1.6179,1.87705,0.00332971,0.00332971,0.00332971
54,125.027,1.03955,0.88262,0.98768,0.70059,0.48387,0.59291,0.20641,2.21293,1.48682,1.94967,0.00321413,0.00321413,0.00321413
55,127.365,0.96123,0.90622,0.9812,0.56879,0.70968,0.63978,0.23353,2.07444,1.44081,1.83435,0.00309854,0.00309854,0.00309854
56,129.626,1.00873,0.90417,0.98856,0.72203,0.6129,0.67733,0.25567,2.08885,1.30034,1.79316,0.00298296,0.00298296,0.00298296
57,131.885,1.02507,0.90195,0.98934,0.57156,0.6129,0.59222,0.21705,2.04798,1.58969,1.82414,0.00286738,0.00286738,0.00286738
58,134.065,0.95413,0.84044,0.99586,0.65367,0.73083,0.68467,0.2672,1.99069,1.48888,1.76836,0.0027518,0.0027518,0.0027518
59,133.839,0.89664,1.06099,0.90338,0.70488,0.77056,0.69856,0.25096,2.01249,1.50691,1.77488,0.00263621,0.00263621,0.00263621
60,136.223,0.97024,0.83633,0.97943,0.64546,0.74194,0.71477,0.2482,2.1186,1.51473,1.91369,0.00252063,0.00252063,0.00252063
61,138.819,1.02758,0.89472,0.99118,0.63419,0.78311,0.73422,0.27304,2.0936,1.44939,1.87536,0.00240505,0.00240505,0.00240505
