epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.96124,2.6497,6.60907,2.1585,0.00017,0.03226,1e-05,0,2.23807,5.18917,2.04418,0.0002445,0.0002445,0.0902445
2,12.6492,2.64717,6.30475,2.18201,0.00017,0.03226,1e-05,0,2.1299,5.0244,2.03613,0.000510908,0.000510908,0.0795109
3,15.1753,2.42657,5.85649,2.06836,0.00067,0.12903,9e-05,4e-05,2.10958,5.00206,1.98143,0.000774654,0.000774654,0.0687747
4,17.6165,2.11693,5.30753,1.80152,0.00083,0.16129,0.0002,0.00011,1.91226,4.71972,1.77556,0.00103574,0.00103574,0.0580357
5,19.9338,1.98988,5.13417,1.62109,0.0015,0.29032,0.00051,0.00018,1.93437,4.54883,1.71992,0.00129416,0.00129416,0.0472942
6,22.1751,1.77175,4.56354,1.48161,0.00317,0.6129,0.00217,0.00062,1.89757,4.49904,1.72469,0.00154992,0.00154992,0.0365499
7,24.6053,1.73505,4.34373,1.51408,0.00433,0.83871,0.00393,0.0015,1.70293,4.17822,1.49232,0.00180301,0.00180301,0.025803
8,26.4307,1.75018,4.38163,1.41752,0.00417,0.80645,0.00357,0.00111,1.98248,4.15029,1.65317,0.00205344,0.00205344,0.0150534
9,28.6498,1.56567,3.99881,1.31174,0.00483,0.93548,0.00495,0.00143,2.00496,3.93168,1.66056,0.00230121,0.00230121,0.00430121
10,30.8075,1.57942,4.09806,1.34008,0.00433,0.83871,0.02982,0.00695,1.90022,3.89007,1.75466,0.00233608,0.00233608,0.00233608
11,33.1114,1.5683,4.14836,1.36029,0.00483,0.93548,0.02668,0.00872,1.99294,3.85613,1.64381,0.00232397,0.00232397,0.00232397
12,35.2263,1.52533,3.69557,1.32678,0.28296,0.22581,0.14409,0.0557,1.85003,3.7244,1.67888,0.00231187,0.00231187,0.00231187
13,37.576,1.5424,3.57587,1.29183,0.35891,0.25806,0.22571,0.0811,1.89895,3.73104,1.74206,0.00229977,0.00229977,0.00229977
14,39.8388,1.54198,3.35149,1.31491,0.25262,0.09677,0.13308,0.0632,1.8641,3.79529,1.74566,0.00228766,0.00228766,0.00228766
15,41.9942,1.56661,3.31627,1.29972,0.29686,0.25806,0.17339,0.07267,1.81215,3.6055,1.69728,0.00227556,0.00227556,0.00227556
16,44.2541,1.47429,3.18436,1.31261,0.49022,0.25806,0.25652,0.1082,2.07052,3.36912,1.93001,0.00226346,0.00226346,0.00226346
17,46.3693,1.52571,2.72862,1.30318,0.50885,0.51613,0.42792,0.13599,1.82992,2.81434,1.69336,0.00225136,0.00225136,0.00225136
18,48.4096,1.50144,2.785,1.32111,0.56012,0.45161,0.44608,0.15739,1.86271,2.60481,1.69358,0.00223925,0.00223925,0.00223925
19,50.5882,1.40934,2.60033,1.24555,0.54602,0.6129,0.5313,0.19933,1.85936,2.5937,1.76817,0.00222715,0.00222715,0.00222715
20,52.9064,1.40606,2.28246,1.22272,0.51975,0.59371,0.5418,0.18837,1.96554,2.42769,1.7496,0.00221505,0.00221505,0.00221505
21,55.1702,1.48847,2.43298,1.25682,0.70917,0.54839,0.6313,0.19294,1.84846,2.24386,1.67492,0.00220294,0.00220294,0.00220294
22,56.5923,1.42682,2.33169,1.20654,0.59205,0.74918,0.66581,0.22968,1.94089,2.05581,1.61076,0.00219084,0.00219084,0.00219084
23,58.7131,1.33553,2.23123,1.1575,0.52419,0.74637,0.59789,0.19366,2.08016,2.04479,1.67223,0.00217874,0.00217874,0.00217874
24,60.7002,1.28229,3.36935,1.06653,0.52336,0.77933,0.72667,0.28219,1.87439,1.84084,1.47068,0.00216664,0.00216664,0.00216664
25,62.8598,1.41659,2.35131,1.28987,0.70248,0.77419,0.74686,0.28767,1.89662,1.77594,1.46694,0.00215453,0.00215453,0.00215453
26,65.4567,1.37765,2.02109,1.1422,0.57829,0.74194,0.67508,0.24679,1.94504,1.96037,1.53339,0.00214243,0.00214243,0.00214243
27,67.6334,1.3935,1.95043,1.18703,0.59932,0.72395,0.70451,0.2704,1.89928,1.78191,1.47576,0.00213033,0.00213033,0.00213033
28,69.9429,1.23383,2.02033,1.12673,0.54978,0.67742,0.60077,0.23716,1.89234,1.84993,1.53257,0.00211823,0.00211823,0.00211823
29,72.3076,1.36324,2.00434,1.16086,0.63507,0.70968,0.7267,0.3213,1.87559,1.82042,1.41274,0.00210612,0.00210612,0.00210612
30,74.3222,1.36831,1.98089,1.20746,0.7023,0.83713,0.74666,0.27306,2.1631,1.76581,1.57843,0.00209402,0.00209402,0.00209402
31,76.3527,1.14537,1.79982,1.07494,0.71227,0.74194,0.7154,0.25778,2.06184,1.7513,1.55235,0.00208192,0.00208192,0.00208192
32,78.3841,1.26413,1.67759,1.1146,0.7266,0.77419,0.78646,0.31859,1.97833,1.66421,1.45956,0.00206981,0.00206981,0.00206981
33,80.631,1.30161,1.66379,1.14418,0.75961,0.74194,0.75992,0.29672,2.06191,1.67733,1.58237,0.00205771,0.00205771,0.00205771
34,83.0491,1.1556,2.45825,0.99202,0.76098,0.71914,0.73396,0.27047,2.03659,1.76871,1.55185,0.00204561,0.00204561,0.00204561
35,85.594,1.16467,1.54072,1.05481,0.86802,0.63677,0.77668,0.305,2.04544,1.57036,1.58101,0.00203351,0.00203351,0.00203351
36,88.0525,1.22269,1.52452,1.046,0.68915,0.78689,0.75741,0.32906,1.95733,1.50711,1.56428,0.0020214,0.0020214,0.0020214
37,89.3398,1.20765,1.52511,1.05713,0.659,0.77419,0.74471,0.30008,2.05989,1.60693,1.59063,0.0020093,0.0020093,0.0020093
38,91.3746,1.17428,1.62433,1.04057,0.71824,0.74013,0.77449,0.33054,1.8889,1.6585,1.54823,0.0019972,0.0019972,0.0019972
39,93.4322,1.1619,1.39517,1.02089,0.79513,0.62631,0.70941,0.26902,2.02274,1.73927,1.67607,0.0019851,0.0019851,0.0019851
40,95.6588,1.18356,1.47223,1.05229,0.82046,0.64516,0.70732,0.31425,1.88604,1.71955,1.51205,0.00197299,0.00197299,0.00197299
41,97.957,1.03542,2.04217,0.91491,0.68165,0.70968,0.68353,0.30842,1.97567,1.89857,1.57639,0.00196089,0.00196089,0.00196089
42,100.122,1.1305,1.26331,1.01223,0.73691,0.63276,0.66488,0.23033,2.15798,1.98485,1.75122,0.00194879,0.00194879,0.00194879
43,102.437,1.22016,1.33344,1.03537,0.87188,0.65888,0.70421,0.3172,1.94028,1.84796,1.56141,0.00193668,0.00193668,0.00193668
44,104.4,1.13492,1.27162,0.99756,0.75308,0.68894,0.6505,0.28385,2.0308,1.87262,1.60673,0.00192458,0.00192458,0.00192458
45,106.51,1.09594,1.35783,1.0608,0.86161,0.60283,0.69133,0.28444,1.96745,1.7123,1.57319,0.00191248,0.00191248,0.00191248
46,108.7,1.1433,1.34984,1.03683,0.78813,0.64516,0.692,0.27997,2.03444,1.78123,1.65564,0.00190038,0.00190038,0.00190038
47,110.975,1.12958,1.27436,1.01335,0.8375,0.6653,0.70589,0.29653,2.02638,2.00768,1.66519,0.00188827,0.00188827,0.00188827
48,113.142,1.10354,1.30548,1.02622,0.68357,0.58065,0.64743,0.24332,2.20559,1.89615,1.78631,0.00187617,0.00187617,0.00187617
49,115.17,1.01985,1.22908,0.9776,0.55624,0.70968,0.65041,0.19574,2.26264,1.76559,1.81061,0.00186407,0.00186407,0.00186407
50,117.177,1.06037,1.29529,1.00304,0.83145,0.58065,0.71983,0.27949,2.06344,1.67578,1.66087,0.00185197,0.00185197,0.00185197
51,119.392,1.1239,1.23534,1.01712,0.64793,0.67742,0.69718,0.22608,2.17737,1.71324,1.75366,0.00183986,0.00183986,0.00183986
52,121.029,1.09945,1.149,0.98963,0.77539,0.6129,0.68285,0.20675,2.22908,1.62274,1.82035,0.00182776,0.00182776,0.00182776
53,123.374,1.04414,1.22643,1.00289,0.81336,0.6129,0.74281,0.28814,2.15762,1.61194,1.7643,0.00181566,0.00181566,0.00181566
54,125.592,1.04696,1.24141,0.97131,0.72956,0.60928,0.68686,0.2541,2.1276,1.59316,1.72655,0.00180355,0.00180355,0.00180355
55,127.808,0.96564,1.16908,0.96517,0.76367,0.64516,0.63972,0.23377,2.22287,1.51407,1.77969,0.00179145,0.00179145,0.00179145
56,130.065,0.98547,1.17945,0.97146,0.78519,0.6129,0.69741,0.26564,2.1511,1.51492,1.75852,0.00177935,0.00177935,0.00177935
57,132.46,0.98554,1.20457,0.96751,0.78936,0.64516,0.71876,0.30834,2.10809,1.63056,1.7092,0.00176725,0.00176725,0.00176725
58,134.896,1.03212,1.14064,0.98103,0.75284,0.6129,0.74466,0.2615,2.1764,1.55876,1.77002,0.00175514,0.00175514,0.00175514
59,136.928,0.93543,1.78816,0.88247,0.78356,0.70092,0.76919,0.29655,2.13694,1.66753,1.7162,0.00174304,0.00174304,0.00174304
60,139.208,0.92945,1.09192,0.93951,0.83826,0.66901,0.74337,0.30031,2.1641,1.73287,1.71035,0.00173094,0.00173094,0.00173094
61,141.274,1.08292,1.13608,0.992,0.65424,0.73266,0.68716,0.25902,2.22636,1.64209,1.73845,0.00171883,0.00171883,0.00171883
62,143.722,0.96373,1.07273,0.96416,0.77938,0.64516,0.74135,0.29091,2.13335,1.7747,1.72524,0.00170673,0.00170673,0.00170673
63,146.135,0.88774,1.11647,0.93489,0.75491,0.74194,0.7827,0.30628,2.04303,1.70591,1.70614,0.00169463,0.00169463,0.00169463
64,148.497,0.93222,1.03611,0.94796,0.76666,0.67742,0.6944,0.26728,2.11468,1.75664,1.76662,0.00168253,0.00168253,0.00168253
65,150.569,0.95222,1.08353,0.96624,0.69359,0.70968,0.7066,0.24766,2.0494,1.65033,1.76423,0.00167042,0.00167042,0.00167042
66,151.862,0.93393,1.06924,0.96573,0.77451,0.66509,0.69412,0.29662,2.03363,1.63375,1.68983,0.00165832,0.00165832,0.00165832
67,154.11,0.92912,1.10183,0.96302,0.73052,0.70968,0.70804,0.28894,2.08033,1.56839,1.72703,0.00164622,0.00164622,0.00164622
68,156.553,0.97275,1.11428,0.96163,0.79915,0.67742,0.72114,0.30241,2.08843,1.60987,1.68598,0.00163412,0.00163412,0.00163412
