epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.61802,2.62758,5.95541,2.23511,0,0,0,0,2.45791,5.09536,2.24599,2.19e-05,2.19e-05,0.0950219
2,10.7767,2.50693,5.76857,2.07435,0.00033,0.06452,2e-05,1e-05,2.26634,4.29046,2.35743,4.75838e-05,4.75838e-05,0.0890476
3,12.9185,2.06528,4.27326,1.63715,0,0,0,0,2.69308,4.5342,2.77418,7.26171e-05,7.26171e-05,0.0830726
4,15.1387,1.73449,3.67275,1.45356,0,0,0,0,2.65263,4.13785,2.48932,9.7e-05,9.7e-05,0.077097
5,17.169,1.84283,3.46823,1.42434,0,0,0,0,2.57662,3.96145,2.1632,0.000120733,0.000120733,0.0711207
6,19.3367,1.57758,3.01713,1.28086,0,0,0,0,2.5888,3.9224,2.23006,0.000143815,0.000143815,0.0651438
7,21.6468,1.71207,2.91926,1.38983,0,0,0,0,2.58286,3.97594,2.2792,0.000166246,0.000166246,0.0591662
8,23.8906,1.67746,2.49141,1.38151,0.125,0.03226,0.01167,0.00583,2.51408,4.08442,2.17894,0.000188027,0.000188027,0.053188
9,26.1724,1.62153,2.09978,1.34777,0.5,0.03226,0.035,0.0175,2.22538,4.16539,1.88695,0.000209158,0.000209158,0.0472092
10,28.3392,1.65911,2.08205,1.4229,0.6,0.09677,0.0875,0.03925,2.0211,4.08874,1.61981,0.000229638,0.000229638,0.0412296
11,30.5755,1.52195,1.88835,1.25683,0.6,0.09677,0.083,0.03315,1.90643,4.08088,1.54868,0.000249468,0.000249468,0.0352495
12,32.0581,1.57115,1.83576,1.31394,0.52381,0.35484,0.29468,0.09976,1.87355,3.89028,1.54627,0.000268648,0.000268648,0.0292686
13,34.2674,1.55574,1.64657,1.31832,0.32727,0.58065,0.42147,0.15105,1.92903,3.58447,1.5948,0.000287177,0.000287177,0.0232872
14,36.4117,1.40483,1.46213,1.24212,0.25,0.67742,0.48311,0.18395,2.05624,3.43125,1.70069,0.000305056,0.000305056,0.0173051
15,38.3913,1.56456,1.4236,1.33697,0.24,0.77419,0.52098,0.18346,2.07065,3.29974,1.73913,0.000322284,0.000322284,0.0113223
16,40.4937,1.34873,1.33136,1.22197,0.19328,0.74194,0.42495,0.14669,2.15747,3.27665,1.8643,0.000338861,0.000338861,0.00533886
17,42.5782,1.47191,1.36422,1.25861,0.14286,0.80645,0.56132,0.1719,2.12144,3.03643,1.84219,0.000351276,0.000351276,0.000351276
18,44.6907,1.47316,1.28317,1.28471,0.79378,0.49706,0.59769,0.20289,2.10698,2.53414,1.86222,0.000345856,0.000345856,0.000345856
19,46.7507,1.43022,1.29998,1.21757,0.71564,0.45161,0.53662,0.20278,2.07918,2.32993,1.80999,0.000340435,0.000340435,0.000340435
20,48.8673,1.34402,1.24497,1.21674,0.63894,0.48387,0.59166,0.24738,2.08091,2.06325,1.75528,0.000335015,0.000335015,0.000335015
21,50.9578,1.43429,1.21969,1.24182,0.66143,0.50448,0.61236,0.24803,2.05789,1.98392,1.73666,0.000329595,0.000329595,0.000329595
22,53.0824,1.51301,1.25873,1.31338,0.6211,0.74194,0.7442,0.31394,2.01263,1.62121,1.74363,0.000324175,0.000324175,0.000324175
23,55.259,1.29619,1.07818,1.16361,0.69415,0.74194,0.76305,0.30427,2.01892,1.5771,1.75284,0.000318755,0.000318755,0.000318755
24,57.3758,1.31577,1.0813,1.13892,0.75507,0.64516,0.71819,0.26842,2.19719,1.55728,1.93617,0.000313334,0.000313334,0.000313334
25,59.4907,1.4439,1.17269,1.16818,0.83441,0.6129,0.78556,0.26869,2.25233,1.55898,1.97667,0.000307914,0.000307914,0.000307914
26,61.7043,1.34592,1.06921,1.1749,0.91637,0.51613,0.76208,0.30841,2.08817,1.44698,1.77461,0.000302494,0.000302494,0.000302494
27,63.8476,1.24728,1.08845,1.13166,0.81104,0.58065,0.75966,0.30363,2.0916,1.4156,1.76925,0.000297074,0.000297074,0.000297074
28,65.3263,1.32963,1.19474,1.14266,0.6499,0.65893,0.67565,0.28275,2.17941,1.32934,1.91786,0.000291653,0.000291653,0.000291653
29,67.4394,1.3004,1.073,1.13066,0.61878,0.67742,0.64008,0.26312,2.17749,1.31163,1.9419,0.000286233,0.000286233,0.000286233
30,69.8089,1.3702,1.13029,1.21009,0.71433,0.74194,0.70127,0.28939,2.12397,1.29302,1.86166,0.000280813,0.000280813,0.000280813
31,71.9276,1.19626,1.00073,1.11,0.71386,0.72454,0.7242,0.31256,2.10766,1.28691,1.81332,0.000275393,0.000275393,0.000275393
32,74.1044,1.28808,1.00644,1.13998,0.66626,0.77281,0.70542,0.29738,2.13776,1.25349,1.82131,0.000269972,0.000269972,0.000269972
33,76.2503,1.2283,1.248,1.11184,0.64572,0.77419,0.67023,0.28054,2.16151,1.2377,1.83682,0.000264552,0.000264552,0.000264552
34,78.4055,1.20983,1.03662,1.10188,0.69187,0.72456,0.66167,0.28139,2.14859,1.28233,1.79237,0.000259132,0.000259132,0.000259132
35,80.4648,1.27129,0.99782,1.11,0.64639,0.77419,0.67172,0.29093,2.11782,1.36983,1.75246,0.000253712,0.000253712,0.000253712
36,82.6349,1.25382,0.96325,1.06831,0.62243,0.64516,0.67195,0.29923,2.07862,1.43676,1.69906,0.000248291,0.000248291,0.000248291
37,84.7664,1.20829,0.96948,1.09929,0.57398,0.67742,0.66402,0.28673,2.1113,1.46521,1.74547,0.000242871,0.000242871,0.000242871
38,86.9632,1.16358,0.91284,1.07158,0.66667,0.64516,0.66355,0.28678,2.12664,1.45431,1.81871,0.000237451,0.000237451,0.000237451
39,89.2129,1.17753,0.89711,1.07433,0.57804,0.77419,0.67874,0.29516,2.14688,1.43008,1.79759,0.000232031,0.000232031,0.000232031
40,91.5251,1.18846,0.96772,1.03565,0.60713,0.80645,0.71009,0.30372,2.1447,1.36159,1.78745,0.00022661,0.00022661,0.00022661
41,93.6307,1.16034,0.86396,1.04093,0.59647,0.80645,0.71991,0.29508,2.16322,1.3771,1.78988,0.00022119,0.00022119,0.00022119
42,95.8579,1.10237,0.8471,1.06041,0.66672,0.64516,0.71682,0.29688,2.18526,1.40333,1.79181,0.00021577,0.00021577,0.00021577
43,97.2523,1.08231,0.83944,1.03824,0.64655,0.67742,0.72176,0.30461,2.14997,1.41006,1.77437,0.00021035,0.00021035,0.00021035
44,99.4179,1.12721,0.8211,1.10315,0.64558,0.70522,0.73364,0.29636,2.1331,1.41519,1.77182,0.000204929,0.000204929,0.000204929
45,101.407,1.12907,0.91877,1.02519,0.63241,0.72167,0.74099,0.31113,2.11937,1.39682,1.77145,0.000199509,0.000199509,0.000199509
46,103.459,1.09031,1.07884,1.06872,0.65775,0.80595,0.75628,0.30683,2.0975,1.37926,1.75125,0.000194089,0.000194089,0.000194089
47,105.648,1.24741,0.92361,1.04977,0.62986,0.80645,0.7455,0.30875,2.11598,1.38053,1.78267,0.000188669,0.000188669,0.000188669
