epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.24588,2.62758,5.95541,2.23511,0,0,0,0,2.45791,5.09536,2.24599,3.38e-05,3.38e-05,0.0950338
2,11.5303,2.47028,5.7659,2.0598,0.00017,0.03226,1e-05,0,2.45622,4.28747,2.32681,7.34398e-05,7.34398e-05,0.0890734
3,13.8231,1.94349,4.1696,1.67622,0,0,0,0,2.713,4.23823,2.46948,0.000112076,0.000112076,0.0831121
4,16.0005,1.70753,3.53267,1.47026,0,0,0,0,2.68785,3.98112,2.3755,0.000149708,0.000149708,0.0771497
5,18.2302,1.83967,3.33763,1.47492,0,0,0,0,2.62933,3.97969,2.41252,0.000186336,0.000186336,0.0711863
6,20.4926,1.6033,2.9374,1.39706,0,0,0,0,2.51237,3.98961,2.27643,0.00022196,0.00022196,0.065222
7,21.7705,1.70893,2.9953,1.48319,0,0,0,0,2.31193,4.07715,2.14519,0.000256581,0.000256581,0.0592566
8,23.8217,1.7288,2.28086,1.44725,0,0,0,0,2.19616,4.17151,1.93268,0.000290198,0.000290198,0.0532902
9,26.1683,1.69986,1.88756,1.44202,0.5,0.03226,0.0175,0.00875,2.03618,4.22277,1.71461,0.00032281,0.00032281,0.0473228
10,28.4219,1.75998,2.03406,1.52524,0.28947,0.35484,0.22121,0.09315,1.90092,4.04772,1.60889,0.000354419,0.000354419,0.0413544
11,30.5171,1.56419,1.79997,1.39874,0.26506,0.70968,0.43543,0.14769,1.90785,3.87136,1.6613,0.000385024,0.000385024,0.035385
12,32.6069,1.61819,1.67194,1.40098,0.1,0.70968,0.34785,0.10684,1.91381,3.64055,1.74001,0.000414625,0.000414625,0.0294146
