epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.42196,2.63333,5.96656,2.23596,0,0,0,0,2.46154,5.13495,2.24927,3.38e-05,3.38e-05,0.0950338
2,11.6211,2.48862,5.71867,2.0644,0.0005,0.09677,8e-05,2e-05,2.72266,4.31268,2.65075,7.34398e-05,7.34398e-05,0.0890734
3,13.9777,2.08376,4.2814,1.67495,0,0,0,0,2.49044,4.33995,2.30487,0.000112076,0.000112076,0.0831121
4,15.0425,1.70887,3.59444,1.45009,0,0,0,0,2.37501,4.04407,2.20613,0.000149708,0.000149708,0.0771497
5,17.2833,1.74173,3.2655,1.38956,0,0,0,0,2.27006,3.94988,2.19987,0.000186336,0.000186336,0.0711863
6,19.5818,1.63011,2.85064,1.3748,0,0,0,0,2.08239,3.8428,1.86736,0.00022196,0.00022196,0.065222
7,21.7582,1.71417,2.60396,1.55946,0.05,0.06452,0.00532,0.00308,1.89496,3.86485,1.72712,0.000256581,0.000256581,0.0592566
8,23.8747,1.73485,2.09448,1.50575,0.07143,0.32258,0.03385,0.01369,1.80742,3.90785,1.72376,0.000290198,0.000290198,0.0532902
9,26.0587,1.6152,1.93517,1.42126,0.10366,0.54839,0.10639,0.03482,1.83711,3.88954,1.69634,0.00032281,0.00032281,0.0473228
10,28.335,1.7595,1.85738,1.57935,0.11321,0.58065,0.22319,0.09238,1.80424,3.88394,1.71565,0.000354419,0.000354419,0.0413544
11,30.6191,1.50074,1.71899,1.33275,0.16923,0.70968,0.30012,0.11746,1.78849,3.80966,1.63832,0.000385024,0.000385024,0.035385
12,32.8816,1.51515,1.75217,1.30365,0.1206,0.77419,0.40898,0.13581,1.86967,3.61898,1.72156,0.000414625,0.000414625,0.0294146
13,34.9456,1.57098,1.50861,1.44176,0.09266,0.77419,0.34723,0.12947,1.98405,3.46414,1.83728,0.000443223,0.000443223,0.0234432
14,36.9787,1.49307,1.39036,1.31458,0.13587,0.80645,0.39742,0.13931,1.93864,3.55289,1.80489,0.000470816,0.000470816,0.0174708
15,39.1867,1.51425,1.42782,1.36019,0.11111,0.77419,0.36606,0.14127,1.87464,3.4708,1.74816,0.000497406,0.000497406,0.0114974
16,41.2227,1.36914,1.30689,1.30748,0.12329,0.87097,0.49189,0.17466,1.94342,3.23548,1.79543,0.000522992,0.000522992,0.00552299
17,43.3638,1.55894,1.20362,1.29968,0.33627,0.80645,0.48747,0.18119,2.03563,2.90709,1.91536,0.000542152,0.000542152,0.000542152
18,45.7478,1.49917,1.22159,1.35136,0.73192,0.45161,0.65913,0.2283,2.0675,2.39788,2.00866,0.000533787,0.000533787,0.000533787
19,46.7732,1.46299,1.25748,1.26793,0.77066,0.51613,0.64329,0.2269,2.11423,2.31836,2.02607,0.000525421,0.000525421,0.000525421
20,48.9316,1.53517,1.32124,1.37159,0.55872,0.35484,0.37845,0.15615,2.06668,2.29349,1.95357,0.000517055,0.000517055,0.000517055
