epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.095,3.17021,6.19784,2.56837,0,0,0,0,2.7191,5.41334,2.5846,3.38e-05,3.38e-05,0.0950338
2,11.4642,2.93855,5.99168,2.32011,0,0,0,0,3.69394,4.34599,3.35137,7.34398e-05,7.34398e-05,0.0890734
3,13.9083,2.58198,4.72447,2.14599,0,0,0,0,3.63812,4.41781,3.19875,0.000112076,0.000112076,0.0831121
4,15.1618,2.18149,3.92211,1.73312,0,0,0,0,2.79965,4.10693,2.62512,0.000149708,0.000149708,0.0771497
5,17.524,2.03754,3.71403,1.63061,0,0,0,0,2.80784,3.97141,2.47212,0.000186336,0.000186336,0.0711863
6,19.7214,1.81067,3.40339,1.64441,0,0,0,0,2.7477,3.91611,2.53172,0.00022196,0.00022196,0.065222
7,21.8129,1.68362,3.24194,1.57765,0,0,0,0,3.0477,4.02966,2.9916,0.000256581,0.000256581,0.0592566
8,24.0179,1.92232,2.8277,1.66919,0,0,0,0,2.9288,4.14945,2.78829,0.000290198,0.000290198,0.0532902
9,26.2139,1.89375,2.55224,1.71264,0,0,0,0,2.95351,4.29225,2.67485,0.00032281,0.00032281,0.0473228
10,28.3907,2.00821,2.54439,1.83418,0.09091,0.06452,0.03786,0.01926,2.75054,4.23331,2.36459,0.000354419,0.000354419,0.0413544
11,30.624,1.77048,2.32089,1.59193,0.14286,0.03226,0.035,0.0175,2.40664,4.35263,2.21058,0.000385024,0.000385024,0.035385
12,32.7252,1.71199,2.21566,1.50109,0.09524,0.06452,0.04167,0.01783,2.17986,4.38472,2.14538,0.000414625,0.000414625,0.0294146
13,34.8626,1.76457,2.18718,1.58088,0.2439,0.32258,0.14901,0.04316,2.14797,4.15658,2.09618,0.000443223,0.000443223,0.0234432
