epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.13457,2.66499,6.18918,2.30787,0.00017,0.03226,1e-05,0,2.53481,4.90368,2.46415,3.38e-05,3.38e-05,0.0950338
2,11.5015,2.40948,5.35841,2.05615,0.00067,0.12903,9e-05,2e-05,3.30334,3.96218,3.03024,7.34398e-05,7.34398e-05,0.0890734
3,13.7328,1.94081,4.18666,1.67744,0,0,0,0,4.03994,3.89456,3.30621,0.000112076,0.000112076,0.0831121
4,16.0683,1.77694,3.71734,1.48435,0,0,0,0,2.93264,4.06066,2.52958,0.000149708,0.000149708,0.0771497
5,18.325,1.92641,3.507,1.50644,0,0,0,0,2.34111,4.05373,2.29923,0.000186336,0.000186336,0.0711863
6,20.4046,1.61693,3.0529,1.36648,0,0,0,0,2.34563,4.04681,2.30842,0.00022196,0.00022196,0.065222
7,22.6065,1.5817,2.73167,1.38366,0.07692,0.03226,0.00438,0.00044,2.11479,4.11981,2.14461,0.000256581,0.000256581,0.0592566
8,23.7886,1.78117,2.53093,1.4801,0.02687,0.45161,0.11346,0.05789,2.1669,3.9154,1.94666,0.000290198,0.000290198,0.0532902
9,26.1696,1.69562,2.1511,1.45127,0.02787,0.77419,0.24039,0.08715,2.11346,3.72399,1.74012,0.00032281,0.00032281,0.0473228
10,28.4666,1.81759,2.11008,1.64782,0.04008,0.64516,0.21269,0.07643,2.18794,3.86768,1.85245,0.000354419,0.000354419,0.0413544
11,30.601,1.59252,1.90964,1.39262,0.06299,0.51613,0.22218,0.08761,2.18631,3.90389,1.89338,0.000385024,0.000385024,0.035385
12,32.7583,1.60346,1.85351,1.34403,0.04241,0.6129,0.24189,0.10365,2.17027,3.47895,1.78756,0.000414625,0.000414625,0.0294146
13,35.1066,1.6932,1.74568,1.47926,0.11953,0.70968,0.33534,0.11978,2.16705,3.19647,1.80359,0.000443223,0.000443223,0.0234432
14,37.3681,1.47672,1.63594,1.2825,0.61368,0.09677,0.31964,0.12331,2.21843,3.03326,1.84837,0.000470816,0.000470816,0.0174708
15,39.4112,1.53054,1.58428,1.3449,0.44202,0.09677,0.24665,0.09637,2.33049,3.12537,2.03268,0.000497406,0.000497406,0.0114974
16,41.5395,1.44667,1.45524,1.30062,0.38829,0.19355,0.14854,0.06019,2.52957,3.14205,2.2594,0.000522992,0.000522992,0.00552299
17,43.7192,1.51128,1.34215,1.26518,0.46276,0.25043,0.26741,0.08472,2.49181,2.85883,2.1483,0.000542152,0.000542152,0.000542152
18,45.9118,1.59323,1.32054,1.36997,0.61767,0.3871,0.37795,0.14428,2.41588,2.66347,2.15971,0.000533787,0.000533787,0.000533787
19,47.981,1.5482,1.37531,1.27246,0.65419,0.3871,0.41647,0.16202,2.49077,2.7154,2.26884,0.000525421,0.000525421,0.000525421
20,50.1377,1.3823,1.32467,1.25877,0.57052,0.35484,0.38925,0.13679,2.48965,2.53681,2.22704,0.000517055,0.000517055,0.000517055
21,52.2616,1.56439,1.31437,1.33257,0.51897,0.48733,0.41795,0.1516,2.30636,2.23045,1.93562,0.00050869,0.00050869,0.00050869
22,54.4383,1.50993,1.29351,1.34004,0.62409,0.48387,0.51124,0.17576,2.26893,2.10416,1.90398,0.000500324,0.000500324,0.000500324
23,55.3017,1.34,1.07276,1.18979,0.55557,0.51613,0.53046,0.18439,2.21947,2.082,1.84961,0.000491959,0.000491959,0.000491959
24,57.4115,1.40425,1.12236,1.18241,0.56813,0.45161,0.58237,0.23825,2.13059,1.80183,1.73131,0.000483593,0.000483593,0.000483593
25,59.5356,1.48198,1.22629,1.20698,0.47831,0.54839,0.52715,0.20264,2.252,1.78477,1.91983,0.000475228,0.000475228,0.000475228
26,61.9116,1.40529,1.12678,1.22874,0.50037,0.64516,0.50881,0.20197,2.25344,1.72753,1.95297,0.000466862,0.000466862,0.000466862
27,64.1512,1.28961,1.10883,1.17836,0.53463,0.58065,0.64687,0.249,2.1124,1.61033,1.82743,0.000458497,0.000458497,0.000458497
28,66.4098,1.44634,1.16115,1.21605,0.58911,0.6129,0.66095,0.27049,2.0422,1.52192,1.79265,0.000450131,0.000450131,0.000450131
29,68.492,1.31293,1.06028,1.15071,0.71074,0.45161,0.61125,0.22754,2.11884,1.59566,1.90314,0.000441766,0.000441766,0.000441766
30,70.6653,1.29008,1.02234,1.16489,0.54276,0.51613,0.44333,0.19489,2.20092,1.76679,1.91527,0.0004334,0.0004334,0.0004334
31,72.7693,1.23121,1.10723,1.1504,0.56761,0.6129,0.56817,0.24606,2.13664,1.65326,1.8864,0.000425035,0.000425035,0.000425035
32,74.7739,1.3382,1.11762,1.19739,0.57599,0.41935,0.53816,0.23002,2.13382,1.72306,1.85562,0.000416669,0.000416669,0.000416669
33,77.1774,1.38192,1.47536,1.21972,0.51466,0.45161,0.51073,0.20298,2.12971,1.84074,1.85908,0.000408304,0.000408304,0.000408304
