epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.0918,2.81024,6.13562,2.2995,0.00017,0.03226,1e-05,1e-05,2.43885,4.89793,2.18763,3.38e-05,3.38e-05,0.0950338
2,11.5246,2.54061,5.76592,2.07196,0.0005,0.09677,5e-05,3e-05,2.1796,4.22664,2.10921,7.34398e-05,7.34398e-05,0.0890734
3,12.8561,2.22246,4.23747,1.63758,0.00022,0.03226,4e-05,0,2.42901,4.34873,2.16905,0.000112076,0.000112076,0.0831121
4,15.0309,1.78896,3.58362,1.35801,0,0,0,0,2.47468,4.18293,2.24511,0.000149708,0.000149708,0.0771497
5,17.1146,1.78822,3.3629,1.3613,0,0,0,0,2.35433,4.18804,2.22396,0.000186336,0.000186336,0.0711863
6,19.346,1.65535,2.80728,1.29221,0.02628,0.54839,0.05675,0.01378,2.29039,3.94507,1.98628,0.00022196,0.00022196,0.065222
7,21.645,1.73803,2.64124,1.34379,0.01854,0.54839,0.10351,0.01881,2.23793,3.9596,1.93095,0.000256581,0.000256581,0.0592566
8,23.7787,1.70528,2.25704,1.38819,0.01437,0.48387,0.14821,0.04395,1.95479,3.89576,1.63925,0.000290198,0.000290198,0.0532902
9,25.9465,1.69989,2.04836,1.39358,0.04139,0.80645,0.22559,0.06176,2.01954,3.67751,1.59199,0.00032281,0.00032281,0.0473228
10,28.126,1.70777,1.99615,1.44436,0.03587,0.80645,0.34181,0.10864,1.99782,3.47351,1.57078,0.000354419,0.000354419,0.0413544
11,30.2133,1.47928,1.67622,1.22462,0.03566,0.77419,0.41634,0.13043,2.06051,3.42478,1.66685,0.000385024,0.000385024,0.035385
12,32.4692,1.53928,1.81773,1.23239,0.02615,0.80645,0.32032,0.10716,2.09292,3.19149,1.62943,0.000414625,0.000414625,0.0294146
13,34.8791,1.59221,1.63566,1.28118,0.37387,0.67742,0.51371,0.20544,2.04923,2.79415,1.59158,0.000443223,0.000443223,0.0234432
14,37.2689,1.47756,1.44624,1.22232,1,0.23768,0.55459,0.18747,2.17714,2.69742,1.72059,0.000470816,0.000470816,0.0174708
15,39.4683,1.47784,1.45244,1.22878,1,0.25432,0.53593,0.18404,2.10632,2.73721,1.72145,0.000497406,0.000497406,0.0114974
16,41.6736,1.44169,1.34608,1.20393,0.91634,0.3871,0.66853,0.20167,2.17915,2.43505,1.77794,0.000522992,0.000522992,0.00552299
17,42.5566,1.47551,1.28393,1.19949,0.78698,0.47701,0.64157,0.2055,2.21139,2.23518,1.8645,0.000542152,0.000542152,0.000542152
18,44.6739,1.51746,1.21142,1.2372,0.61118,0.67742,0.64777,0.2374,2.14748,1.77548,1.76855,0.000533787,0.000533787,0.000533787
19,46.7366,1.46404,1.29026,1.16985,0.59998,0.74194,0.58175,0.21648,2.14414,1.7578,1.78582,0.000525421,0.000525421,0.000525421
20,48.9098,1.39731,1.23108,1.21322,0.45025,0.60776,0.50015,0.18946,2.17734,1.87848,1.77985,0.000517055,0.000517055,0.000517055
21,51.0107,1.48701,1.24031,1.21568,0.45765,0.58065,0.54389,0.20746,2.15924,1.772,1.77053,0.00050869,0.00050869,0.00050869
22,53.1758,1.67899,1.25753,1.4236,0.61807,0.51613,0.51359,0.1985,2.16081,1.76337,1.77812,0.000500324,0.000500324,0.000500324
23,55.5354,1.38643,1.11168,1.17284,0.53369,0.66475,0.48742,0.20247,2.14857,1.72822,1.79397,0.000491959,0.000491959,0.000491959
24,57.9012,1.43141,1.19197,1.1218,0.43362,0.56822,0.37603,0.15754,2.23682,1.87676,1.90274,0.000483593,0.000483593,0.000483593
25,60.1821,1.49262,1.21644,1.14514,0.53,0.48387,0.41675,0.15146,2.30807,1.86457,1.93371,0.000475228,0.000475228,0.000475228
26,62.4631,1.3721,1.13135,1.15648,0.45568,0.51613,0.4739,0.19501,2.15922,1.82709,1.8784,0.000466862,0.000466862,0.000466862
27,64.616,1.28031,1.10737,1.13185,0.52069,0.51613,0.54047,0.21746,2.05432,1.83796,1.79763,0.000458497,0.000458497,0.000458497
28,66.7772,1.35523,1.14544,1.12198,0.58277,0.63104,0.64486,0.25319,2.10268,1.62591,1.75979,0.000450131,0.000450131,0.000450131
29,68.8719,1.29481,1.02589,1.09503,0.56245,0.70503,0.63228,0.24203,2.10575,1.57213,1.76459,0.000441766,0.000441766,0.000441766
30,71.0347,1.39459,0.98318,1.21194,0.75024,0.54839,0.65535,0.26414,2.04351,1.46411,1.68514,0.0004334,0.0004334,0.0004334
31,73.1824,1.1994,1.0327,1.11579,0.62055,0.70968,0.6517,0.28876,2.03161,1.44966,1.70666,0.000425035,0.000425035,0.000425035
