epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.2837,2.73889,6.07599,2.25472,0.00017,0.03226,1e-05,1e-05,2.3415,5.02827,2.12848,3.38e-05,3.38e-05,0.0950338
2,11.7252,2.50214,5.51306,1.98708,0,0,0,0,2.64356,4.27276,2.63799,7.34398e-05,7.34398e-05,0.0890734
3,13.913,1.80613,4.09497,1.6012,0,0,0,0,3.54253,4.15761,3.36192,0.000112076,0.000112076,0.0831121
4,16.1256,1.69895,3.45177,1.53187,0,0,0,0,3.58165,4.06114,3.35468,0.000149708,0.000149708,0.0771497
5,18.3548,1.82128,3.11796,1.54231,0,0,0,0,3.31405,3.97532,3.20294,0.000186336,0.000186336,0.0711863
6,20.7448,1.59949,2.74432,1.54752,0,0,0,0,2.95189,4.05648,3.04486,0.00022196,0.00022196,0.065222
7,23.0138,1.56019,2.34537,1.54714,0,0,0,0,2.41941,4.18495,2.41387,0.000256581,0.000256581,0.0592566
8,25.1997,1.67536,1.9812,1.56269,0,0,0,0,2.17697,4.24802,2.03049,0.000290198,0.000290198,0.0532902
9,27.4133,1.5958,1.76554,1.45832,1,0.06452,0.065,0.0335,1.94757,4.14376,1.70539,0.00032281,0.00032281,0.0473228
10,28.4983,1.65076,2.11289,1.51489,0.6,0.3871,0.3105,0.1196,2.11092,4.06387,1.78227,0.000354419,0.000354419,0.0413544
11,30.5986,1.52133,1.70963,1.42876,0.53846,0.45161,0.39504,0.20598,1.80999,3.97738,1.58838,0.000385024,0.000385024,0.035385
12,32.7653,1.55587,1.57942,1.35838,0.46667,0.67742,0.5533,0.23275,1.99568,3.77684,1.7425,0.000414625,0.000414625,0.0294146
13,34.8863,1.57548,1.74527,1.45521,0.36111,0.83871,0.63519,0.26821,1.92881,3.59739,1.71664,0.000443223,0.000443223,0.0234432
14,37.0241,1.47982,1.40803,1.33634,0.10776,0.80645,0.41955,0.16803,1.88629,3.42946,1.74605,0.000470816,0.000470816,0.0174708
15,39.1571,1.53155,1.46041,1.407,0.07283,0.83871,0.43576,0.17047,1.97249,3.16023,1.77721,0.000497406,0.000497406,0.0114974
16,41.455,1.41226,1.35317,1.33135,0.46023,0.16129,0.41703,0.15339,2.06165,2.79714,1.84303,0.000522992,0.000522992,0.00552299
17,43.5762,1.44762,1.33542,1.29039,0.38687,0.3871,0.34938,0.16219,2.01833,2.76892,1.86501,0.000542152,0.000542152,0.000542152
18,45.6873,1.48612,1.28753,1.34793,0.67872,0.40925,0.6132,0.27665,2.01448,2.38534,1.77111,0.000533787,0.000533787,0.000533787
19,47.8898,1.46769,1.28532,1.27323,0.66748,0.51613,0.60739,0.28113,2.02483,2.239,1.72909,0.000525421,0.000525421,0.000525421
20,50.2126,1.55787,1.43841,1.46249,0.41863,0.58065,0.36556,0.13654,2.09015,2.17325,1.78852,0.000517055,0.000517055,0.000517055
21,52.4166,1.40129,1.41936,1.30771,0.47315,0.54839,0.38498,0.1436,2.07499,2.13324,1.76455,0.00050869,0.00050869,0.00050869
22,54.5847,1.45066,1.36661,1.33228,0.80136,0.65086,0.69413,0.23123,2.17222,1.86834,1.86559,0.000500324,0.000500324,0.000500324
23,56.6372,1.26124,1.11258,1.25336,0.75244,0.67742,0.70119,0.23257,2.21027,1.73846,1.88975,0.000491959,0.000491959,0.000491959
24,58.9342,1.32368,1.05523,1.19206,0.70287,0.76329,0.67212,0.25562,2.22873,1.55491,1.92087,0.000483593,0.000483593,0.000483593
25,60.0973,1.41657,1.10807,1.21158,0.71843,0.5763,0.61306,0.23487,2.24263,1.594,1.99838,0.000475228,0.000475228,0.000475228
