epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.39778,2.59618,6.08592,2.25506,0,0,0,0,2.44164,5.0523,2.28051,3.38e-05,3.38e-05,0.0950338
2,10.6498,2.45742,5.39454,1.98437,0,0,0,0,3.11136,4.30232,2.89291,7.34398e-05,7.34398e-05,0.0890734
3,12.9476,1.88846,4.14886,1.55703,0,0,0,0,3.30168,4.43096,2.97803,0.000112076,0.000112076,0.0831121
4,15.1424,1.83866,3.64629,1.45456,0,0,0,0,3.27872,4.15778,2.99634,0.000149708,0.000149708,0.0771497
5,17.2334,1.8085,3.43497,1.42846,0,0,0,0,3.0536,4.0843,3.03215,0.000186336,0.000186336,0.0711863
6,19.2753,1.56813,3.08157,1.38482,0,0,0,0,2.63485,4.06188,2.64599,0.00022196,0.00022196,0.065222
7,21.4783,1.53484,2.82717,1.41734,0.11111,0.03226,0.01167,0.00817,2.27108,4.08958,2.19721,0.000256581,0.000256581,0.0592566
8,23.8472,1.74684,2.3873,1.48899,0.09091,0.32258,0.03985,0.01207,2.03789,4.0489,1.84165,0.000290198,0.000290198,0.0532902
9,26.0001,1.66424,1.96829,1.47171,0.07527,0.67742,0.11786,0.03161,1.97239,3.9766,1.77792,0.00032281,0.00032281,0.0473228
10,28.1416,1.67057,2.18581,1.51354,0.07326,0.64516,0.1163,0.04302,1.86765,3.97197,1.75758,0.000354419,0.000354419,0.0413544
11,30.2187,1.56514,1.85031,1.44496,0.07749,0.67742,0.18468,0.07267,1.95231,3.8009,1.80225,0.000385024,0.000385024,0.035385
12,32.3972,1.58914,1.66309,1.41972,0.11173,0.64516,0.2811,0.10915,1.93904,3.73839,1.77929,0.000414625,0.000414625,0.0294146
13,34.498,1.62252,1.6982,1.50349,0.16949,0.64516,0.31619,0.1407,1.98557,3.64734,1.80666,0.000443223,0.000443223,0.0234432
14,36.5824,1.68743,1.58772,1.49431,0.14865,0.70968,0.37359,0.14821,1.99819,3.4442,1.84042,0.000470816,0.000470816,0.0174708
15,38.7066,1.53725,1.50484,1.4071,0.10455,0.74194,0.42586,0.16977,2.00102,3.19107,1.84066,0.000497406,0.000497406,0.0114974
16,39.6194,1.44504,1.41797,1.36259,0.26686,0.77419,0.42565,0.19155,1.97186,2.75619,1.91499,0.000522992,0.000522992,0.00552299
