epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.35716,2.73777,5.96784,2.24161,0.00017,0.03226,1e-05,0,2.36618,5.03069,2.23689,3.38e-05,3.38e-05,0.0950338
2,11.6263,2.43844,5.45224,1.98952,0.0005,0.09677,7e-05,1e-05,3.19896,4.20796,3.00892,7.34398e-05,7.34398e-05,0.0890734
3,13.9998,1.91001,4.03731,1.54166,0,0,0,0,3.91791,4.1675,3.49691,0.000112076,0.000112076,0.0831121
4,14.8963,1.77665,3.53467,1.47943,0,0,0,0,3.65779,4.04615,3.1642,0.000149708,0.000149708,0.0771497
5,17.0011,1.84741,3.36656,1.45583,0,0,0,0,2.98902,4.00604,2.83163,0.000186336,0.000186336,0.0711863
6,19.151,1.53797,2.87563,1.31512,0,0,0,0,2.65291,4.01577,2.52318,0.00022196,0.00022196,0.065222
7,21.2763,1.65988,3.16335,1.43743,0,0,0,0,2.50414,4.14235,2.44947,0.000256581,0.000256581,0.0592566
8,23.3485,1.74943,2.15443,1.48685,0.21429,0.09677,0.02036,0.00416,2.48628,4.23317,2.24953,0.000290198,0.000290198,0.0532902
9,25.7221,1.64614,1.92155,1.4271,0.28571,0.3871,0.19271,0.07882,1.9331,4.06072,1.65677,0.00032281,0.00032281,0.0473228
10,27.98,1.75127,1.94718,1.47808,0.46154,0.3871,0.31248,0.13614,1.92959,4.15353,1.65879,0.000354419,0.000354419,0.0413544
11,30.118,1.57689,1.83515,1.32704,0.57143,0.3871,0.31171,0.11205,2.14861,4.21617,1.86527,0.000385024,0.000385024,0.035385
12,32.2962,1.72768,2.04558,1.45324,0.33333,0.74194,0.42912,0.16384,1.99537,3.87444,1.72696,0.000414625,0.000414625,0.0294146
13,34.691,1.67107,1.61248,1.42356,0.12299,0.74194,0.34284,0.13871,1.94616,3.54036,1.6971,0.000443223,0.000443223,0.0234432
14,36.9146,1.53355,1.57906,1.32476,0.15385,0.70968,0.44739,0.16446,1.95756,3.32054,1.73767,0.000470816,0.000470816,0.0174708
15,38.9732,1.48292,1.38341,1.31579,0.15972,0.74194,0.39118,0.14714,1.92787,3.26119,1.70959,0.000497406,0.000497406,0.0114974
16,41.3036,1.40191,1.40213,1.30456,0.14689,0.83871,0.42075,0.15358,1.95246,3.11623,1.75757,0.000522992,0.000522992,0.00552299
17,43.6203,1.45741,1.34118,1.27222,0.10612,0.83871,0.39981,0.15047,2.06967,2.89745,1.90547,0.000542152,0.000542152,0.000542152
18,44.5602,1.42775,1.23911,1.29525,0.59478,0.42638,0.47776,0.1941,2.06779,2.26976,2.03898,0.000533787,0.000533787,0.000533787
19,46.7016,1.5317,1.32187,1.3247,0.65607,0.48387,0.56985,0.20074,2.00118,2.1767,1.959,0.000525421,0.000525421,0.000525421
20,48.947,1.41606,1.3482,1.30437,0.49976,0.51565,0.50291,0.182,1.96358,2.15507,1.89962,0.000517055,0.000517055,0.000517055
21,50.9972,1.43712,1.35411,1.25078,0.56682,0.50676,0.42445,0.17735,1.97534,2.13158,1.86534,0.00050869,0.00050869,0.00050869
22,53.2501,1.36705,1.67755,1.21575,0.62127,0.6129,0.58354,0.23018,2.08322,1.8527,1.9577,0.000500324,0.000500324,0.000500324
23,55.3831,1.28548,1.18794,1.18526,0.50618,0.64516,0.55695,0.22552,2.10414,1.72369,1.9659,0.000491959,0.000491959,0.000491959
24,57.5153,1.36382,1.09683,1.20943,0.57622,0.61409,0.57699,0.20895,2.133,1.64899,2.01412,0.000483593,0.000483593,0.000483593
25,59.7905,1.427,1.16012,1.20021,0.60535,0.58065,0.5392,0.21267,2.1584,1.6362,2.02059,0.000475228,0.000475228,0.000475228
26,62.1975,1.3134,1.03828,1.22234,0.69895,0.51613,0.59874,0.26198,2.06486,1.84583,1.83489,0.000466862,0.000466862,0.000466862
27,64.4941,1.27375,1.33516,1.20823,0.71412,0.54839,0.60919,0.27624,2.06837,1.98904,1.83942,0.000458497,0.000458497,0.000458497
28,66.7023,1.41758,1.17526,1.24583,0.6745,0.58065,0.62955,0.27447,2.07151,1.84162,1.96523,0.000450131,0.000450131,0.000450131
29,68.8169,1.29087,1.07038,1.18574,0.70637,0.58065,0.56983,0.25394,2.09791,1.7316,2.01394,0.000441766,0.000441766,0.000441766
30,71.0999,1.20576,1.13386,1.18012,0.68919,0.54839,0.53351,0.23347,2.05198,1.63149,1.96148,0.0004334,0.0004334,0.0004334
31,73.2566,1.23779,1.05536,1.21432,0.57403,0.6522,0.54178,0.23397,2.01194,1.60296,1.89403,0.000425035,0.000425035,0.000425035
32,75.3749,1.24719,1.01523,1.1721,0.62356,0.69487,0.58768,0.24936,2.07602,1.61083,1.8692,0.000416669,0.000416669,0.000416669
33,76.4224,1.41425,1.54336,1.23779,0.61132,0.70968,0.5844,0.23114,2.12475,1.60331,1.87865,0.000408304,0.000408304,0.000408304
34,78.7887,1.27676,1.02555,1.16869,0.70052,0.67742,0.62667,0.21302,2.18036,1.71442,1.89501,0.000399939,0.000399939,0.000399939
35,80.8998,1.28892,1.01668,1.15913,0.68133,0.64516,0.59344,0.20725,2.14951,1.65045,1.87897,0.000391573,0.000391573,0.000391573
36,83.0749,1.30747,1.10336,1.24279,0.55708,0.67742,0.61873,0.23888,2.0941,1.55414,1.89169,0.000383207,0.000383207,0.000383207
37,85.1096,1.37433,1.18314,1.2296,0.57783,0.64516,0.61847,0.25572,2.09437,1.49383,1.89349,0.000374842,0.000374842,0.000374842
38,87.5121,1.28239,0.9708,1.17324,0.66116,0.6129,0.68668,0.2933,2.07434,1.51319,1.86695,0.000366476,0.000366476,0.000366476
39,89.8077,1.21732,0.95696,1.13999,0.69503,0.66193,0.68381,0.30116,2.05801,1.5185,1.8554,0.000358111,0.000358111,0.000358111
