experiment,folds_completed,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,AP50_mean,AP50_std,AP50_95_mean,AP50_95_std,confidence_threshold_mean,confidence_threshold_std
yolo12n_affine_aug_fold0,1,0.807018,0.0,0.884615,0.0,0.741935,0.0,0.792125,0.0,0.390408,0.0,0.381703,0.0
yolo12n_clahe_abc_fold0,1,0.813559,0.0,0.857143,0.0,0.774194,0.0,0.839788,0.0,0.430064,0.0,0.102007,0.0
yolo12n_clahe_fixed_fold0,1,0.779661,0.0,0.821429,0.0,0.741935,0.0,0.76487,0.0,0.379016,0.0,0.069748,0.0
yolo12n_cutout_aug_fold0,1,0.758621,0.0,0.814815,0.0,0.709677,0.0,0.748149,0.0,0.401971,0.0,0.095325,0.0
yolo12n_gamma05_fold0,1,0.793103,0.0,0.851852,0.0,0.741935,0.0,0.744979,0.0,0.381065,0.0,0.16295,0.0
yolo12n_gray_fold0,1,0.769231,0.0,0.952381,0.0,0.645161,0.0,0.778294,0.0,0.357455,0.0,0.066919,0.0
yolo12n_kde_cdf_fold0,1,0.8,0.0,0.916667,0.0,0.709677,0.0,0.787153,0.0,0.469037,0.0,0.177599,0.0
yolo12n_photo_aug_fold0,1,0.793651,0.0,0.78125,0.0,0.806452,0.0,0.826121,0.0,0.437632,0.0,0.013148,0.0
yolo12n_pipeline2_fold0,1,0.733333,0.0,0.758621,0.0,0.709677,0.0,0.709874,0.0,0.354816,0.0,0.066702,0.0
yolo12n_raw_fold0,1,0.758621,0.0,0.814815,0.0,0.709677,0.0,0.748149,0.0,0.401971,0.0,0.095325,0.0
