epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.10907,2.70266,6.35237,2.21319,0.00111,0.22581,0.00026,7e-05,2.6063,5.15866,2.2479,2.704e-05,2.704e-05,0.096027
2,8.14347,2.619,5.94854,2.19507,0.00048,0.09677,6e-05,2e-05,2.1732,5.00556,2.15316,5.96354e-05,5.96354e-05,0.0910596
3,10.1893,2.12754,4.50793,1.82007,0,0,0,0,2.6361,4.2053,2.26095,9.08923e-05,9.08923e-05,0.0860909
4,12.1182,1.83515,3.75242,1.50133,0.00041,0.06452,0.00017,2e-05,2.53158,4.08165,2.31713,0.000120811,0.000120811,0.0811208
5,14.1087,1.82815,3.33354,1.54083,0,0,0,0,2.58442,4.08899,2.3388,0.000149391,0.000149391,0.0761494
6,16.0912,1.81155,2.93584,1.59569,0,0,0,0,2.62429,4.04804,2.37332,0.000176632,0.000176632,0.0711766
7,18.0634,1.7313,2.59669,1.61253,0,0,0,0,2.67245,4.03856,2.22891,0.000202535,0.000202535,0.0662025
8,20.0185,1.7398,2.37873,1.58719,0,0,0,0,2.45482,4.08665,1.99247,0.000227099,0.000227099,0.0612271
9,22.0864,1.64779,1.93739,1.50241,0,0,0,0,2.06544,4.11147,1.65942,0.000250326,0.000250326,0.0562503
10,23.9469,1.64785,1.81601,1.48356,0,0,0,0,2.1153,4.10186,1.60872,0.000272213,0.000272213,0.0512722
11,25.9911,1.67389,1.72814,1.47437,0,0,0,0,2.06168,4.13269,1.59357,0.000292762,0.000292762,0.0462928
12,27.8356,1.59611,1.58071,1.48573,0.66667,0.25806,0.21643,0.11942,1.87944,4.19641,1.59341,0.000311973,0.000311973,0.041312
13,29.7945,1.58147,1.48451,1.43279,0.625,0.32258,0.29556,0.14722,1.81499,4.23559,1.56339,0.000329845,0.000329845,0.0363298
14,31.6541,1.56998,1.43472,1.44162,0.69565,0.51613,0.49149,0.22959,1.74204,3.98188,1.42903,0.000346378,0.000346378,0.0313464
15,33.6679,1.63045,1.38903,1.44301,0.51429,0.58065,0.49033,0.24092,1.75859,3.82837,1.44327,0.000361573,0.000361573,0.0263616
16,35.7027,1.50011,1.39472,1.35922,0.35185,0.6129,0.47057,0.23519,1.74723,3.77385,1.44507,0.00037543,0.00037543,0.0213754
17,37.8444,1.61947,1.39779,1.45456,0.13208,0.67742,0.40323,0.19381,1.74313,3.53326,1.47476,0.000387948,0.000387948,0.0163879
18,39.8445,1.57599,1.32453,1.38915,0.12155,0.70968,0.50164,0.22232,1.81629,3.30429,1.56106,0.000399128,0.000399128,0.0113991
19,41.8886,1.46793,1.2682,1.37021,0.68794,0.48387,0.54903,0.22606,1.90552,3.10217,1.61436,0.000408969,0.000408969,0.00640897
20,43.9511,1.45975,1.25653,1.32573,0.88113,0.47852,0.64197,0.31417,1.62895,2.71885,1.37353,0.000417472,0.000417472,0.00141747
21,45.8474,1.44281,1.17394,1.28594,0.80601,0.54839,0.62769,0.34102,1.49435,2.61333,1.28131,0.000408304,0.000408304,0.000408304
22,47.7303,1.43541,1.19659,1.30118,0.81111,0.58065,0.65164,0.364,1.4831,2.46924,1.27296,0.000394919,0.000394919,0.000394919
23,49.6018,1.42697,1.19973,1.27566,0.7504,0.54839,0.66758,0.37679,1.50988,2.36183,1.29171,0.000381534,0.000381534,0.000381534
24,51.5111,1.37739,1.15211,1.25879,0.72552,0.51613,0.59408,0.30183,1.68445,2.29921,1.43977,0.00036815,0.00036815,0.00036815
25,53.4505,1.29085,1.16067,1.23494,0.70923,0.55086,0.69223,0.34357,1.72808,2.18847,1.48952,0.000354765,0.000354765,0.000354765
26,55.2805,1.28254,1.03992,1.21775,0.69327,0.64516,0.73208,0.34062,1.73378,2.01714,1.50036,0.00034138,0.00034138,0.00034138
27,57.1438,1.36297,1.04216,1.27536,0.79677,0.63266,0.72517,0.34148,1.74163,1.88909,1.49134,0.000327995,0.000327995,0.000327995
28,59.1613,1.27888,0.98119,1.2348,0.64892,0.64516,0.61163,0.31623,1.70866,1.82796,1.46539,0.00031461,0.00031461,0.00031461
29,61.0438,1.28266,1.06115,1.23571,0.63477,0.61682,0.62596,0.3137,1.71832,1.92008,1.46376,0.000301226,0.000301226,0.000301226
30,62.9565,1.23702,1.00142,1.19918,0.67918,0.54839,0.66252,0.34834,1.69022,2.02289,1.4648,0.000287841,0.000287841,0.000287841
31,64.8793,1.2276,0.95413,1.20625,0.78166,0.51613,0.65856,0.34122,1.68746,2.07699,1.48404,0.000274456,0.000274456,0.000274456
32,66.9496,1.23017,0.93976,1.22362,0.72583,0.5981,0.70042,0.33841,1.70584,1.9438,1.53902,0.000261071,0.000261071,0.000261071
33,68.8005,1.21705,0.94631,1.17533,0.87825,0.6984,0.77238,0.3533,1.75994,1.67963,1.58976,0.000247686,0.000247686,0.000247686
34,70.6876,1.28577,0.9691,1.18469,0.82667,0.76938,0.79239,0.3697,1.7485,1.44932,1.5733,0.000234302,0.000234302,0.000234302
35,72.5749,1.31045,0.95642,1.19064,0.79843,0.70968,0.79012,0.3918,1.65039,1.34477,1.48916,0.000220917,0.000220917,0.000220917
36,74.5755,1.18199,0.8565,1.12762,0.85503,0.64516,0.79445,0.41992,1.45538,1.2521,1.36365,0.000207532,0.000207532,0.000207532
37,76.5414,1.23073,0.95074,1.14839,0.76584,0.64516,0.76159,0.40947,1.5026,1.33268,1.38277,0.000194147,0.000194147,0.000194147
38,78.6457,1.17035,0.92194,1.14147,0.6628,0.74194,0.77056,0.40274,1.53336,1.38687,1.40171,0.000180762,0.000180762,0.000180762
39,80.5368,1.17527,0.90966,1.17573,0.69841,0.74194,0.79734,0.40722,1.51912,1.38607,1.42782,0.000167378,0.000167378,0.000167378
40,82.5214,1.12976,0.8468,1.10229,0.77824,0.74194,0.80693,0.40704,1.55274,1.4437,1.48396,0.000153993,0.000153993,0.000153993
41,85.0042,1.21085,1.03395,1.15691,0.91619,0.70539,0.79868,0.42094,1.55633,1.43112,1.48174,0.000140608,0.000140608,0.000140608
42,86.9704,1.19626,0.93874,1.14914,0.82203,0.7451,0.79444,0.4158,1.55465,1.41217,1.4788,0.000127223,0.000127223,0.000127223
43,88.9163,1.14732,0.89662,1.11179,0.8512,0.74194,0.79463,0.4163,1.55874,1.39818,1.47411,0.000113838,0.000113838,0.000113838
44,90.9341,1.1319,0.84289,1.11767,0.88601,0.75245,0.7988,0.41708,1.56353,1.42518,1.47803,0.000100454,0.000100454,0.000100454
45,92.9933,1.09014,0.82265,1.10537,0.85089,0.73651,0.78998,0.40446,1.57399,1.45286,1.48463,8.70688e-05,8.70688e-05,8.70688e-05
46,94.965,1.07075,0.77122,1.10299,0.83306,0.70968,0.78375,0.40283,1.60442,1.47535,1.50652,7.3684e-05,7.3684e-05,7.3684e-05
47,97.1052,1.03519,0.76853,1.0983,0.82303,0.70968,0.78155,0.39742,1.61694,1.4793,1.51972,6.02992e-05,6.02992e-05,6.02992e-05
48,99.0747,1.00574,0.77044,1.05355,0.79955,0.77207,0.78908,0.39307,1.62095,1.42152,1.53417,4.69144e-05,4.69144e-05,4.69144e-05
49,101.189,1.03774,0.75159,1.09123,0.91629,0.70631,0.79391,0.39929,1.62167,1.41429,1.53852,3.35296e-05,3.35296e-05,3.35296e-05
50,103.066,1.05051,0.74787,1.09899,0.88277,0.72903,0.80147,0.41214,1.60676,1.40895,1.53789,2.01448e-05,2.01448e-05,2.01448e-05
