epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.29145,2.76826,6.39426,2.241,0.00127,0.25806,0.00033,7e-05,2.71668,5.20846,2.24678,2.704e-05,2.704e-05,0.096027
2,8.41381,2.6694,6.14613,2.18373,0.00063,0.12903,0.00014,3e-05,2.13352,5.12261,2.18236,5.96354e-05,5.96354e-05,0.0910596
3,10.6713,2.24417,4.66973,1.85627,0,0,0,0,2.48077,4.26685,2.08207,9.08923e-05,9.08923e-05,0.0860909
4,12.7102,1.90752,3.80149,1.55682,0,0,0,0,2.41716,3.97463,2.0276,0.000120811,0.000120811,0.0811208
5,14.635,1.88909,3.3655,1.57487,0,0,0,0,2.31805,4.07614,2.39832,0.000149391,0.000149391,0.0761494
6,16.5839,1.85463,3.02063,1.62579,0,0,0,0,2.60844,4.09856,2.54981,0.000176632,0.000176632,0.0711766
7,18.5223,1.77692,2.68996,1.59687,0,0,0,0,2.60443,4.14903,2.29778,0.000202535,0.000202535,0.0662025
8,20.4644,1.7843,2.41472,1.58254,0,0,0,0,2.70586,4.2994,2.4272,0.000227099,0.000227099,0.0612271
9,22.6741,1.78016,2.09079,1.54776,0,0,0,0,2.87817,4.5389,2.50937,0.000250326,0.000250326,0.0562503
10,24.6489,1.81217,2.10295,1.5488,0,0,0,0,2.52677,4.55235,2.20407,0.000272213,0.000272213,0.0512722
11,26.5587,1.76634,1.95599,1.5122,0,0,0,0,2.36539,4.61623,2.1243,0.000292762,0.000292762,0.0462928
12,28.6037,1.69711,1.65611,1.50319,0,0,0,0,2.2427,4.58072,2.05134,0.000311973,0.000311973,0.041312
13,30.6582,1.70817,1.58847,1.51131,0,0,0,0,2.14197,4.47433,1.92486,0.000329845,0.000329845,0.0363298
14,32.664,1.64591,1.49741,1.48494,0.61538,0.25806,0.21314,0.10118,1.82221,4.19742,1.56994,0.000346378,0.000346378,0.0313464
15,34.6864,1.63487,1.5254,1.42608,0.72222,0.41935,0.34417,0.16411,1.86699,4.17849,1.62771,0.000361573,0.000361573,0.0263616
