epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.21266,2.78117,6.27209,2.22183,0.00127,0.25806,0.00034,8e-05,2.69702,5.15953,2.26351,2.704e-05,2.704e-05,0.096027
2,8.48671,2.56183,5.97711,2.09945,0.00079,0.16129,0.00015,4e-05,2.49899,4.20387,2.26784,5.96354e-05,5.96354e-05,0.0910596
3,10.7077,2.14874,4.59065,1.85329,0,0,0,0,2.77928,4.26066,2.51626,9.08923e-05,9.08923e-05,0.0860909
4,12.8977,1.98407,3.88492,1.60206,0,0,0,0,2.91436,3.9929,2.53439,0.000120811,0.000120811,0.0811208
5,14.9579,1.91075,3.51297,1.59596,0,0,0,0,2.61097,3.92502,2.17061,0.000149391,0.000149391,0.0761494
6,16.9867,1.85034,3.08398,1.60016,0,0,0,0,2.45358,3.90867,2.03941,0.000176632,0.000176632,0.0711766
7,18.8821,1.72958,2.76706,1.59764,0,0,0,0,2.53949,4.02889,2.2671,0.000202535,0.000202535,0.0662025
8,20.7468,1.77559,2.56711,1.5706,0,0,0,0,2.50566,4.13036,2.25208,0.000227099,0.000227099,0.0612271
9,22.6352,1.74199,2.15914,1.54014,0,0,0,0,2.29786,4.19862,1.90316,0.000250326,0.000250326,0.0562503
10,24.5215,1.77059,2.13453,1.55911,0,0,0,0,2.21449,4.24912,1.74282,0.000272213,0.000272213,0.0512722
11,26.4959,1.76359,1.97732,1.50526,0,0,0,0,1.92086,4.25942,1.51352,0.000292762,0.000292762,0.0462928
12,28.348,1.76626,1.6768,1.51995,0,0,0,0,1.61032,4.29219,1.38248,0.000311973,0.000311973,0.041312
13,30.1415,1.6765,1.6203,1.47424,0,0,0,0,1.68104,4.29184,1.40642,0.000329845,0.000329845,0.0363298
14,31.9549,1.69091,1.62502,1.50536,0,0,0,0,1.80324,4.26891,1.4117,0.000346378,0.000346378,0.0313464
15,33.8092,1.64431,1.5516,1.44814,0.83333,0.16129,0.165,0.0965,1.61257,4.24866,1.3645,0.000361573,0.000361573,0.0263616
16,35.5897,1.50961,1.42521,1.36774,0.8,0.25806,0.23722,0.13831,1.58782,4.20777,1.35045,0.00037543,0.00037543,0.0213754
17,37.4561,1.59906,1.35314,1.42318,0.75,0.29032,0.285,0.16737,1.67754,4.04391,1.36769,0.000387948,0.000387948,0.0163879
18,39.2816,1.52026,1.48702,1.33388,0.70588,0.3871,0.36338,0.20451,1.70995,3.85122,1.39692,0.000399128,0.000399128,0.0113991
19,41.1825,1.45287,1.33387,1.34642,0.55882,0.6129,0.56058,0.29997,1.63585,3.59192,1.36615,0.000408969,0.000408969,0.00640897
20,43.0625,1.4635,1.28326,1.30055,0.41667,0.80645,0.6978,0.33685,1.54507,3.15117,1.38371,0.000417472,0.000417472,0.00141747
21,44.9243,1.46559,1.22907,1.28378,0.30488,0.80645,0.67074,0.31255,1.66422,3.00576,1.45174,0.000408304,0.000408304,0.000408304
22,46.8288,1.43126,1.25329,1.29005,0.752,0.39149,0.61608,0.29979,1.77255,2.92104,1.50896,0.000394919,0.000394919,0.000394919
23,48.7806,1.4694,1.25704,1.31767,0.23529,0.77419,0.62858,0.30463,1.73977,2.91062,1.53872,0.000381534,0.000381534,0.000381534
24,50.7176,1.36472,1.21045,1.26823,0.24299,0.83871,0.68813,0.33932,1.63361,2.84184,1.48588,0.00036815,0.00036815,0.00036815
25,52.6791,1.39051,1.18699,1.27521,0.59207,0.64516,0.63512,0.33844,1.62472,2.77281,1.48574,0.000354765,0.000354765,0.000354765
26,54.5398,1.33789,1.18146,1.27642,0.77384,0.44191,0.64675,0.33537,1.65184,2.60358,1.5307,0.00034138,0.00034138,0.00034138
27,56.3427,1.36446,1.10468,1.26937,0.78536,0.47252,0.67647,0.34,1.67353,2.3642,1.58455,0.000327995,0.000327995,0.000327995
28,58.186,1.31666,1.03007,1.27789,0.68592,0.6129,0.70064,0.35237,1.70098,2.0523,1.60952,0.00031461,0.00031461,0.00031461
29,60.0337,1.35292,1.11855,1.25276,0.71414,0.6129,0.70988,0.34718,1.72344,2.05487,1.61772,0.000301226,0.000301226,0.000301226
30,61.8626,1.3593,1.05839,1.23267,0.72514,0.58065,0.69088,0.32481,1.72965,2.10315,1.6189,0.000287841,0.000287841,0.000287841
31,63.7358,1.26169,0.99353,1.21536,0.67259,0.54839,0.68539,0.31464,1.73742,2.11263,1.63657,0.000274456,0.000274456,0.000274456
32,65.6315,1.21775,0.94318,1.17995,0.77605,0.6129,0.69601,0.35042,1.61128,2.2188,1.49623,0.000261071,0.000261071,0.000261071
33,67.4535,1.21285,0.9514,1.19155,0.76013,0.61334,0.69191,0.35416,1.60035,2.18,1.4789,0.000247686,0.000247686,0.000247686
34,69.3213,1.30439,0.9824,1.18255,0.73127,0.6129,0.69261,0.35087,1.63825,2.13014,1.50819,0.000234302,0.000234302,0.000234302
35,71.1838,1.27458,0.94984,1.15366,0.72701,0.68748,0.71237,0.34851,1.61735,2.00659,1.50607,0.000220917,0.000220917,0.000220917
36,73.1068,1.18598,0.90718,1.14404,0.73156,0.70347,0.7207,0.36686,1.6495,1.80431,1.5677,0.000207532,0.000207532,0.000207532
37,75.065,1.24114,0.93513,1.15313,0.7185,0.70968,0.74687,0.36968,1.63651,1.72506,1.5754,0.000194147,0.000194147,0.000194147
38,76.9132,1.16602,0.92163,1.14173,0.71233,0.71911,0.74104,0.3635,1.63779,1.76657,1.57375,0.000180762,0.000180762,0.000180762
39,78.7007,1.20377,0.9242,1.1663,0.75901,0.74194,0.74674,0.3749,1.60493,1.76503,1.54958,0.000167378,0.000167378,0.000167378
40,80.5879,1.16659,0.87606,1.11096,0.74074,0.70968,0.73116,0.36546,1.60306,1.77022,1.5174,0.000153993,0.000153993,0.000153993
41,82.901,1.32681,1.10828,1.26095,0.83071,0.63348,0.73562,0.36732,1.62329,1.74605,1.54267,0.000140608,0.000140608,0.000140608
42,84.7829,1.2676,1.04465,1.19263,0.74899,0.6739,0.73971,0.37254,1.62188,1.7317,1.54996,0.000127223,0.000127223,0.000127223
43,86.5802,1.20435,0.99675,1.14321,0.75306,0.68888,0.74368,0.37303,1.60501,1.71637,1.54712,0.000113838,0.000113838,0.000113838
44,88.4653,1.16175,0.91933,1.15483,0.81338,0.7032,0.76459,0.37918,1.59338,1.75667,1.549,0.000100454,0.000100454,0.000100454
45,90.3837,1.16096,0.85978,1.11878,0.81334,0.70299,0.76015,0.37842,1.56932,1.79444,1.52395,8.70688e-05,8.70688e-05,8.70688e-05
46,92.3737,1.10226,0.84815,1.12674,0.752,0.68491,0.75198,0.37741,1.60015,1.76179,1.54556,7.3684e-05,7.3684e-05,7.3684e-05
47,94.3775,1.09038,0.83777,1.09276,0.78478,0.70968,0.74711,0.37738,1.60777,1.74164,1.55915,6.02992e-05,6.02992e-05,6.02992e-05
48,96.291,1.07973,0.84546,1.08674,0.72629,0.67742,0.74531,0.36683,1.61529,1.75165,1.56533,4.69144e-05,4.69144e-05,4.69144e-05
49,98.158,1.12148,0.82404,1.11967,0.7449,0.65964,0.74947,0.36863,1.63145,1.71956,1.57626,3.35296e-05,3.35296e-05,3.35296e-05
50,99.9616,1.1127,0.79517,1.14184,0.74763,0.66915,0.75174,0.37325,1.64237,1.69953,1.57672,2.01448e-05,2.01448e-05,2.01448e-05
