epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.1689,2.71066,6.16804,2.25677,0.00111,0.22581,0.00026,6e-05,2.49205,5.20556,2.25115,2.704e-05,2.704e-05,0.096027
2,8.27088,2.46871,5.92473,2.09573,0.00048,0.09677,5e-05,2e-05,2.58283,4.76124,2.56657,5.96354e-05,5.96354e-05,0.0910596
3,10.3018,2.07281,4.45286,1.79295,0,0,0,0,2.793,4.39097,2.55818,9.08923e-05,9.08923e-05,0.0860909
4,12.3179,1.9136,3.77141,1.5202,0.00016,0.03226,2e-05,1e-05,2.41724,3.97642,2.24846,0.000120811,0.000120811,0.0811208
5,14.3336,1.89546,3.32377,1.54622,0,0,0,0,2.18825,3.88334,1.83176,0.000149391,0.000149391,0.0761494
6,16.2922,1.90484,2.89534,1.6355,0,0,0,0,2.06359,3.85285,1.66268,0.000176632,0.000176632,0.0711766
7,18.4042,1.81982,2.56771,1.63198,0,0,0,0,2.06917,3.89409,1.55933,0.000202535,0.000202535,0.0662025
8,20.3478,1.81154,2.43806,1.58481,0,0,0,0,2.28926,3.96944,1.64336,0.000227099,0.000227099,0.0612271
9,22.3977,1.77174,2.04403,1.53541,0,0,0,0,2.20555,4.11159,1.59057,0.000250326,0.000250326,0.0562503
10,24.2335,1.74586,2.04296,1.49393,0,0,0,0,2.20057,4.16459,1.57375,0.000272213,0.000272213,0.0512722
11,26.1339,1.80968,1.80088,1.51801,0,0,0,0,1.90871,4.19112,1.42582,0.000292762,0.000292762,0.0462928
12,28.122,1.63341,1.56818,1.46157,0,0,0,0,1.7322,4.22034,1.37122,0.000311973,0.000311973,0.041312
13,29.9531,1.69055,1.54788,1.46859,0.57143,0.12903,0.10464,0.06882,1.66176,4.20515,1.35926,0.000329845,0.000329845,0.0363298
14,31.9749,1.62089,1.54377,1.47971,0.6875,0.35484,0.32517,0.18625,1.61149,4.1172,1.37982,0.000346378,0.000346378,0.0313464
15,33.9737,1.5844,1.47865,1.3864,0.68,0.54839,0.53465,0.2697,1.57346,3.79512,1.39367,0.000361573,0.000361573,0.0263616
16,35.9531,1.58917,1.51161,1.39763,0.62069,0.58065,0.54863,0.28586,1.60292,3.70093,1.40548,0.00037543,0.00037543,0.0213754
17,37.9149,1.63294,1.49462,1.43198,0.45,0.58065,0.5156,0.28384,1.56239,3.57821,1.3722,0.000387948,0.000387948,0.0163879
18,39.7381,1.62008,1.50298,1.40203,0.42308,0.70968,0.60749,0.32666,1.64475,3.38314,1.42734,0.000399128,0.000399128,0.0113991
19,41.6897,1.50756,1.32009,1.37417,0.4,0.77419,0.6398,0.37254,1.60226,3.15753,1.42369,0.000408969,0.000408969,0.00640897
20,43.5142,1.50648,1.28721,1.31222,0.23148,0.80645,0.68248,0.3562,1.61797,2.89192,1.41958,0.000417472,0.000417472,0.00141747
21,45.4935,1.47557,1.25662,1.29301,0.86786,0.3871,0.64379,0.33489,1.60047,2.70253,1.41009,0.000408304,0.000408304,0.000408304
22,47.3124,1.51059,1.30686,1.32647,0.81027,0.41359,0.66298,0.34618,1.58798,2.49661,1.41335,0.000394919,0.000394919,0.000394919
23,49.1409,1.48167,1.28179,1.31492,0.8308,0.47554,0.6942,0.38423,1.5517,2.26968,1.40402,0.000381534,0.000381534,0.000381534
24,51.1768,1.43548,1.19821,1.29681,0.84144,0.6129,0.72147,0.38808,1.52063,2.10543,1.42746,0.00036815,0.00036815,0.00036815
25,53.1269,1.48464,1.23876,1.30105,0.80339,0.54839,0.70511,0.37438,1.5436,2.11166,1.42101,0.000354765,0.000354765,0.000354765
26,54.9821,1.37609,1.20871,1.26155,0.72176,0.54839,0.67754,0.35629,1.58433,2.06462,1.43721,0.00034138,0.00034138,0.00034138
27,56.8088,1.45354,1.15935,1.31122,0.7813,0.58065,0.69336,0.35197,1.56857,1.88284,1.42535,0.000327995,0.000327995,0.000327995
28,58.819,1.39264,1.09914,1.30545,0.68913,0.64363,0.70045,0.35075,1.60418,1.76169,1.47445,0.00031461,0.00031461,0.00031461
29,60.6635,1.44523,1.22068,1.2817,0.67583,0.67742,0.69511,0.35988,1.62461,1.75381,1.48471,0.000301226,0.000301226,0.000301226
30,62.5728,1.45319,1.12358,1.25591,0.80498,0.67742,0.73143,0.39696,1.63073,1.79792,1.4931,0.000287841,0.000287841,0.000287841
31,64.6223,1.3603,1.08821,1.2415,0.71499,0.64516,0.75271,0.41138,1.60119,1.80884,1.44927,0.000274456,0.000274456,0.000274456
32,66.6883,1.29598,0.98942,1.1971,0.75858,0.70952,0.75659,0.40246,1.63497,1.81823,1.44765,0.000261071,0.000261071,0.000261071
33,68.62,1.27007,1.05246,1.2058,0.72213,0.70968,0.74184,0.41007,1.62819,1.8039,1.44855,0.000247686,0.000247686,0.000247686
34,70.4343,1.30137,1.0644,1.17875,0.74171,0.77419,0.75736,0.41538,1.61779,1.72837,1.43814,0.000234302,0.000234302,0.000234302
35,72.2668,1.35469,1.05303,1.20806,0.75233,0.78413,0.75987,0.41859,1.606,1.63646,1.43246,0.000220917,0.000220917,0.000220917
