epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.29354,2.76867,6.40211,2.23611,0.00143,0.29032,0.00043,9e-05,2.6055,5.13534,2.23921,2.704e-05,2.704e-05,0.096027
2,8.52241,2.73823,6.28443,2.24364,0.00032,0.06452,2e-05,1e-05,2.33371,5.05294,2.19464,5.96354e-05,5.96354e-05,0.0910596
3,10.7618,2.184,4.65409,1.90804,0,0,0,0,3.36557,4.38151,2.95725,9.08923e-05,9.08923e-05,0.0860909
4,12.9392,2.00413,3.80851,1.64609,0,0,0,0,3.45565,4.06591,2.80445,0.000120811,0.000120811,0.0811208
5,15.0186,1.93363,3.38208,1.60455,0,0,0,0,2.25479,3.96248,1.92659,0.000149391,0.000149391,0.0761494
6,16.9407,1.89241,3.10156,1.64667,0,0,0,0,2.05114,3.98166,1.76913,0.000176632,0.000176632,0.0711766
7,18.9586,1.68674,2.79926,1.62546,0,0,0,0,2.14683,4.13882,1.90629,0.000202535,0.000202535,0.0662025
8,20.9235,1.78009,2.66323,1.65776,0,0,0,0,1.88537,4.19121,1.73064,0.000227099,0.000227099,0.0612271
9,22.9034,1.78959,2.20104,1.62075,0,0,0,0,1.78414,4.3193,1.66937,0.000250326,0.000250326,0.0562503
10,24.8037,1.79031,2.16461,1.58311,0,0,0,0,1.73847,4.26727,1.51962,0.000272213,0.000272213,0.0512722
11,26.7035,1.79148,2.13736,1.53751,0,0,0,0,1.69704,4.27641,1.47201,0.000292762,0.000292762,0.0462928
12,28.5988,1.72248,1.77584,1.52431,0.88889,0.25806,0.25167,0.10353,1.66399,4.24794,1.49673,0.000311973,0.000311973,0.041312
13,30.512,1.71014,1.64105,1.47538,0.78571,0.35484,0.3369,0.1524,1.64195,4.1621,1.45972,0.000329845,0.000329845,0.0363298
14,32.3821,1.66998,1.5587,1.49827,0.57692,0.48387,0.44595,0.21555,1.646,4.01392,1.43477,0.000346378,0.000346378,0.0313464
15,34.2866,1.605,1.5533,1.40479,0.33333,0.67742,0.52129,0.24784,1.59436,3.79531,1.42638,0.000361573,0.000361573,0.0263616
16,36.2424,1.54144,1.55363,1.39322,0.19266,0.67742,0.51235,0.25393,1.61497,3.68413,1.44025,0.00037543,0.00037543,0.0213754
17,38.2924,1.5871,1.45161,1.39978,0.21101,0.74194,0.51498,0.27306,1.57553,3.49297,1.44212,0.000387948,0.000387948,0.0163879
18,40.2667,1.55378,1.44717,1.37778,0.21875,0.67742,0.47726,0.26326,1.5411,3.49385,1.4196,0.000399128,0.000399128,0.0113991
19,42.191,1.4928,1.34278,1.35233,0.28571,0.70968,0.49663,0.26558,1.56489,3.47647,1.44098,0.000408969,0.000408969,0.00640897
20,44.1151,1.50782,1.25953,1.3005,0.26316,0.80645,0.51579,0.26448,1.57435,3.36036,1.46977,0.000417472,0.000417472,0.00141747
21,46.0623,1.45268,1.22385,1.29419,0.22034,0.83871,0.50411,0.28991,1.55627,3.21827,1.47107,0.000408304,0.000408304,0.000408304
22,48.1847,1.38157,1.20851,1.25451,0.49221,0.41935,0.46145,0.24833,1.6325,2.96445,1.53197,0.000394919,0.000394919,0.000394919
23,50.2168,1.46783,1.24829,1.30309,0.68359,0.20992,0.45775,0.25235,1.62919,2.7523,1.53773,0.000381534,0.000381534,0.000381534
24,52.3128,1.4039,1.16514,1.27204,0.53624,0.45161,0.52587,0.26894,1.66903,2.33928,1.54819,0.00036815,0.00036815,0.00036815
25,54.2701,1.42902,1.21493,1.28842,0.51907,0.45161,0.53886,0.29514,1.62668,2.2405,1.48469,0.000354765,0.000354765,0.000354765
26,56.2291,1.35255,1.16653,1.24646,0.50354,0.54839,0.57674,0.31834,1.65618,2.13987,1.4982,0.00034138,0.00034138,0.00034138
27,58.0771,1.39451,1.14273,1.25991,0.59848,0.6129,0.63105,0.32867,1.62813,2.04291,1.49531,0.000327995,0.000327995,0.000327995
28,59.9366,1.35046,1.06866,1.26988,0.71203,0.6129,0.70082,0.3803,1.62413,1.99552,1.47804,0.00031461,0.00031461,0.00031461
29,61.9177,1.34517,1.16939,1.23705,0.72689,0.6129,0.72235,0.38199,1.58072,2.00583,1.46091,0.000301226,0.000301226,0.000301226
30,63.8328,1.38143,1.07859,1.24017,0.82431,0.60566,0.71561,0.36602,1.59968,2.04575,1.48009,0.000287841,0.000287841,0.000287841
31,65.7773,1.31135,1.04392,1.2359,0.76724,0.58065,0.70991,0.35871,1.62169,2.08416,1.49121,0.000274456,0.000274456,0.000274456
32,67.7923,1.27364,0.98422,1.19966,0.64031,0.68931,0.72371,0.3722,1.61363,1.90023,1.53385,0.000261071,0.000261071,0.000261071
33,69.6054,1.23336,0.99517,1.19993,0.61267,0.67742,0.71534,0.36865,1.67403,1.78668,1.57242,0.000247686,0.000247686,0.000247686
34,71.4896,1.27066,1.03351,1.1757,0.77266,0.54839,0.68806,0.35966,1.64514,1.69083,1.55701,0.000234302,0.000234302,0.000234302
35,73.5364,1.25245,0.97278,1.16198,0.56505,0.71247,0.6779,0.37115,1.56952,1.63688,1.5101,0.000220917,0.000220917,0.000220917
36,75.5696,1.17908,0.90799,1.13387,0.70878,0.67742,0.71816,0.36096,1.61008,1.60906,1.53226,0.000207532,0.000207532,0.000207532
37,77.5124,1.27057,0.98292,1.17414,0.71962,0.66262,0.71579,0.36348,1.63417,1.67197,1.55549,0.000194147,0.000194147,0.000194147
38,79.5449,1.23278,0.98746,1.17661,0.68041,0.70968,0.71492,0.37098,1.64425,1.71837,1.55939,0.000180762,0.000180762,0.000180762
39,81.6105,1.20078,0.95919,1.16691,0.65316,0.72919,0.7269,0.36351,1.64229,1.73179,1.54869,0.000167378,0.000167378,0.000167378
40,83.7952,1.17798,0.86875,1.11491,0.67644,0.67448,0.72852,0.37358,1.64541,1.75422,1.54235,0.000153993,0.000153993,0.000153993
41,86.2067,1.20002,1.05004,1.17135,0.6803,0.67742,0.71506,0.37381,1.66065,1.74548,1.55444,0.000140608,0.000140608,0.000140608
42,88.1132,1.24103,1.01612,1.17765,0.7043,0.69174,0.71319,0.36714,1.65334,1.75383,1.55269,0.000127223,0.000127223,0.000127223
43,89.9907,1.16251,0.95979,1.11997,0.70841,0.70544,0.73215,0.36979,1.63869,1.74224,1.53714,0.000113838,0.000113838,0.000113838
44,91.9925,1.18796,0.90717,1.17429,0.74089,0.64516,0.7108,0.37278,1.63005,1.82764,1.51969,0.000100454,0.000100454,0.000100454
