epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.24328,2.71252,6.30632,2.19181,0.00095,0.19355,0.00019,8e-05,2.58719,5.208,2.22426,2.704e-05,2.704e-05,0.096027
2,8.31911,2.59013,5.99234,2.2269,0.00175,0.35484,0.00075,0.00013,2.44292,5.23388,2.29924,5.96354e-05,5.96354e-05,0.0910596
3,10.3188,2.2611,4.71846,1.96619,0,0,0,0,3.67319,4.33151,2.96854,9.08923e-05,9.08923e-05,0.0860909
4,12.3534,1.92471,3.82959,1.60209,0,0,0,0,3.81597,3.97956,3.02887,0.000120811,0.000120811,0.0811208
5,14.4655,1.86035,3.36814,1.60015,0,0,0,0,3.76708,3.99797,3.10196,0.000149391,0.000149391,0.0761494
6,16.5078,1.83647,2.98745,1.65408,0,0,0,0,3.72487,3.98296,3.06842,0.000176632,0.000176632,0.0711766
7,18.4809,1.70944,2.66878,1.6777,0,0,0,0,3.22565,3.9947,2.50253,0.000202535,0.000202535,0.0662025
8,20.4931,1.83502,2.42634,1.74535,0,0,0,0,2.7849,4.08637,2.35347,0.000227099,0.000227099,0.0612271
9,22.5055,1.7851,2.04005,1.6286,0,0,0,0,2.2735,4.20887,2.01938,0.000250326,0.000250326,0.0562503
10,24.4559,1.77366,2.06203,1.60355,0,0,0,0,2.07552,4.27614,1.88463,0.000272213,0.000272213,0.0512722
11,26.4796,1.79152,1.91799,1.62402,0,0,0,0,1.99583,4.40863,1.92416,0.000292762,0.000292762,0.0462928
12,28.6127,1.70215,1.63169,1.57133,0,0,0,0,1.83553,4.45799,1.78547,0.000311973,0.000311973,0.041312
13,30.663,1.63073,1.64495,1.50892,0,0,0,0,1.89779,4.4642,1.75264,0.000329845,0.000329845,0.0363298
