epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.20118,2.76655,6.37645,2.2386,0.00127,0.25806,0.00033,8e-05,2.61446,5.15306,2.24887,2.704e-05,2.704e-05,0.096027
2,8.40894,2.71883,6.2939,2.2341,0.00016,0.03226,1e-05,0,2.32344,5.19741,2.3096,5.96354e-05,5.96354e-05,0.0910596
3,10.6418,2.14731,4.60719,1.88339,0,0,0,0,2.42415,4.27134,2.20829,9.08923e-05,9.08923e-05,0.0860909
4,12.6939,1.87733,3.76354,1.54992,0,0,0,0,2.34797,3.8937,1.90663,0.000120811,0.000120811,0.0811208
5,14.74,1.91057,3.29819,1.60366,0,0,0,0,2.22361,3.93755,1.91902,0.000149391,0.000149391,0.0761494
6,16.8639,1.87097,2.98622,1.63215,0,0,0,0,2.19156,3.95835,1.91675,0.000176632,0.000176632,0.0711766
7,18.8999,1.78989,2.62573,1.65181,0,0,0,0,1.81826,4.0708,1.73778,0.000202535,0.000202535,0.0662025
8,20.7752,1.86313,2.54799,1.70432,0,0,0,0,1.74636,4.14811,1.68969,0.000227099,0.000227099,0.0612271
9,22.7692,1.72405,2.15651,1.55853,0,0,0,0,1.69928,4.20544,1.56928,0.000250326,0.000250326,0.0562503
10,24.7685,1.70556,2.0755,1.49548,0,0,0,0,1.83924,4.26385,1.55776,0.000272213,0.000272213,0.0512722
11,26.7308,1.80251,2.00237,1.5079,0,0,0,0,1.66849,4.31564,1.54664,0.000292762,0.000292762,0.0462928
12,28.5694,1.65145,1.68796,1.422,0.66667,0.12903,0.115,0.0755,1.6737,4.31204,1.59016,0.000311973,0.000311973,0.041312
13,30.4766,1.59362,1.55539,1.38959,0.875,0.22581,0.225,0.14315,1.68029,4.35099,1.63137,0.000329845,0.000329845,0.0363298
14,32.374,1.62624,1.52463,1.44581,0.66667,0.51613,0.50735,0.28555,1.66098,3.97442,1.50623,0.000346378,0.000346378,0.0313464
15,34.3699,1.63281,1.47211,1.42536,0.30137,0.70968,0.61538,0.27966,1.69587,3.67779,1.48555,0.000361573,0.000361573,0.0263616
16,36.19,1.52805,1.4191,1.36261,0.21569,0.70968,0.57943,0.24812,1.66247,3.57817,1.47402,0.00037543,0.00037543,0.0213754
17,38.1358,1.60177,1.41489,1.3898,0.30952,0.83871,0.67541,0.35437,1.59303,3.32534,1.3895,0.000387948,0.000387948,0.0163879
18,40.0972,1.5941,1.44571,1.36652,0.23478,0.87097,0.70773,0.36318,1.55786,3.20548,1.39445,0.000399128,0.000399128,0.0113991
19,42.0558,1.5192,1.32715,1.34197,0.1871,0.93548,0.75533,0.44074,1.51007,2.99737,1.36767,0.000408969,0.000408969,0.00640897
20,44.1356,1.52286,1.24064,1.31755,0.76048,0.58065,0.72889,0.45541,1.45837,2.83324,1.36435,0.000417472,0.000417472,0.00141747
21,46.1017,1.44432,1.22196,1.26114,0.84538,0.5295,0.63464,0.39849,1.52574,2.84023,1.36756,0.000408304,0.000408304,0.000408304
22,48.0069,1.37832,1.19821,1.25217,0.7601,0.30727,0.58672,0.33651,1.60295,2.78845,1.38245,0.000394919,0.000394919,0.000394919
23,49.9616,1.47119,1.1965,1.29226,0.83149,0.31867,0.60877,0.35339,1.59029,2.71773,1.39678,0.000381534,0.000381534,0.000381534
24,52.1119,1.41213,1.16118,1.28187,0.93273,0.44753,0.78198,0.43979,1.54613,2.35473,1.41146,0.00036815,0.00036815,0.00036815
25,54.1496,1.38102,1.22429,1.25706,0.93483,0.46317,0.79783,0.45542,1.55047,2.20231,1.42769,0.000354765,0.000354765,0.000354765
26,56.0453,1.38324,1.14572,1.27035,0.94402,0.54423,0.80102,0.44725,1.55954,2.0779,1.43652,0.00034138,0.00034138,0.00034138
27,57.915,1.35992,1.0963,1.25784,0.90059,0.58065,0.7835,0.44886,1.56221,1.98628,1.42811,0.000327995,0.000327995,0.000327995
28,59.8382,1.32658,1.03937,1.27436,0.82581,0.54839,0.72499,0.39361,1.63385,1.85697,1.52867,0.00031461,0.00031461,0.00031461
29,61.8223,1.38138,1.16339,1.28619,0.93946,0.50105,0.70592,0.38828,1.64317,1.80797,1.54867,0.000301226,0.000301226,0.000301226
30,63.8055,1.40954,1.09988,1.26128,0.81803,0.58065,0.75054,0.40919,1.56244,1.8011,1.5217,0.000287841,0.000287841,0.000287841
31,65.7826,1.31677,1.0239,1.24047,0.82441,0.60605,0.77209,0.42264,1.57098,1.78367,1.51215,0.000274456,0.000274456,0.000274456
32,67.8281,1.24773,0.97797,1.19094,0.65202,0.67742,0.75309,0.41222,1.53016,1.70119,1.41325,0.000261071,0.000261071,0.000261071
33,69.7327,1.24299,1.00964,1.2147,0.68203,0.67742,0.78317,0.42355,1.50049,1.59506,1.38189,0.000247686,0.000247686,0.000247686
34,71.6691,1.29955,0.98841,1.18065,0.80827,0.68005,0.80518,0.44011,1.53848,1.59722,1.40282,0.000234302,0.000234302,0.000234302
