epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.22156,2.86595,6.68506,2.3282,0.00095,0.19355,0.00019,6e-05,2.55564,5.20994,2.25607,2.704e-05,2.704e-05,0.096027
2,8.45346,2.76167,6.3794,2.3179,0.00048,0.09677,6e-05,1e-05,2.72594,5.15812,2.4802,5.96354e-05,5.96354e-05,0.0910596
3,10.717,2.19805,4.66607,1.85424,0,0,0,0,2.48508,4.28346,2.17227,9.08923e-05,9.08923e-05,0.0860909
4,12.8957,1.91426,3.862,1.51391,0.00016,0.03226,2e-05,1e-05,2.49586,4.00848,2.03352,0.000120811,0.000120811,0.0811208
5,14.9109,1.83654,3.47344,1.4692,0,0,0,0,2.2055,3.90852,1.82505,0.000149391,0.000149391,0.0761494
6,16.8894,1.83862,3.11767,1.50683,0,0,0,0,2.06498,3.84699,1.67152,0.000176632,0.000176632,0.0711766
7,18.8456,1.76836,2.80176,1.52895,0,0,0,0,2.36843,3.9256,1.84864,0.000202535,0.000202535,0.0662025
8,20.788,1.77693,2.49283,1.51753,0,0,0,0,2.35789,4.05485,1.96897,0.000227099,0.000227099,0.0612271
9,22.9244,1.70354,2.13981,1.4676,0,0,0,0,2.60242,4.22351,2.17574,0.000250326,0.000250326,0.0562503
10,24.9288,1.73284,2.05369,1.44655,0,0,0,0,2.87722,4.40299,2.32958,0.000272213,0.000272213,0.0512722
11,26.8516,1.76283,1.99108,1.46305,0,0,0,0,2.16483,4.30642,1.80145,0.000292762,0.000292762,0.0462928
12,28.9369,1.6749,1.66259,1.4015,0.5625,0.29032,0.22,0.08724,1.81251,4.05544,1.56782,0.000311973,0.000311973,0.041312
13,30.9881,1.59092,1.55226,1.37582,0.5,0.3871,0.34238,0.13503,1.85062,3.99733,1.57703,0.000329845,0.000329845,0.0363298
14,32.9777,1.56357,1.52859,1.38595,0.37838,0.45161,0.38418,0.20371,1.83492,3.89647,1.50171,0.000346378,0.000346378,0.0313464
15,35.067,1.66259,1.4594,1.39334,0.40909,0.58065,0.4381,0.22174,1.74012,3.7785,1.46458,0.000361573,0.000361573,0.0263616
16,37.0857,1.53947,1.47223,1.31953,0.32653,0.51613,0.42309,0.21482,1.8066,3.70578,1.49664,0.00037543,0.00037543,0.0213754
17,39.0388,1.61102,1.42099,1.34853,0.19792,0.6129,0.36805,0.18614,1.92147,3.36546,1.57603,0.000387948,0.000387948,0.0163879
18,41.0785,1.58281,1.40203,1.31237,0.1345,0.74194,0.46759,0.23687,1.86031,3.03754,1.5355,0.000399128,0.000399128,0.0113991
19,43.052,1.53631,1.33494,1.30742,0.76975,0.16129,0.48946,0.24188,1.80832,2.86433,1.49489,0.000408969,0.000408969,0.00640897
20,45.1129,1.51125,1.34095,1.28598,0.66033,0.19355,0.42401,0.21487,1.8092,2.71343,1.53805,0.000417472,0.000417472,0.00141747
21,47.0064,1.42978,1.21581,1.24021,0.76872,0.21529,0.43796,0.20825,1.86398,2.6214,1.64326,0.000408304,0.000408304,0.000408304
22,48.9506,1.483,1.24493,1.30896,0.65654,0.32258,0.50704,0.2317,1.84493,2.49733,1.64413,0.000394919,0.000394919,0.000394919
23,50.9902,1.47298,1.24046,1.28111,0.69554,0.3871,0.56538,0.26144,1.7935,2.38045,1.60976,0.000381534,0.000381534,0.000381534
24,53.097,1.38117,1.21219,1.25359,0.66514,0.35484,0.57785,0.26106,1.75212,2.39806,1.56382,0.00036815,0.00036815,0.00036815
25,55.0984,1.36912,1.1904,1.23365,0.61479,0.36064,0.56731,0.27769,1.78272,2.39468,1.56974,0.000354765,0.000354765,0.000354765
26,57.2896,1.341,1.16317,1.23534,0.68345,0.45161,0.61983,0.28738,1.7436,2.2573,1.55682,0.00034138,0.00034138,0.00034138
27,59.3134,1.39105,1.15299,1.239,0.66291,0.45161,0.63627,0.32297,1.74703,2.16595,1.54044,0.000327995,0.000327995,0.000327995
28,61.4208,1.36203,1.09176,1.24753,0.74281,0.6129,0.69896,0.35724,1.71392,1.79271,1.50238,0.00031461,0.00031461,0.00031461
29,63.2999,1.40616,1.13761,1.22782,0.63499,0.61742,0.67901,0.32545,1.7123,1.77139,1.48151,0.000301226,0.000301226,0.000301226
30,65.1827,1.36192,1.09489,1.18092,0.64682,0.64998,0.67174,0.32155,1.77623,1.77921,1.50661,0.000287841,0.000287841,0.000287841
31,67.0843,1.33665,1.0165,1.21125,0.67015,0.64516,0.67591,0.30968,1.91635,1.76944,1.55153,0.000274456,0.000274456,0.000274456
32,68.9969,1.31968,1.01451,1.1865,0.77624,0.70968,0.70292,0.33972,1.81762,1.74999,1.49194,0.000261071,0.000261071,0.000261071
33,70.8591,1.22988,1.00352,1.1621,0.74706,0.70968,0.69065,0.323,1.82033,1.79315,1.49966,0.000247686,0.000247686,0.000247686
34,72.7371,1.28272,1.04035,1.14912,0.69222,0.67742,0.66536,0.31519,1.84935,1.7652,1.52235,0.000234302,0.000234302,0.000234302
35,74.8065,1.27959,1.0155,1.13421,0.67341,0.58065,0.61739,0.29998,1.84354,1.81651,1.53635,0.000220917,0.000220917,0.000220917
36,76.9249,1.21443,0.91718,1.14083,0.6821,0.6129,0.61936,0.30952,1.81982,1.79055,1.57245,0.000207532,0.000207532,0.000207532
37,78.9374,1.2193,0.98387,1.1213,0.72775,0.6129,0.6314,0.31767,1.78557,1.72742,1.57375,0.000194147,0.000194147,0.000194147
38,80.784,1.2324,0.9918,1.15556,0.75715,0.60371,0.65005,0.32586,1.76214,1.70602,1.57156,0.000180762,0.000180762,0.000180762
39,82.6726,1.17708,0.92785,1.13728,0.70985,0.58065,0.6575,0.33587,1.77988,1.73392,1.59676,0.000167378,0.000167378,0.000167378
40,84.6051,1.1993,0.89176,1.10975,0.78942,0.58065,0.69772,0.34222,1.80278,1.78507,1.60826,0.000153993,0.000153993,0.000153993
41,87.1046,1.17184,1.00947,1.13418,0.8076,0.6129,0.69145,0.31808,1.81116,1.76225,1.61754,0.000140608,0.000140608,0.000140608
42,89.2789,1.19028,1.00884,1.11868,0.65645,0.67804,0.67994,0.32615,1.82939,1.77885,1.62285,0.000127223,0.000127223,0.000127223
43,91.3508,1.18552,0.95665,1.11127,0.73416,0.64516,0.67197,0.32652,1.81491,1.79307,1.60356,0.000113838,0.000113838,0.000113838
