epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.26603,2.74932,6.42592,2.21554,0.00127,0.25806,0.00033,8e-05,2.61237,5.14354,2.24935,2.704e-05,2.704e-05,0.096027
2,8.17727,2.75973,6.30089,2.25445,0.00032,0.06452,2e-05,1e-05,2.33278,5.20852,2.23892,5.96354e-05,5.96354e-05,0.0910596
3,10.3098,2.05139,4.52179,1.7634,0,0,0,0,2.28384,4.19382,1.9681,9.08923e-05,9.08923e-05,0.0860909
4,12.3697,1.87329,3.63851,1.5121,0,0,0,0,2.40101,3.8676,1.87393,0.000120811,0.000120811,0.0811208
5,14.2548,1.8681,3.16974,1.5365,0,0,0,0,2.44219,3.8126,1.78213,0.000149391,0.000149391,0.0761494
6,16.084,1.83688,2.89011,1.56413,0,0,0,0,1.95605,3.83243,1.52488,0.000176632,0.000176632,0.0711766
7,18.0047,1.72691,2.56417,1.54528,0,0,0,0,1.94611,4.03472,1.68609,0.000202535,0.000202535,0.0662025
8,19.8447,1.7453,2.41239,1.51678,0,0,0,0,1.76992,4.16086,1.63525,0.000227099,0.000227099,0.0612271
9,21.8203,1.74971,2.104,1.51052,0,0,0,0,1.73213,4.3,1.58851,0.000250326,0.000250326,0.0562503
10,23.7247,1.70706,1.99798,1.45088,1,0.03226,0.035,0.0175,1.71103,4.19362,1.41883,0.000272213,0.000272213,0.0512722
11,25.6266,1.76114,1.92417,1.48603,1,0.09677,0.095,0.04067,1.65533,4.17632,1.39588,0.000292762,0.000292762,0.0462928
12,27.4643,1.6795,1.59524,1.48398,0.43478,0.32258,0.26967,0.1393,1.72221,4.04312,1.4362,0.000311973,0.000311973,0.041312
13,29.2947,1.6422,1.53137,1.47505,0.31579,0.3871,0.28371,0.15063,1.70927,4.02496,1.41401,0.000329845,0.000329845,0.0363298
14,31.4104,1.61919,1.49163,1.48735,0.31818,0.45161,0.35051,0.19362,1.67879,3.88713,1.37972,0.000346378,0.000346378,0.0313464
15,33.4992,1.54879,1.44656,1.38862,0.34694,0.54839,0.45675,0.16561,1.77999,3.83101,1.50831,0.000361573,0.000361573,0.0263616
16,35.3992,1.52215,1.43823,1.37622,0.37037,0.64516,0.54188,0.23816,1.71007,3.67715,1.44064,0.00037543,0.00037543,0.0213754
17,37.3793,1.62627,1.48791,1.42588,0.15924,0.80645,0.5078,0.25306,1.59649,3.33133,1.32948,0.000387948,0.000387948,0.0163879
18,39.2881,1.62381,1.49712,1.40654,1,0.19681,0.59124,0.26485,1.69601,2.89673,1.40318,0.000399128,0.000399128,0.0113991
19,41.1045,1.5247,1.28874,1.36487,0.92029,0.37305,0.63464,0.27048,1.76423,2.62311,1.47067,0.000408969,0.000408969,0.00640897
20,42.9372,1.54015,1.31723,1.33433,0.78242,0.46443,0.67172,0.27476,1.71963,2.23424,1.45591,0.000417472,0.000417472,0.00141747
21,44.9079,1.45355,1.23896,1.28741,0.68122,0.54839,0.6495,0.29392,1.67293,2.15392,1.3905,0.000408304,0.000408304,0.000408304
22,46.7624,1.43325,1.30161,1.28598,0.78722,0.59707,0.74382,0.34766,1.63825,2.06001,1.39186,0.000394919,0.000394919,0.000394919
23,48.677,1.50022,1.21146,1.3221,0.71981,0.58012,0.73604,0.35241,1.63442,2.00071,1.41263,0.000381534,0.000381534,0.000381534
24,50.7303,1.39947,1.16048,1.27382,0.62921,0.45161,0.68937,0.36409,1.59691,2.05368,1.46311,0.00036815,0.00036815,0.00036815
25,52.6259,1.38155,1.17181,1.26389,0.65776,0.45161,0.65504,0.36972,1.57336,2.09736,1.4432,0.000354765,0.000354765,0.000354765
26,54.4813,1.3576,1.16142,1.24781,0.66504,0.51251,0.63941,0.34937,1.56475,2.05177,1.41461,0.00034138,0.00034138,0.00034138
27,56.3607,1.38349,1.11137,1.25123,0.67396,0.53377,0.63398,0.38143,1.60033,1.94294,1.42057,0.000327995,0.000327995,0.000327995
28,58.2943,1.32586,1.06569,1.24923,0.64447,0.58486,0.66829,0.39001,1.60258,1.86424,1.43335,0.00031461,0.00031461,0.00031461
29,60.3295,1.31186,1.10442,1.20738,0.69318,0.5831,0.67283,0.38589,1.63668,1.90911,1.46486,0.000301226,0.000301226,0.000301226
30,62.2277,1.36484,1.06614,1.22923,0.70051,0.6129,0.66157,0.35965,1.65496,1.87593,1.48776,0.000287841,0.000287841,0.000287841
31,64.0755,1.31845,1.02904,1.24147,0.72008,0.6129,0.70452,0.36897,1.65198,1.86905,1.48756,0.000274456,0.000274456,0.000274456
32,66.088,1.25144,0.97967,1.18424,0.83997,0.67728,0.75064,0.42464,1.58738,1.86168,1.43592,0.000261071,0.000261071,0.000261071
33,67.9812,1.20897,1.01043,1.19821,0.86943,0.64441,0.73628,0.40035,1.60862,1.83953,1.42854,0.000247686,0.000247686,0.000247686
34,70.0792,1.31387,1.00417,1.182,0.76335,0.64516,0.7135,0.38477,1.636,1.81831,1.44561,0.000234302,0.000234302,0.000234302
35,72.0352,1.28463,0.96991,1.16948,0.61291,0.6129,0.6532,0.3667,1.64867,1.84047,1.47309,0.000220917,0.000220917,0.000220917
36,73.9935,1.23344,0.91976,1.15988,0.71359,0.64304,0.64348,0.34834,1.69302,1.7827,1.50644,0.000207532,0.000207532,0.000207532
37,75.8418,1.23149,0.94977,1.14343,0.73483,0.67742,0.68057,0.34912,1.6715,1.76049,1.48835,0.000194147,0.000194147,0.000194147
38,77.8234,1.18714,0.93592,1.1394,0.70899,0.67742,0.68124,0.33817,1.67353,1.8115,1.48127,0.000180762,0.000180762,0.000180762
39,79.7901,1.24938,0.9171,1.17753,0.72246,0.67193,0.66488,0.32989,1.68797,1.87968,1.49113,0.000167378,0.000167378,0.000167378
40,81.6904,1.16865,0.86082,1.0975,0.74377,0.67742,0.69369,0.35432,1.7024,1.90937,1.50061,0.000153993,0.000153993,0.000153993
41,84.0101,1.23847,1.06454,1.1953,0.7605,0.64516,0.69066,0.34907,1.70807,1.89119,1.51688,0.000140608,0.000140608,0.000140608
42,86.1266,1.25855,0.99056,1.16574,0.76698,0.6129,0.66707,0.35332,1.69806,1.90961,1.51218,0.000127223,0.000127223,0.000127223
43,88.1105,1.23179,0.97728,1.1644,0.79126,0.64516,0.68895,0.36814,1.64546,1.91228,1.4914,0.000113838,0.000113838,0.000113838
44,90.0075,1.18104,0.94419,1.17291,0.77274,0.70968,0.74796,0.40856,1.58872,1.81324,1.44921,0.000100454,0.000100454,0.000100454
45,91.9147,1.16617,0.86632,1.12265,0.77869,0.68111,0.75479,0.42735,1.58569,1.78094,1.43662,8.70688e-05,8.70688e-05,8.70688e-05
46,93.7648,1.15872,0.83366,1.1532,0.7526,0.68714,0.75795,0.42991,1.59011,1.77734,1.43097,7.3684e-05,7.3684e-05,7.3684e-05
47,95.6153,1.09792,0.84464,1.10032,0.74893,0.6737,0.74567,0.42116,1.57934,1.72465,1.43113,6.02992e-05,6.02992e-05,6.02992e-05
48,97.6471,1.07734,0.83565,1.07919,0.74853,0.6723,0.71563,0.42206,1.56403,1.67747,1.42376,4.69144e-05,4.69144e-05,4.69144e-05
49,99.4452,1.08192,0.84172,1.10959,0.74585,0.67742,0.71795,0.42251,1.56484,1.64293,1.42997,3.35296e-05,3.35296e-05,3.35296e-05
50,101.608,1.09826,0.80616,1.1435,0.75651,0.70177,0.72298,0.4213,1.57052,1.64001,1.43652,2.01448e-05,2.01448e-05,2.01448e-05
