rank,trial,mAP50,mAP50_95,precision,recall,f1,lr,batch_size,optimizer,img_size
1,27,0.8036,,,,,0.00934,8,SGD,1024
2,29,0.7906,,,,,0.00507,8,SGD,1024
3,22,0.7664,,,,,0.00327,16,SGD,1024
4,26,0.7489,,,,,0.004847,8,SGD,1024
5,15,0.7232,,,,,0.003744,16,SGD,1024
6,24,0.7077,,,,,0.009281,16,SGD,1024
7,23,0.7012,,,,,0.002704,16,SGD,1024
8,18,0.6977,,,,,0.003752,16,SGD,1024
9,21,0.6763,,,,,0.003524,16,SGD,1024
10,3,0.663,,,,,0.006697,16,SGD,640
11,7,0.663,,,,,0.006697,16,SGD,640
12,11,0.663,,,,,0.006697,16,SGD,640
13,20,0.6351,,,,,0.003526,16,SGD,1024
14,4,0.6283,,,,,0.000862,16,AdamW,1024
15,8,0.6283,,,,,0.000862,16,AdamW,1024
16,12,0.6283,,,,,0.000862,16,AdamW,1024
17,2,0.6254,,,,,0.001536,8,AdamW,640
18,6,0.6254,,,,,0.001536,8,AdamW,640
19,10,0.6254,,,,,0.001536,8,AdamW,640
20,14,0.6254,,,,,0.001536,8,AdamW,640
21,25,0.6057,,,,,0.002403,16,SGD,1024
22,28,0.0642,,,,,0.00054,8,SGD,1024
23,0,,,,,,0.001536,8,AdamW,640
24,1,,,,,,0.001536,8,AdamW,640
25,5,,,,,,0.000759,16,SGD,1024
26,9,,,,,,0.000759,16,SGD,1024
27,13,,,,,,0.000759,16,SGD,1024
28,16,,,,,,0.003524,16,SGD,1024
29,17,,,,,,0.003752,16,SGD,1024
30,19,,,,,,0.003524,16,SGD,1024
