epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.57073,2.62758,5.95541,2.23511,0,0,0,0,2.45791,5.09536,2.24599,0.000464066,0.000464066,0.0954641
2,5.13534,2.73559,6.01165,2.16781,0.00033,0.06452,3e-05,1e-05,2.3425,4.92876,2.1906,0.000992067,0.000992067,0.0899921
3,4.8803,2.16676,5.60188,1.92331,0,0,0,0,1.99583,5.06583,2.13103,0.00148857,0.00148857,0.0844886
4,7.06591,1.96354,4.61883,1.6451,0.00133,0.25806,0.00044,0.00016,1.94787,4.43624,1.82281,0.00195356,0.00195356,0.0789536
5,9.35,1.97788,4.31746,1.53842,0.00267,0.51613,0.00147,0.0006,1.71405,4.18591,1.60932,0.00238705,0.00238705,0.0733871
6,11.7119,1.46034,3.91486,1.26718,0.00417,0.80645,0.00413,0.00151,1.77419,4.20768,1.6325,0.00278904,0.00278904,0.067789
7,14.1005,1.50818,4.1276,1.32442,0.00367,0.70968,0.0041,0.00126,1.87913,3.88154,1.70352,0.00315952,0.00315952,0.0621595
8,16.4435,1.60962,3.45478,1.35111,0.00383,0.74194,0.00503,0.00154,2.05352,3.64004,1.6981,0.0034985,0.0034985,0.0564985
9,18.8756,1.63481,3.10242,1.34513,0.00483,0.93548,0.00671,0.00251,1.94769,3.40423,1.60369,0.00380598,0.00380598,0.050806
10,21.1544,1.70421,2.93104,1.46698,0.00483,0.93548,0.13214,0.05505,1.94714,3.30862,1.53782,0.00408195,0.00408195,0.045082
11,23.3441,1.62566,2.94384,1.30274,0.00483,0.93548,0.13861,0.04417,1.93398,3.27906,1.4655,0.00432642,0.00432642,0.0393264
12,25.515,1.49651,2.93418,1.25689,0.00483,0.93548,0.23126,0.07448,1.91081,3.18305,1.43571,0.00453939,0.00453939,0.0335394
13,27.7297,1.66826,2.36633,1.30207,0.00483,0.93548,0.19722,0.0761,2.02473,3.15732,1.4243,0.00472085,0.00472085,0.0277209
14,30.1488,1.52549,2.11449,1.23943,0.00467,0.90323,0.40402,0.1735,1.83412,3.06053,1.43156,0.00487081,0.00487081,0.0218708
15,32.3968,1.50702,1.97465,1.25832,0.75466,0.09978,0.37823,0.13387,1.94204,2.99444,1.48592,0.00498927,0.00498927,0.0159893
16,34.6344,1.45386,1.69277,1.1978,0.44158,0.12903,0.20543,0.06827,2.34641,3.15862,1.72781,0.00507622,0.00507622,0.0100762
17,34.3035,1.78329,1.89408,1.31132,0.71884,0.25806,0.4707,0.20389,1.82942,2.8383,1.47412,0.00508086,0.00508086,0.00508086
18,36.6267,1.67172,1.64961,1.2974,0.74414,0.46951,0.62368,0.2623,1.93131,2.25224,1.56183,0.00481833,0.00481833,0.00481833
19,38.8214,1.56022,1.81824,1.23791,0.72889,0.45161,0.52676,0.20302,1.90917,2.39064,1.43436,0.0045558,0.0045558,0.0045558
20,40.9226,1.47182,1.81378,1.24221,0.73399,0.58065,0.60352,0.2659,1.89871,2.09382,1.47303,0.00429328,0.00429328,0.00429328
21,43.0232,1.34067,1.57426,1.1587,0.74141,0.51613,0.63003,0.25564,1.98827,2.02259,1.52599,0.00403075,0.00403075,0.00403075
22,45.0833,1.555,1.67281,1.36333,0.5651,0.51613,0.5776,0.23038,2.04122,2.12721,1.5315,0.00376822,0.00376822,0.00376822
23,47.1674,1.33887,1.49069,1.14934,0.67979,0.47954,0.51115,0.21211,2.18813,1.95466,1.67006,0.00350569,0.00350569,0.00350569
24,49.3317,1.32909,1.37986,1.07403,0.73011,0.61092,0.69331,0.26108,2.10501,1.94374,1.68644,0.00324316,0.00324316,0.00324316
25,51.4282,1.42649,1.56524,1.11707,0.83207,0.54839,0.64567,0.25713,2.01309,1.89562,1.60194,0.00298063,0.00298063,0.00298063
26,54.1977,1.56513,2.13924,1.2941,0.75118,0.58065,0.67947,0.29564,1.95248,1.84038,1.57585,0.0027181,0.0027181,0.0027181
27,56.257,1.25359,1.6316,1.09086,0.64086,0.58065,0.60096,0.25976,2.0537,1.97075,1.61753,0.00245557,0.00245557,0.00245557
28,58.5523,1.17932,1.54863,1.09965,0.65877,0.64516,0.6546,0.2804,2.08862,1.81245,1.69135,0.00219304,0.00219304,0.00219304
29,60.8001,1.36859,1.7571,1.12341,0.70386,0.70968,0.7168,0.29559,2.05182,1.70056,1.66199,0.00193052,0.00193052,0.00193052
30,63.2805,1.16733,1.44746,1.03149,0.70202,0.6129,0.65229,0.25122,2.15464,1.72702,1.74575,0.00166799,0.00166799,0.00166799
31,65.4881,1.2428,1.63319,1.04611,0.63612,0.67742,0.66504,0.28816,2.07684,1.63368,1.67448,0.00140546,0.00140546,0.00140546
32,65.2152,1.24954,1.48149,1.09715,0.67443,0.74194,0.70373,0.30276,2.03251,1.56064,1.60229,0.00114293,0.00114293,0.00114293
33,67.3002,1.19908,1.54579,1.03014,0.69106,0.70968,0.69595,0.30428,2.06289,1.52234,1.63201,0.0008804,0.0008804,0.0008804
34,69.6536,1.10193,1.37419,0.98425,0.7187,0.74174,0.70455,0.32022,2.09472,1.42815,1.65675,0.000617871,0.000617871,0.000617871
35,71.9245,1.0028,1.34233,0.9913,0.71781,0.73859,0.70908,0.32089,2.07039,1.43944,1.64801,0.000355342,0.000355342,0.000355342
