rank,trial,mAP50,mAP50_95,precision,recall,f1,lr,batch_size,optimizer,img_size
1,46,0.8487,0.3469,0.7777,0.8387,0.807,0.000438,16,AdamW,1024
2,40,0.7935,0.2928,0.7199,0.7419,0.7307,0.000676,16,AdamW,1024
3,48,0.7869,0.3402,0.7152,0.8065,0.7581,0.000534,16,AdamW,1024
4,32,0.7837,0.2832,0.7872,0.7161,0.75,0.00109,16,AdamW,1024
5,3,0.7836,0.3094,0.6365,0.8065,0.7115,0.000231,16,AdamW,1024
6,25,0.7762,0.3262,0.7227,0.8065,0.7623,0.000259,16,AdamW,1024
7,45,0.7604,0.3234,0.7003,0.8387,0.7633,0.000304,16,AdamW,1024
8,29,0.7563,0.3525,0.7406,0.737,0.7388,0.000195,16,AdamW,1024
9,26,0.753,0.3313,0.7268,0.7742,0.7498,0.000373,16,AdamW,1024
10,1,0.7514,0.2662,0.8611,0.6001,0.7073,0.000561,8,AdamW,640
11,43,0.7507,0.3014,0.658,0.7448,0.6987,0.000993,16,AdamW,1024
12,33,0.7464,0.3237,0.7554,0.7973,0.7758,0.001318,16,AdamW,1024
13,47,0.7458,0.3361,0.725,0.7097,0.7173,0.000415,16,AdamW,1024
14,21,0.7414,0.3019,0.5883,0.7742,0.6686,0.000127,16,AdamW,1024
15,36,0.7371,0.3424,0.6961,0.6774,0.6866,0.000171,16,AdamW,1024
16,5,0.7341,0.2968,0.7069,0.7097,0.7083,0.00153,16,AdamW,1024
17,39,0.7278,0.3188,0.6139,0.7742,0.6848,0.000243,16,AdamW,1024
18,8,0.7217,0.3349,0.7593,0.7419,0.7505,0.000234,8,AdamW,1024
19,44,0.7186,0.3056,0.7262,0.7419,0.734,0.000208,16,AdamW,1024
20,23,0.7129,0.3188,0.6515,0.724,0.6858,0.00011,16,AdamW,1024
21,12,0.7111,0.2869,0.6126,0.7097,0.6576,0.000461,8,AdamW,640
22,27,0.711,0.339,0.9045,0.6114,0.7296,0.000352,16,AdamW,1024
23,49,0.7095,0.3183,0.6454,0.7742,0.704,0.000546,16,SGD,1024
24,11,0.7094,0.292,0.6124,0.7097,0.6575,0.001065,16,AdamW,640
25,31,0.706,0.3313,0.7336,0.7997,0.7652,0.000619,16,AdamW,1024
26,7,0.7058,0.3219,0.6568,0.7097,0.6822,0.000117,8,AdamW,1024
27,37,0.7031,0.317,0.6303,0.6774,0.653,0.001794,16,SGD,1024
28,2,0.6919,0.2579,0.5863,0.6774,0.6286,0.005399,16,SGD,640
29,38,0.689,0.2726,0.6517,0.7097,0.6795,0.003192,16,AdamW,1024
30,17,0.6886,0.228,0.871,0.5161,0.6481,0.002525,8,AdamW,640
31,16,0.6869,0.2548,0.7515,0.6774,0.7125,0.000767,16,AdamW,640
32,35,0.6857,0.2784,0.6981,0.7742,0.7342,0.000983,16,AdamW,1024
33,42,0.6771,0.2911,0.6317,0.5484,0.5871,0.001404,16,AdamW,1024
34,20,0.6743,0.2641,0.655,0.4901,0.5607,0.000752,16,AdamW,640
35,30,0.6738,0.2967,0.6376,0.8387,0.7245,0.000197,16,AdamW,1024
36,13,0.6707,0.2421,0.6774,0.6129,0.6435,0.000467,8,AdamW,640
37,10,0.6634,0.2774,0.7532,0.6129,0.6758,0.000517,16,SGD,1024
38,14,0.6575,0.2535,0.7707,0.4839,0.5945,0.00213,16,AdamW,640
39,6,0.6539,0.2835,0.8082,0.5484,0.6534,0.004138,8,AdamW,1024
40,18,0.6532,0.2815,0.6723,0.6621,0.6672,0.008607,16,AdamW,1024
41,41,0.641,0.2802,0.5461,0.6129,0.5776,0.000764,16,SGD,1024
42,24,0.6324,0.2766,0.7354,0.5806,0.6489,0.000158,16,AdamW,1024
43,15,0.6209,0.2509,0.6202,0.5796,0.5992,0.000329,8,AdamW,640
44,19,0.5995,0.2657,0.7257,0.5123,0.6006,0.000281,8,SGD,1024
45,28,0.3955,0.158,0.4334,0.4443,0.4388,0.000247,16,SGD,1024
46,4,0.2354,0.1072,0.3057,0.1613,0.2112,0.00019,16,SGD,1024
47,9,0.1141,0.0473,0.0833,0.2581,0.126,0.00015,8,SGD,1024
48,0,,,,,,0.000561,8,AdamW,640
49,22,,,,,,0.000122,16,AdamW,1024
50,34,,,,,,0.00088,16,AdamW,1024
