epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.94681,3.18368,5.83556,2.17345,0.00017,0.03226,1e-05,0,2.81215,4.49933,1.99166,4.60506e-05,4.60506e-05,0.0900461
2,4.08085,2.68662,4.64546,1.85481,0,0,0,0,3.05466,3.87489,2.09624,9.55095e-05,9.55095e-05,0.0790955
3,6.27586,2.19334,3.7645,1.49816,0,0,0,0,3.00244,3.56967,2.03217,0.000143715,0.000143715,0.0681437
4,8.47628,2.01049,3.45256,1.48516,0.00489,0.51613,0.00261,0.00055,2.64403,3.4727,1.86819,0.000190666,0.000190666,0.0571907
5,10.4257,2.06775,3.33211,1.41265,0.01015,0.74194,0.01858,0.00543,2.41831,3.42921,1.73436,0.000236364,0.000236364,0.0462364
6,12.4694,1.95869,2.8947,1.36543,0.01319,0.77419,0.03565,0.01092,2.4116,3.39601,1.69562,0.000280808,0.000280808,0.0352808
7,14.5074,1.95587,2.70957,1.45366,0.01251,0.74194,0.07253,0.03049,2.53599,3.30061,1.7818,0.000323998,0.000323998,0.024324
8,16.6907,1.86482,2.55221,1.43601,0.0126,0.83871,0.15416,0.06066,2.29368,3.22154,1.71062,0.000365935,0.000365935,0.0133659
9,18.8073,1.90001,2.4681,1.41199,0.00833,0.90323,0.22379,0.06752,2.26888,3.00444,1.72361,0.000406617,0.000406617,0.00240662
10,20.9678,1.81675,2.45895,1.36752,0.52749,0.25241,0.2463,0.08983,2.26043,2.8341,1.74056,0.000409217,0.000409217,0.000409217
11,22.9037,1.98034,2.2293,1.55309,0.58552,0.27397,0.31096,0.12205,2.33109,2.53627,1.84542,0.000403518,0.000403518,0.000403518
12,24.7979,1.81187,2.01599,1.50522,0.50542,0.48387,0.39681,0.14076,2.17321,1.971,1.74295,0.000397819,0.000397819,0.000397819
13,26.5582,1.97949,2.06871,1.38315,0.3604,0.48387,0.41847,0.12446,2.14125,1.949,1.69257,0.000392121,0.000392121,0.000392121
14,28.4602,1.80514,2.03588,1.32278,0.38519,0.41935,0.41206,0.12895,2.12536,1.98724,1.64675,0.000386422,0.000386422,0.000386422
15,30.6037,1.81686,1.98879,1.3227,0.47908,0.48387,0.46251,0.17224,2.17927,1.76716,1.64348,0.000380723,0.000380723,0.000380723
16,32.707,1.72813,1.88878,1.35522,0.54579,0.50417,0.48173,0.18282,2.16895,1.60903,1.63607,0.000375024,0.000375024,0.000375024
17,35.0086,1.7695,1.75618,1.29973,0.72105,0.54839,0.58556,0.20063,2.14912,1.46608,1.73703,0.000369326,0.000369326,0.000369326
18,37.2242,1.65536,1.71145,1.33403,0.61808,0.67742,0.60444,0.19112,2.11676,1.46959,1.73981,0.000363627,0.000363627,0.000363627
19,39.032,1.58055,1.62682,1.25212,0.62794,0.64516,0.57938,0.18817,2.11304,1.42055,1.75132,0.000357928,0.000357928,0.000357928
20,40.9315,1.58285,1.56334,1.25081,0.63307,0.6129,0.61372,0.23072,1.98253,1.50496,1.65283,0.000352229,0.000352229,0.000352229
21,42.9606,1.67292,1.66055,1.24547,0.66346,0.58065,0.6078,0.23775,1.94561,1.48582,1.64052,0.000346531,0.000346531,0.000346531
22,44.7225,1.6242,1.49289,1.24077,0.678,0.51613,0.59313,0.23855,1.9631,1.46382,1.68022,0.000340832,0.000340832,0.000340832
23,46.9925,1.53632,1.45369,1.26621,0.7168,0.65341,0.65286,0.21556,2.02413,1.36651,1.76218,0.000335133,0.000335133,0.000335133
24,49.0708,1.44874,1.73349,1.11394,0.71673,0.65316,0.66472,0.23702,1.99748,1.33644,1.71726,0.000329434,0.000329434,0.000329434
25,51.0124,1.52178,1.57087,1.18905,0.73636,0.72101,0.68425,0.24505,2.05071,1.34624,1.71024,0.000323736,0.000323736,0.000323736
26,52.846,1.56194,1.44214,1.18036,0.76588,0.74194,0.72409,0.26036,2.06351,1.34401,1.77229,0.000318037,0.000318037,0.000318037
27,54.8745,1.51935,1.37917,1.2299,0.76819,0.67742,0.73144,0.26545,2.13422,1.42203,1.83581,0.000312338,0.000312338,0.000312338
28,56.9398,1.39987,1.28318,1.15941,0.66116,0.69263,0.67368,0.26861,2.17105,1.37403,1.82446,0.000306639,0.000306639,0.000306639
29,59.1536,1.44792,1.33902,1.19636,0.70955,0.70968,0.7175,0.26695,2.12981,1.24722,1.77591,0.00030094,0.00030094,0.00030094
30,61.0009,1.49991,1.35893,1.2595,0.81686,0.67742,0.74375,0.26386,2.08718,1.19575,1.72173,0.000295242,0.000295242,0.000295242
31,62.908,1.34012,1.22225,1.16543,0.81323,0.6129,0.70676,0.256,2.08948,1.1451,1.64458,0.000289543,0.000289543,0.000289543
32,64.6383,1.47021,1.20709,1.19335,0.79034,0.64516,0.71768,0.2722,2.07469,1.17134,1.61489,0.000283844,0.000283844,0.000283844
33,66.898,1.35053,1.24126,1.15042,0.81136,0.54839,0.68486,0.25073,2.20251,1.31624,1.72034,0.000278145,0.000278145,0.000278145
34,68.913,1.27684,1.40998,1.02812,0.82665,0.54839,0.62865,0.21777,2.21405,1.39593,1.76481,0.000272447,0.000272447,0.000272447
35,70.8589,1.47179,1.23543,1.1439,0.79968,0.51516,0.60107,0.20231,2.19993,1.41296,1.78448,0.000266748,0.000266748,0.000266748
36,72.6645,1.40501,1.188,1.1287,0.76134,0.58065,0.67206,0.25094,2.13782,1.27573,1.75264,0.000261049,0.000261049,0.000261049
37,74.5838,1.46123,1.23782,1.18353,0.67638,0.74194,0.72772,0.26349,2.10835,1.22,1.71122,0.00025535,0.00025535,0.00025535
38,76.6522,1.32388,1.19437,1.13436,0.75178,0.67742,0.74229,0.25835,2.11054,1.21217,1.70636,0.000249652,0.000249652,0.000249652
39,78.7331,1.43656,1.12839,1.125,0.6709,0.74194,0.75242,0.22507,2.17805,1.2834,1.83085,0.000243953,0.000243953,0.000243953
40,80.975,1.31636,1.18015,1.12776,0.65446,0.6129,0.6995,0.22655,2.22306,1.3683,1.89131,0.000238254,0.000238254,0.000238254
