split,image,width,height,roi_x,roi_y,roi_w,roi_h,center_x,center_y,crop_x1,crop_y1,crop_x2,crop_y2,crop_w,crop_h,threshold,kernel_size,components_kept,fallback
train,train_101_png.rf.e3f2bdba7a85c6794e6e6b6116dc59c6.jpg,2916,1316,0,0,2916,1316,1458.0,658.0,0,0,2916,1316,2916,1316,23.52,25,1,False
train,train_104_png.rf.7f6101e52070163e84a91e34e7e3a49d.jpg,2712,1316,0,0,2712,1316,1356.0,658.0,0,0,2712,1316,2712,1316,23.12,25,1,False
train,train_112_png.rf.e1b72c959fac2917c5faa72ec820cc44.jpg,1976,976,119,35,1731,887,984.5,478.5,0,0,1976,976,1976,976,18.12,19,1,False
train,train_128_png.rf.91dd5f1a7491ef69b3324d71b0969a72.jpg,2851,1316,0,0,2851,1316,1425.5,658.0,0,0,2851,1316,2851,1316,24.88,25,1,False
train,train_139_png.rf.abb491cd95458bf79a88415c08502958.jpg,2831,1316,0,0,2831,1316,1415.5,658.0,0,0,2831,1316,2831,1316,24.6,25,1,False
train,train_13_png.rf.63f3d093afd72f36bebe6e359cab64f3.jpg,2935,1316,0,0,2935,1316,1467.5,658.0,0,0,2935,1316,2935,1316,24.28,25,1,False
train,train_149_png.rf.c54bdae31bfa278aeec8ba6dded24504.jpg,2812,1316,0,0,2812,1316,1406.0,658.0,0,0,2812,1316,2812,1316,26.96,25,1,False
train,train_14_png.rf.12b5901e69c2739f91d1ed5a4b16992b.jpg,2828,1316,0,0,2828,1316,1414.0,658.0,0,0,2828,1316,2828,1316,28.12,25,1,False
train,train_159_png.rf.b8041a04434c784fc017860a7838f0c4.jpg,2820,1316,0,0,2820,1316,1410.0,658.0,0,0,2820,1316,2820,1316,19.36,25,1,False
train,train_164_png.rf.488dd6fc6fd3c0e17d536b903fa9fb04.jpg,2798,1316,0,0,2798,1316,1399.0,658.0,0,0,2798,1316,2798,1316,25.28,25,1,False
train,train_187_png.rf.0a694f376c3615f979974a0778c33248.jpg,2815,1316,0,0,2815,1316,1407.5,658.0,0,0,2815,1316,2815,1316,25.12,25,1,False
train,train_190_png.rf.c4a3e570e0acdec516adb582ec1a5d9b.jpg,2863,1316,0,0,2863,1316,1431.5,658.0,0,0,2863,1316,2863,1316,25.04,25,1,False
train,train_194_png.rf.39abe644fc23c9b2d2e5e4af23737d8a.jpg,2800,1316,0,0,2800,1316,1400.0,658.0,0,0,2800,1316,2800,1316,25.2,25,1,False
train,train_196_png.rf.46fa1028b9036913173cb53071e99ea8.jpg,3076,1536,0,0,3076,1536,1538.0,768.0,0,0,3076,1536,3076,1536,19.04,29,1,False
train,train_206_png.rf.adab03495ab5a63473573f386a8915c7.jpg,2917,1316,0,0,2917,1316,1458.5,658.0,0,0,2917,1316,2917,1316,25.12,25,1,False
train,train_21_png.rf.0bfd20929a68788a40b71e93e68a184d.jpg,1976,976,83,99,1641,809,903.5,503.5,0,34,1855,973,1855,939,18.04,19,1,False
train,train_248_png.rf.2cb85dfa0c3a9575ea15156d171b952d.jpg,2872,1316,0,0,2872,1316,1436.0,658.0,0,0,2872,1316,2872,1316,32.8,25,1,False
train,train_249_png.rf.3966d3290fc6f9bccdbca81811fa0bd6.jpg,2868,1504,0,0,2868,1504,1434.0,752.0,0,0,2868,1504,2868,1504,18.56,27,1,False
train,train_250_png.rf.c9a685e1a48cc05ed02374fa32aa4eab.jpg,2860,1316,0,0,2860,1316,1430.0,658.0,0,0,2860,1316,2860,1316,24.68,25,1,False
train,train_258_png.rf.29fb80f3baf2b24747d65c2a68654dcd.jpg,2872,1504,0,0,2872,1504,1436.0,752.0,0,0,2872,1504,2872,1504,17.6,27,1,False
train,train_272_png.rf.24765a5114e54cdd6e93bf13afde18f6.jpg,2868,1504,0,0,2868,1504,1434.0,752.0,0,0,2868,1504,2868,1504,17.6,27,1,False
train,train_280_png.rf.4108da8aae2b7e2b0c97402ece437c26.jpg,2844,1316,0,0,2844,1316,1422.0,658.0,0,0,2844,1316,2844,1316,24.28,25,1,False
train,train_287_png.rf.b1c935792298ca1ddf2c42dc932196cb.jpg,2954,1316,0,0,2954,1316,1477.0,658.0,0,0,2954,1316,2954,1316,25.44,25,1,False
train,train_301_png.rf.1035d42dd6d013869faf583a86b815af.jpg,2512,1504,0,0,2512,1504,1256.0,752.0,0,0,2512,1504,2512,1504,17.68,27,1,False
train,train_31_png.rf.7882a35de62b7a0885e02eff3065b824.jpg,2872,1504,0,0,2872,1504,1436.0,752.0,0,0,2872,1504,2872,1504,18.08,27,1,False
train,train_332_png.rf.49523164500fc314c94bc08114c8c2dd.jpg,2983,1316,0,0,2983,1316,1491.5,658.0,0,0,2983,1316,2983,1316,22.44,25,1,False
train,train_342_png.rf.bc1cca6a58af4b35fc3bc88d852019f8.jpg,2942,1316,0,0,2942,1316,1471.0,658.0,0,0,2942,1316,2942,1316,24.52,25,1,False
train,train_358_png.rf.1af68a4058eb379d3c738d92691bcf42.jpg,2862,1316,0,0,2862,1316,1431.0,658.0,0,0,2862,1316,2862,1316,29.88,25,1,False
train,train_360_png.rf.79fd08b9e10c2ca0645a9b9943df0cc0.jpg,2872,1504,0,0,2872,1504,1436.0,752.0,0,0,2872,1504,2872,1504,16.64,27,1,False
train,train_367_png.rf.d81051d756a60a7c8bf04b47df9ef182.jpg,2839,1316,0,0,2839,1316,1419.5,658.0,0,0,2839,1316,2839,1316,24.52,25,1,False
train,train_37_png.rf.7f9bea92c1a44dc44b72bc5ecb8e0a51.jpg,2872,1504,0,0,2872,1504,1436.0,752.0,0,0,2872,1504,2872,1504,17.36,27,1,False
train,train_381_png.rf.4f003cd0787df3254ec3691c7524cbbf.jpg,2950,1316,0,0,2950,1316,1475.0,658.0,0,0,2950,1316,2950,1316,26.36,25,1,False
train,train_391_png.rf.781f0586045b5482674c5a1d6de79790.jpg,2884,1504,0,0,2884,1504,1442.0,752.0,0,0,2884,1504,2884,1504,17.84,27,1,False
