split,image,method,width,height,roi_x,roi_y,roi_w,roi_h,center_x,center_y,crop_x1,crop_y1,crop_x2,crop_y2,crop_w,crop_h,threshold,kernel_size,components_kept,fallback
train,train_101_png.rf.e3f2bdba7a85c6794e6e6b6116dc59c6.jpg,energy,2916,1316,211,112,2476,1091,1449.0,657.5,13,25,2885,1290,2872,1265,102.0399,8,0,False
train,train_104_png.rf.7f6101e52070163e84a91e34e7e3a49d.jpg,energy,2712,1316,282,101,2145,1062,1354.5,632.0,110,16,2599,1248,2489,1232,92.743,8,0,False
train,train_112_png.rf.e1b72c959fac2917c5faa72ec820cc44.jpg,energy,1976,976,237,68,1458,833,966.0,484.5,120,1,1812,968,1692,967,202.4092,6,0,False
train,train_128_png.rf.91dd5f1a7491ef69b3324d71b0969a72.jpg,energy,2851,1316,209,96,2394,1084,1406.0,638.0,17,9,2795,1267,2778,1258,83.0391,8,0,False
train,train_139_png.rf.abb491cd95458bf79a88415c08502958.jpg,energy,2831,1316,324,112,2300,1076,1474.0,650.0,140,26,2808,1274,2668,1248,95.8067,8,0,False
train,train_13_png.rf.63f3d093afd72f36bebe6e359cab64f3.jpg,energy,2935,1316,351,133,2245,1042,1473.5,654.0,171,50,2776,1258,2605,1208,103.8284,8,0,False
train,train_149_png.rf.c54bdae31bfa278aeec8ba6dded24504.jpg,energy,2812,1316,325,111,2247,1083,1448.5,652.5,145,24,2752,1281,2607,1257,84.5974,8,0,False
train,train_14_png.rf.12b5901e69c2739f91d1ed5a4b16992b.jpg,energy,2828,1316,270,111,2296,1091,1418.0,656.5,86,24,2750,1289,2664,1265,89.7415,8,0,False
train,train_159_png.rf.b8041a04434c784fc017860a7838f0c4.jpg,energy,2820,1316,322,108,2171,1067,1407.5,641.5,148,23,2667,1260,2519,1237,84.7685,8,0,False
train,train_164_png.rf.488dd6fc6fd3c0e17d536b903fa9fb04.jpg,energy,2798,1316,300,106,2225,1076,1412.5,644.0,122,20,2703,1268,2581,1248,93.3779,8,0,False
train,train_187_png.rf.0a694f376c3615f979974a0778c33248.jpg,energy,2815,1316,270,104,2293,1077,1416.5,642.5,87,18,2746,1267,2659,1249,85.7854,8,0,False
train,train_190_png.rf.c4a3e570e0acdec516adb582ec1a5d9b.jpg,energy,2863,1316,315,108,2267,1081,1448.5,648.5,134,22,2763,1275,2629,1253,85.3418,8,0,False
train,train_194_png.rf.39abe644fc23c9b2d2e5e4af23737d8a.jpg,energy,2800,1316,286,106,2232,1077,1402.0,644.5,107,20,2697,1269,2590,1249,92.3112,8,0,False
train,train_196_png.rf.46fa1028b9036913173cb53071e99ea8.jpg,energy,3076,1536,273,115,2566,1202,1556.0,716.0,68,19,3044,1413,2976,1394,120.5518,10,0,False
train,train_206_png.rf.adab03495ab5a63473573f386a8915c7.jpg,energy,2917,1316,309,105,2348,1083,1483.0,646.5,121,18,2845,1275,2724,1257,96.6466,8,0,False
train,train_21_png.rf.0bfd20929a68788a40b71e93e68a184d.jpg,energy,1976,976,214,138,1395,720,911.5,498.0,102,80,1721,916,1619,836,173.6061,6,0,False
train,train_248_png.rf.2cb85dfa0c3a9575ea15156d171b952d.jpg,energy,2872,1316,281,114,2292,1076,1427.0,652.0,98,28,2756,1276,2658,1248,96.252,8,0,False
train,train_249_png.rf.3966d3290fc6f9bccdbca81811fa0bd6.jpg,energy,2868,1504,326,135,2227,1243,1439.5,756.5,148,36,2731,1477,2583,1441,121.0619,9,0,False
train,train_250_png.rf.c9a685e1a48cc05ed02374fa32aa4eab.jpg,energy,2860,1316,298,108,2286,1090,1441.0,653.0,115,21,2767,1285,2652,1264,95.5182,8,0,False
train,train_258_png.rf.29fb80f3baf2b24747d65c2a68654dcd.jpg,energy,2872,1504,312,120,2236,1259,1430.0,749.5,133,19,2727,1480,2594,1461,116.5635,9,0,False
train,train_272_png.rf.24765a5114e54cdd6e93bf13afde18f6.jpg,energy,2868,1504,262,130,2338,1245,1431.0,752.5,75,30,2787,1475,2712,1445,113.6901,9,0,False
train,train_280_png.rf.4108da8aae2b7e2b0c97402ece437c26.jpg,energy,2844,1316,324,115,2218,1064,1433.0,647.0,147,30,2719,1264,2572,1234,94.9256,8,0,False
train,train_287_png.rf.b1c935792298ca1ddf2c42dc932196cb.jpg,energy,2954,1316,214,106,2535,1097,1481.5,654.5,11,18,2952,1291,2941,1273,100.6562,8,0,False
train,train_301_png.rf.1035d42dd6d013869faf583a86b815af.jpg,energy,2512,1504,238,130,2005,1246,1240.5,753.0,78,30,2403,1476,2325,1446,100.409,9,0,False
train,train_31_png.rf.7882a35de62b7a0885e02eff3065b824.jpg,energy,2872,1504,372,129,2208,1247,1476.0,752.5,195,29,2757,1476,2562,1447,109.9178,9,0,False
train,train_332_png.rf.49523164500fc314c94bc08114c8c2dd.jpg,energy,2983,1316,224,117,2537,1064,1492.5,649.0,21,32,2964,1266,2943,1234,104.5107,8,0,False
train,train_342_png.rf.bc1cca6a58af4b35fc3bc88d852019f8.jpg,energy,2942,1316,329,115,2281,1069,1469.5,649.5,147,29,2792,1270,2645,1241,100.4308,8,0,False
train,train_358_png.rf.1af68a4058eb379d3c738d92691bcf42.jpg,energy,2862,1316,341,107,2184,1079,1433.0,646.5,166,21,2700,1272,2534,1251,95.186,8,0,False
train,train_360_png.rf.79fd08b9e10c2ca0645a9b9943df0cc0.jpg,energy,2872,1504,322,155,2258,1229,1451.0,769.5,141,57,2761,1482,2620,1425,136.3823,9,0,False
train,train_367_png.rf.d81051d756a60a7c8bf04b47df9ef182.jpg,energy,2839,1316,261,107,2305,1088,1413.5,651.0,77,20,2750,1282,2673,1262,93.8278,8,0,False
train,train_37_png.rf.7f9bea92c1a44dc44b72bc5ecb8e0a51.jpg,energy,2872,1504,291,135,2313,1243,1447.5,756.5,106,36,2789,1477,2683,1441,110.658,9,0,False
train,train_381_png.rf.4f003cd0787df3254ec3691c7524cbbf.jpg,energy,2950,1316,274,110,2411,1077,1479.5,648.5,81,24,2878,1273,2797,1249,86.1695,8,0,False
train,train_391_png.rf.781f0586045b5482674c5a1d6de79790.jpg,energy,2884,1504,314,120,2253,1235,1440.5,737.5,134,21,2747,1454,2613,1433,102.9108,9,0,False
train,train_393_png.rf.cafa1e56a0c5c293fb1359b1ad30edec.jpg,energy,2872,1504,285,133,2351,1256,1460.5,761.0,97,33,2824,1489,2727,1456,128.8234,9,0,False
train,train_400_png.rf.f53a257ed63ad00d48a275c5df773aa0.jpg,energy,2846,1316,254,115,2327,1084,1417.5,657.0,68,28,2767,1286,2699,1258,114.8777,8,0,False
train,train_406_png.rf.5ce264df44a454a2855bb988a3ee3a7d.jpg,energy,2856,1316,315,117,2232,1048,1431.0,641.0,136,33,2726,1249,2590,1216,92.5768,8,0,False
train,train_408_png.rf.f14140efbe0d27f57b0149b6ea308381.jpg,energy,2964,1316,325,111,2317,1074,1483.5,648.0,140,25,2827,1271,2687,1246,106.8098,8,0,False
train,train_413_png.rf.54ede1ddb9eb96790d676981110488ff.jpg,energy,2906,1316,247,110,2432,1093,1463.0,656.5,52,23,2874,1290,2822,1267,92.554,8,0,False
train,train_415_png.rf.168e3dd8ea5427ac5e26da854511b399.jpg,energy,2964,1316,309,110,2388,1072,1503.0,646.0,118,24,2888,1268,2770,1244,91.5872,8,0,False
train,train_420_png.rf.9213bbaa1e14cd9a4403a51f774295cf.jpg,energy,2884,1504,290,115,2309,1242,1444.5,736.0,105,16,2784,1456,2679,1440,109.8389,9,0,False
train,train_422_png.rf.4ea537873f1027e1189089d331a02a0b.jpg,energy,2836,1316,312,117,2249,1082,1436.5,658.0,132,30,2741,1286,2609,1256,115.4002,8,0,False
