split,image,method,width,height,roi_x,roi_y,roi_w,roi_h,center_x,center_y,crop_x1,crop_y1,crop_x2,crop_y2,crop_w,crop_h,threshold,kernel_size,components_kept,fallback
train,train_101_png.rf.e3f2bdba7a85c6794e6e6b6116dc59c6.jpg,energy,2916,1316,211,112,2476,1091,1449.0,657.5,161,90,2737,1225,2576,1135,102.0399,8,0,False
train,train_104_png.rf.7f6101e52070163e84a91e34e7e3a49d.jpg,energy,2712,1316,282,101,2145,1062,1354.5,632.0,239,80,2470,1184,2231,1104,92.743,8,0,False
train,train_112_png.rf.e1b72c959fac2917c5faa72ec820cc44.jpg,energy,1976,976,237,68,1458,833,966.0,484.5,208,51,1724,918,1516,867,202.4092,6,0,False
train,train_128_png.rf.91dd5f1a7491ef69b3324d71b0969a72.jpg,energy,2851,1316,209,96,2394,1084,1406.0,638.0,161,74,2651,1202,2490,1128,83.0391,8,0,False
train,train_139_png.rf.abb491cd95458bf79a88415c08502958.jpg,energy,2831,1316,324,112,2300,1076,1474.0,650.0,278,90,2670,1210,2392,1120,95.8067,8,0,False
train,train_13_png.rf.63f3d093afd72f36bebe6e359cab64f3.jpg,energy,2935,1316,351,133,2245,1042,1473.5,654.0,306,112,2641,1196,2335,1084,103.8284,8,0,False
train,train_149_png.rf.c54bdae31bfa278aeec8ba6dded24504.jpg,energy,2812,1316,325,111,2247,1083,1448.5,652.5,280,89,2617,1216,2337,1127,84.5974,8,0,False
train,train_14_png.rf.12b5901e69c2739f91d1ed5a4b16992b.jpg,energy,2828,1316,270,111,2296,1091,1418.0,656.5,224,89,2612,1224,2388,1135,89.7415,8,0,False
train,train_159_png.rf.b8041a04434c784fc017860a7838f0c4.jpg,energy,2820,1316,322,108,2171,1067,1407.5,641.5,279,87,2536,1196,2257,1109,84.7685,8,0,False
train,train_164_png.rf.488dd6fc6fd3c0e17d536b903fa9fb04.jpg,energy,2798,1316,300,106,2225,1076,1412.5,644.0,256,84,2569,1204,2313,1120,93.3779,8,0,False
train,train_187_png.rf.0a694f376c3615f979974a0778c33248.jpg,energy,2815,1316,270,104,2293,1077,1416.5,642.5,224,82,2609,1203,2385,1121,85.7854,8,0,False
train,train_190_png.rf.c4a3e570e0acdec516adb582ec1a5d9b.jpg,energy,2863,1316,315,108,2267,1081,1448.5,648.5,270,86,2627,1211,2357,1125,85.3418,8,0,False
train,train_194_png.rf.39abe644fc23c9b2d2e5e4af23737d8a.jpg,energy,2800,1316,286,106,2232,1077,1402.0,644.5,241,84,2563,1205,2322,1121,92.3112,8,0,False
train,train_196_png.rf.46fa1028b9036913173cb53071e99ea8.jpg,energy,3076,1536,273,115,2566,1202,1556.0,716.0,222,91,2890,1341,2668,1250,120.5518,10,0,False
train,train_206_png.rf.adab03495ab5a63473573f386a8915c7.jpg,energy,2917,1316,309,105,2348,1083,1483.0,646.5,262,83,2704,1210,2442,1127,96.6466,8,0,False
train,train_21_png.rf.0bfd20929a68788a40b71e93e68a184d.jpg,energy,1976,976,214,138,1395,720,911.5,498.0,186,124,1637,872,1451,748,173.6061,6,0,False
train,train_248_png.rf.2cb85dfa0c3a9575ea15156d171b952d.jpg,energy,2872,1316,281,114,2292,1076,1427.0,652.0,235,92,2619,1212,2384,1120,96.252,8,0,False
train,train_249_png.rf.3966d3290fc6f9bccdbca81811fa0bd6.jpg,energy,2868,1504,326,135,2227,1243,1439.5,756.5,281,110,2598,1403,2317,1293,121.0619,9,0,False
train,train_250_png.rf.c9a685e1a48cc05ed02374fa32aa4eab.jpg,energy,2860,1316,298,108,2286,1090,1441.0,653.0,252,86,2630,1220,2378,1134,95.5182,8,0,False
train,train_258_png.rf.29fb80f3baf2b24747d65c2a68654dcd.jpg,energy,2872,1504,312,120,2236,1259,1430.0,749.5,267,95,2593,1404,2326,1309,116.5635,9,0,False
train,train_272_png.rf.24765a5114e54cdd6e93bf13afde18f6.jpg,energy,2868,1504,262,130,2338,1245,1431.0,752.5,215,105,2647,1400,2432,1295,113.6901,9,0,False
train,train_280_png.rf.4108da8aae2b7e2b0c97402ece437c26.jpg,energy,2844,1316,324,115,2218,1064,1433.0,647.0,280,94,2586,1200,2306,1106,94.9256,8,0,False
train,train_287_png.rf.b1c935792298ca1ddf2c42dc932196cb.jpg,energy,2954,1316,214,106,2535,1097,1481.5,654.5,163,84,2800,1225,2637,1141,100.6562,8,0,False
train,train_301_png.rf.1035d42dd6d013869faf583a86b815af.jpg,energy,2512,1504,238,130,2005,1246,1240.5,753.0,198,105,2283,1401,2085,1296,100.409,9,0,False
train,train_31_png.rf.7882a35de62b7a0885e02eff3065b824.jpg,energy,2872,1504,372,129,2208,1247,1476.0,752.5,328,104,2624,1401,2296,1297,109.9178,9,0,False
train,train_332_png.rf.49523164500fc314c94bc08114c8c2dd.jpg,energy,2983,1316,224,117,2537,1064,1492.5,649.0,173,96,2812,1202,2639,1106,104.5107,8,0,False
train,train_342_png.rf.bc1cca6a58af4b35fc3bc88d852019f8.jpg,energy,2942,1316,329,115,2281,1069,1469.5,649.5,283,94,2656,1205,2373,1111,100.4308,8,0,False
train,train_358_png.rf.1af68a4058eb379d3c738d92691bcf42.jpg,energy,2862,1316,341,107,2184,1079,1433.0,646.5,297,85,2569,1208,2272,1123,95.186,8,0,False
train,train_360_png.rf.79fd08b9e10c2ca0645a9b9943df0cc0.jpg,energy,2872,1504,322,155,2258,1229,1451.0,769.5,277,130,2625,1409,2348,1279,136.3823,9,0,False
