split,image,method,width,height,roi_x,roi_y,roi_w,roi_h,center_x,center_y,crop_x1,crop_y1,crop_x2,crop_y2,crop_w,crop_h,threshold,kernel_size,components_kept,fallback,x_low,x_high,y_low,y_high
train,train_101_png.rf.e3f2bdba7a85c6794e6e6b6116dc59c6.jpg,energy,2916,1316,326,159,2226,1008,1439.0,663.0,281,139,2597,1187,2316,1048,102.0399,8,0,False,0.1,0.9,0.08,0.94
train,train_104_png.rf.7f6101e52070163e84a91e34e7e3a49d.jpg,energy,2712,1316,413,143,1881,979,1353.5,632.5,375,123,2332,1142,1957,1019,92.743,8,0,False,0.1,0.9,0.08,0.94
train,train_112_png.rf.e1b72c959fac2917c5faa72ec820cc44.jpg,energy,1976,976,323,98,1279,774,962.5,485.0,297,83,1628,887,1331,804,202.4092,6,0,False,0.1,0.9,0.08,0.94
train,train_128_png.rf.91dd5f1a7491ef69b3324d71b0969a72.jpg,energy,2851,1316,349,138,2077,1004,1387.5,640.0,307,118,2468,1162,2161,1044,83.0391,8,0,False,0.1,0.9,0.08,0.94
train,train_139_png.rf.abb491cd95458bf79a88415c08502958.jpg,energy,2831,1316,477,160,2008,985,1481.0,652.5,437,140,2525,1165,2088,1025,95.8067,8,0,False,0.1,0.9,0.08,0.94
train,train_13_png.rf.63f3d093afd72f36bebe6e359cab64f3.jpg,energy,2935,1316,505,179,1930,957,1470.0,657.5,466,160,2474,1155,2008,995,103.8284,8,0,False,0.1,0.9,0.08,0.94
train,train_149_png.rf.c54bdae31bfa278aeec8ba6dded24504.jpg,energy,2812,1316,485,159,1936,996,1453.0,657.0,446,139,2460,1175,2014,1036,84.5974,8,0,False,0.1,0.9,0.08,0.94
train,train_14_png.rf.12b5901e69c2739f91d1ed5a4b16992b.jpg,energy,2828,1316,402,157,2029,1009,1416.5,661.5,361,137,2472,1186,2111,1049,89.7415,8,0,False,0.1,0.9,0.08,0.94
train,train_159_png.rf.b8041a04434c784fc017860a7838f0c4.jpg,energy,2820,1316,481,156,1856,968,1409.0,640.0,444,137,2374,1143,1930,1006,84.7685,8,0,False,0.1,0.9,0.08,0.94
train,train_164_png.rf.488dd6fc6fd3c0e17d536b903fa9fb04.jpg,energy,2798,1316,449,149,1924,987,1411.0,642.5,411,129,2411,1156,2000,1027,93.3779,8,0,False,0.1,0.9,0.08,0.94
train,train_187_png.rf.0a694f376c3615f979974a0778c33248.jpg,energy,2815,1316,463,148,1911,987,1418.5,641.5,425,128,2412,1155,1987,1027,85.7854,8,0,False,0.1,0.9,0.08,0.94
train,train_190_png.rf.c4a3e570e0acdec516adb582ec1a5d9b.jpg,energy,2863,1316,493,156,1917,991,1451.5,651.5,455,136,2448,1167,1993,1031,85.3418,8,0,False,0.1,0.9,0.08,0.94
train,train_194_png.rf.39abe644fc23c9b2d2e5e4af23737d8a.jpg,energy,2800,1316,449,147,1911,996,1404.5,645.0,411,127,2398,1163,1987,1036,92.3112,8,0,False,0.1,0.9,0.08,0.94
train,train_196_png.rf.46fa1028b9036913173cb53071e99ea8.jpg,energy,3076,1536,463,167,2227,1104,1576.5,719.0,418,145,2735,1293,2317,1148,120.5518,10,0,False,0.1,0.9,0.08,0.94
train,train_206_png.rf.adab03495ab5a63473573f386a8915c7.jpg,energy,2917,1316,473,152,2016,998,1481.0,651.0,433,132,2529,1170,2096,1038,96.6466,8,0,False,0.1,0.9,0.08,0.94
train,train_21_png.rf.0bfd20929a68788a40b71e93e68a184d.jpg,energy,1976,976,312,171,1225,666,924.5,504.0,288,158,1561,850,1273,692,173.6061,6,0,False,0.1,0.9,0.08,0.94
train,train_248_png.rf.2cb85dfa0c3a9575ea15156d171b952d.jpg,energy,2872,1316,418,158,2016,992,1426.0,654.0,378,138,2474,1170,2096,1032,96.252,8,0,False,0.1,0.9,0.08,0.94
train,train_249_png.rf.3966d3290fc6f9bccdbca81811fa0bd6.jpg,energy,2868,1504,477,187,1939,1146,1446.5,760.0,438,164,2455,1356,2017,1192,121.0619,9,0,False,0.1,0.9,0.08,0.94
train,train_250_png.rf.c9a685e1a48cc05ed02374fa32aa4eab.jpg,energy,2860,1316,439,153,2004,1005,1441.0,655.5,399,133,2483,1178,2084,1045,95.5182,8,0,False,0.1,0.9,0.08,0.94
train,train_258_png.rf.29fb80f3baf2b24747d65c2a68654dcd.jpg,energy,2872,1504,472,169,1936,1162,1440.0,750.0,433,146,2447,1354,2014,1208,116.5635,9,0,False,0.1,0.9,0.08,0.94
train,train_272_png.rf.24765a5114e54cdd6e93bf13afde18f6.jpg,energy,2868,1504,403,184,2044,1142,1425.0,755.0,362,161,2488,1349,2126,1188,113.6901,9,0,False,0.1,0.9,0.08,0.94
train,train_280_png.rf.4108da8aae2b7e2b0c97402ece437c26.jpg,energy,2844,1316,497,161,1874,972,1434.0,647.0,460,142,2408,1152,1948,1010,94.9256,8,0,False,0.1,0.9,0.08,0.94
train,train_287_png.rf.b1c935792298ca1ddf2c42dc932196cb.jpg,energy,2954,1316,332,153,2311,1014,1487.5,660.0,286,133,2689,1187,2403,1054,100.6562,8,0,False,0.1,0.9,0.08,0.94
train,train_301_png.rf.1035d42dd6d013869faf583a86b815af.jpg,energy,2512,1504,341,182,1771,1152,1226.5,758.0,306,159,2147,1357,1841,1198,100.409,9,0,False,0.1,0.9,0.08,0.94
train,train_31_png.rf.7882a35de62b7a0885e02eff3065b824.jpg,energy,2872,1504,513,180,1920,1155,1473.0,757.5,475,157,2471,1358,1996,1201,109.9178,9,0,False,0.1,0.9,0.08,0.94
train,train_332_png.rf.49523164500fc314c94bc08114c8c2dd.jpg,energy,2983,1316,331,160,2321,981,1491.5,650.5,285,140,2698,1161,2413,1021,104.5107,8,0,False,0.1,0.9,0.08,0.94
train,train_342_png.rf.bc1cca6a58af4b35fc3bc88d852019f8.jpg,energy,2942,1316,493,166,1958,979,1472.0,655.5,454,146,2490,1165,2036,1019,100.4308,8,0,False,0.1,0.9,0.08,0.94
train,train_358_png.rf.1af68a4058eb379d3c738d92691bcf42.jpg,energy,2862,1316,491,156,1896,990,1439.0,651.0,453,136,2425,1166,1972,1030,95.186,8,0,False,0.1,0.9,0.08,0.94
train,train_360_png.rf.79fd08b9e10c2ca0645a9b9943df0cc0.jpg,energy,2872,1504,477,214,1968,1130,1461.0,779.0,438,191,2484,1367,2046,1176,136.3823,9,0,False,0.1,0.9,0.08,0.94
train,train_367_png.rf.d81051d756a60a7c8bf04b47df9ef182.jpg,energy,2839,1316,397,155,2032,994,1413.0,652.0,356,135,2470,1169,2114,1034,93.8278,8,0,False,0.1,0.9,0.08,0.94
train,train_37_png.rf.7f9bea92c1a44dc44b72bc5ecb8e0a51.jpg,energy,2872,1504,440,191,2027,1146,1453.5,764.0,399,168,2508,1360,2109,1192,110.658,9,0,False,0.1,0.9,0.08,0.94
